iter,f0,f1,f2
      0,    0.0000000000,    0.5000000000,    0.5000000000
      1,    0.1216900000,    0.4288100000,    0.4495000000
      2,    0.2180100000,    0.3726100000,    0.4093800000
      3,    0.2955500000,    0.3280700000,    0.3763800000
      4,    0.3581500000,    0.2909400000,    0.3509100000
      5,    0.4110800000,    0.2603900000,    0.3285300000
      6,    0.4561100000,    0.2334200000,    0.3104700000
      7,    0.4945000000,    0.2111700000,    0.2943300000
      8,    0.5280100000,    0.1916400000,    0.2803500000
      9,    0.5596600000,    0.1740500000,    0.2662900000
     10,    0.5854600000,    0.1593500000,    0.2551900000
     11,    0.6088000000,    0.1461100000,    0.2450900000
     12,    0.6308600000,    0.1334900000,    0.2356500000
     13,    0.6500200000,    0.1230300000,    0.2269500000
     14,    0.6670800000,    0.1133000000,    0.2196200000
     15,    0.6825600000,    0.1049200000,    0.2125200000
     16,    0.6972200000,    0.0975000000,    0.2052800000
     17,    0.7100300000,    0.0913300000,    0.1986400000
     18,    0.7214700000,    0.0848000000,    0.1937300000
     19,    0.7306400000,    0.0798600000,    0.1895000000
     20,    0.7415600000,    0.0738000000,    0.1846400000
     21,    0.7513000000,    0.0687600000,    0.1799400000
     22,    0.7587300000,    0.0649200000,    0.1763500000
     23,    0.7668600000,    0.0605000000,    0.1726400000
     24,    0.7743500000,    0.0567100000,    0.1689400000
     25,    0.7821700000,    0.0527800000,    0.1650500000
     26,    0.7884400000,    0.0491700000,    0.1623900000
     27,    0.7955600000,    0.0459100000,    0.1585300000
     28,    0.8009200000,    0.0430500000,    0.1560300000
     29,    0.8054300000,    0.0407800000,    0.1537900000
     30,    0.8105000000,    0.0381300000,    0.1513700000
     31,    0.8160600000,    0.0360400000,    0.1479000000
     32,    0.8204500000,    0.0341500000,    0.1454000000
     33,    0.8248500000,    0.0319700000,    0.1431800000
     34,    0.8292000000,    0.0300400000,    0.1407600000
     35,    0.8322700000,    0.0287000000,    0.1390300000
     36,    0.8348700000,    0.0273500000,    0.1377800000
     37,    0.8381700000,    0.0256600000,    0.1361700000
     38,    0.8416700000,    0.0238100000,    0.1345200000
     39,    0.8452800000,    0.0226500000,    0.1320700000
     40,    0.8483400000,    0.0212800000,    0.1303800000
     41,    0.8515900000,    0.0200300000,    0.1283800000
     42,    0.8542400000,    0.0186200000,    0.1271400000
     43,    0.8563200000,    0.0175800000,    0.1261000000
     44,    0.8580100000,    0.0165200000,    0.1254700000
     45,    0.8605200000,    0.0154600000,    0.1240200000
     46,    0.8624400000,    0.0144300000,    0.1231300000
     47,    0.8643300000,    0.0137400000,    0.1219300000
     48,    0.8673100000,    0.0123900000,    0.1203000000
     49,    0.8695700000,    0.0118400000,    0.1185900000
     50,    0.8717400000,    0.0108500000,    0.1174100000
     51,    0.8735000000,    0.0102900000,    0.1162100000
     52,    0.8754300000,    0.0098700000,    0.1147000000
     53,    0.8769700000,    0.0093900000,    0.1136400000
