iter,f0,f1,f2,k0,k1,k2
      0,    1.0000000000,    0.0000000000,    0.0000000000,    3.9534883721,    1.0000000000,    0.8849557522
      1,    0.7781000000,    0.1108000000,    0.1111000000,    2.7321782946,    0.6253904762,    0.6522684366
      2,    0.5914000000,    0.1946000000,    0.2140000000,    1.7046046512,    0.3420666667,    0.4367551622
      3,    0.4454000000,    0.2612000000,    0.2934000000,    0.9010387597,    0.1168952381,    0.2704601770
      4,    0.3503000000,    0.3016000000,    0.3481000000,    0.3776201550,    0.0196952381,    0.1558967552
      5,    0.2975000000,    0.3270000000,    0.3755000000,    0.0870155039,    0.1055714286,    0.0985103245
      6,    0.2676000000,    0.3386000000,    0.3938000000,    0.0775503876,    0.1447904762,    0.0601828909
      7,    0.2461000000,    0.3428000000,    0.4111000000,    0.1958837209,    0.1589904762,    0.0239498525
      8,    0.2333000000,    0.3413000000,    0.4254000000,    0.2663333333,    0.1539190476,    0.0060000000
      9,    0.2265000000,    0.3405000000,    0.4330000000,    0.3037596899,    0.1512142857,    0.0219174041
     10,    0.2288000000,    0.3308000000,    0.4404000000,    0.2911007752,    0.1184190476,    0.0374159292
     11,    0.2193000000,    0.3305000000,    0.4502000000,    0.3433875969,    0.1174047619,    0.0579410029
     12,    0.2212000000,    0.3234000000,    0.4554000000,    0.3329302326,    0.0934000000,    0.0688318584
     13,    0.2167000000,    0.3204000000,    0.4629000000,    0.3576976744,    0.0832571429,    0.0845398230
     14,    0.2174000000,    0.3170000000,    0.4656000000,    0.3538449612,    0.0717619048,    0.0901946903
     15,    0.2115000000,    0.3197000000,    0.4688000000,    0.3863178295,    0.0808904762,    0.0968967552
     16,    0.2189000000,    0.3120000000,    0.4691000000,    0.3455891473,    0.0548571429,    0.0975250737
     17,    0.2162000000,    0.3098000000,    0.4740000000,    0.3604496124,    0.0474190476,    0.1077876106
     18,    0.2146000000,    0.3093000000,    0.4761000000,    0.3692558140,    0.0457285714,    0.1121858407
     19,    0.2147000000,    0.3063000000,    0.4790000000,    0.3687054264,    0.0355857143,    0.1182595870
     20,    0.2255000000,    0.2986000000,    0.4759000000,    0.3092635659,    0.0095523810,    0.1117669617
     21,    0.2204000000,    0.2963000000,    0.4833000000,    0.3373333333,    0.0017761905,    0.1272654867
     22,    0.2201000000,    0.2924000000,    0.4875000000,    0.3389844961,    0.0114095238,    0.1360619469
     23,    0.2193000000,    0.2909000000,    0.4898000000,    0.3433875969,    0.0164809524,    0.1408790560
     24,    0.2166000000,    0.2915000000,    0.4919000000,    0.3582480620,    0.0144523810,    0.1452772861
     25,    0.2218000000,    0.2919000000,    0.4863000000,    0.3296279070,    0.0131000000,    0.1335486726
     26,    0.2168000000,    0.2926000000,    0.4906000000,    0.3571472868,    0.0107333333,    0.1425545723
     27,    0.2163000000,    0.2916000000,    0.4921000000,    0.3598992248,    0.0141142857,    0.1456961652
     28,    0.2151000000,    0.2892000000,    0.4957000000,    0.3665038760,    0.0222285714,    0.1532359882
     29,    0.2178000000,    0.2861000000,    0.4961000000,    0.3516434109,    0.0327095238,    0.1540737463
     30,    0.2197000000,    0.2836000000,    0.4967000000,    0.3411860465,    0.0411619048,    0.1553303835
     31,    0.2216000000,    0.2766000000,    0.5018000000,    0.3307286822,    0.0648285714,    0.1660117994
     32,    0.2201000000,    0.2712000000,    0.5087000000,    0.3389844961,    0.0830857143,    0.1804631268
     33,    0.2172000000,    0.2695000000,    0.5133000000,    0.3549457364,    0.0888333333,    0.1900973451
     34,    0.2111000000,    0.2689000000,    0.5200000000,    0.3885193798,    0.0908619048,    0.2041297935
     35,    0.2172000000,    0.2671000000,    0.5157000000,    0.3549457364,    0.0969476190,    0.1951238938
     36,    0.2101000000,    0.2707000000,    0.5192000000,    0.3940232558,    0.0847761905,    0.2024542773
     37,    0.2175000000,    0.2675000000,    0.5150000000,    0.3532945736,    0.0955952381,    0.1936578171
     38,    0.2209000000,    0.2651000000,    0.5140000000,    0.3345813953,    0.1037095238,    0.1915634218
     39,    0.2167000000,    0.2696000000,    0.5137000000,    0.3576976744,    0.0884952381,    0.1909351032
     40,    0.2191000000,    0.2709000000,    0.5100000000,    0.3444883721,    0.0841000000,    0.1831858407
     41,    0.2151000000,    0.2736000000,    0.5113000000,    0.3665038760,    0.0749714286,    0.1859085546
     42,    0.2170000000,    0.2717000000,    0.5113000000,    0.3560465116,    0.0813952381,    0.1859085546
     43,    0.2160000000,    0.2704000000,    0.5136000000,    0.3615503876,    0.0857904762,    0.1907256637
     44,    0.2178000000,    0.2660000000,    0.5162000000,    0.3516434109,    0.1006666667,    0.1961710914
     45,    0.2121000000,    0.2661000000,    0.5218000000,    0.3830155039,    0.1003285714,    0.2078997050
     46,    0.2178000000,    0.2615000000,    0.5207000000,    0.3516434109,    0.1158809524,    0.2055958702
     47,    0.2153000000,    0.2608000000,    0.5239000000,    0.3654031008,    0.1182476190,    0.2122979351
     48,    0.2146000000,    0.2598000000,    0.5256000000,    0.3692558140,    0.1216285714,    0.2158584071
     49,    0.2146000000,    0.2642000000,    0.5212000000,    0.3692558140,    0.1067523810,    0.2066430678
     50,    0.2272000000,    0.2582000000,    0.5146000000,    0.2999069767,    0.1270380952,    0.1928200590
     51,    0.2201000000,    0.2623000000,    0.5176000000,    0.3389844961,    0.1131761905,    0.1991032448
     52,    0.2205000000,    0.2644000000,    0.5151000000,    0.3367829457,    0.1060761905,    0.1938672566
     53,    0.2172000000,    0.2638000000,    0.5190000000,    0.3549457364,    0.1081047619,    0.2020353982
     54,    0.2196000000,    0.2629000000,    0.5175000000,    0.3417364341,    0.1111476190,    0.1988938053
     55,    0.2137000000,    0.2690000000,    0.5173000000,    0.3742093023,    0.0905238095,    0.1984749263
     56,    0.2109000000,    0.2711000000,    0.5180000000,    0.3896201550,    0.0834238095,    0.1999410029
     57,    0.2113000000,    0.2687000000,    0.5200000000,    0.3874186047,    0.0915380952,    0.2041297935
     58,    0.2103000000,    0.2713000000,    0.5184000000,    0.3929224806,    0.0827476190,    0.2007787611
     59,    0.2190000000,    0.2672000000,    0.5138000000,    0.3450387597,    0.0966095238,    0.1911445428
     60,    0.2158000000,    0.2704000000,    0.5138000000,    0.3626511628,    0.0857904762,    0.1911445428
     61,    0.2178000000,    0.2673000000,    0.5149000000,    0.3516434109,    0.0962714286,    0.1934483776
     62,    0.2085000000,    0.2716000000,    0.5199000000,    0.4028294574,    0.0817333333,    0.2039203540
     63,    0.2063000000,    0.2709000000,    0.5228000000,    0.4149379845,    0.0841000000,    0.2099941003
     64,    0.2087000000,    0.2726000000,    0.5187000000,    0.4017286822,    0.0783523810,    0.2014070796
     65,    0.2151000000,    0.2686000000,    0.5163000000,    0.3665038760,    0.0918761905,    0.1963805310
     66,    0.2124000000,    0.2676000000,    0.5200000000,    0.3813643411,    0.0952571429,    0.2041297935
     67,    0.2115000000,    0.2676000000,    0.5209000000,    0.3863178295,    0.0952571429,    0.2060147493
     68,    0.2080000000,    0.2679000000,    0.5241000000,    0.4055813953,    0.0942428571,    0.2127168142
     69,    0.2041000000,    0.2688000000,    0.5271000000,    0.4270465116,    0.0912000000,    0.2190000000
     70,    0.2039000000,    0.2701000000,    0.5260000000,    0.4281472868,    0.0868047619,    0.2166961652
     71,    0.2129000000,    0.2714000000,    0.5157000000,    0.3786124031,    0.0824095238,    0.1951238938
     72,    0.2122000000,    0.2712000000,    0.5166000000,    0.3824651163,    0.0830857143,    0.1970088496
     73,    0.2158000000,    0.2684000000,    0.5158000000,    0.3626511628,    0.0925523810,    0.1953333333
     74,    0.2112000000,    0.2690000000,    0.5198000000,    0.3879689922,    0.0905238095,    0.2037109145
     75,    0.2141000000,    0.2655000000,    0.5204000000,    0.3720077519,    0.1023571429,    0.2049675516
     76,    0.2154000000,    0.2638000000,    0.5208000000,    0.3648527132,    0.1081047619,    0.2058053097
     77,    0.2129000000,    0.2670000000,    0.5201000000,    0.3786124031,    0.0972857143,    0.2043392330
     78,    0.2093000000,    0.2728000000,    0.5179000000,    0.3984263566,    0.0776761905,    0.1997315634
     79,    0.2106000000,    0.2739000000,    0.5155000000,    0.3912713178,    0.0739571429,    0.1947050147
     80,    0.2180000000,    0.2675000000,    0.5145000000,    0.3505426357,    0.0955952381,    0.1926106195
     81,    0.2266000000,    0.2648000000,    0.5086000000,    0.3032093023,    0.1047238095,    0.1802536873
     82,    0.2230000000,    0.2683000000,    0.5087000000,    0.3230232558,    0.0928904762,    0.1804631268
     83,    0.2174000000,    0.2677000000,    0.5149000000,    0.3538449612,    0.0949190476,    0.1934483776
     84,    0.2148000000,    0.2688000000,    0.5164000000,    0.3681550388,    0.0912000000,    0.1965899705
     85,    0.2180000000,    0.2708000000,    0.5112000000,    0.3505426357,    0.0844380952,    0.1856991150
     86,    0.2112000000,    0.2740000000,    0.5148000000,    0.3879689922,    0.0736190476,    0.1932389381
     87,    0.2121000000,    0.2739000000,    0.5140000000,    0.3830155039,    0.0739571429,    0.1915634218
     88,    0.2103000000,    0.2731000000,    0.5166000000,    0.3929224806,    0.0766619048,    0.1970088496
     89,    0.2127000000,    0.2699000000,    0.5174000000,    0.3797131783,    0.0874809524,    0.1986843658
     90,    0.2191000000,    0.2652000000,    0.5157000000,    0.3444883721,    0.1033714286,    0.1951238938
     91,    0.2195000000,    0.2660000000,    0.5145000000,    0.3422868217,    0.1006666667,    0.1926106195
     92,    0.2213000000,    0.2700000000,    0.5087000000,    0.3323798450,    0.0871428571,    0.1804631268
     93,    0.2209000000,    0.2696000000,    0.5095000000,    0.3345813953,    0.0884952381,    0.1821386431
     94,    0.2152000000,    0.2736000000,    0.5112000000,    0.3659534884,    0.0749714286,    0.1856991150
     95,    0.2082000000,    0.2736000000,    0.5182000000,    0.4044806202,    0.0749714286,    0.2003598820
     96,    0.2146000000,    0.2716000000,    0.5138000000,    0.3692558140,    0.0817333333,    0.1911445428
     97,    0.2106000000,    0.2737000000,    0.5157000000,    0.3912713178,    0.0746333333,    0.1951238938
     98,    0.2093000000,    0.2711000000,    0.5196000000,    0.3984263566,    0.0834238095,    0.2032920354
     99,    0.2079000000,    0.2730000000,    0.5191000000,    0.4061317829,    0.0770000000,    0.2022448378
    100,    0.2109000000,    0.2718000000,    0.5173000000,    0.3896201550,    0.0810571429,    0.1984749263
    101,    0.2092000000,    0.2733000000,    0.5175000000,    0.3989767442,    0.0759857143,    0.1988938053
    102,    0.2142000000,    0.2708000000,    0.5150000000,    0.3714573643,    0.0844380952,    0.1936578171
    103,    0.2141000000,    0.2746000000,    0.5113000000,    0.3720077519,    0.0715904762,    0.1859085546
    104,    0.2140000000,    0.2786000000,    0.5074000000,    0.3725581395,    0.0580666667,    0.1777404130
    105,    0.2163000000,    0.2747000000,    0.5090000000,    0.3598992248,    0.0712523810,    0.1810914454
    106,    0.2139000000,    0.2761000000,    0.5100000000,    0.3731085271,    0.0665190476,    0.1831858407
    107,    0.2098000000,    0.2714000000,    0.5188000000,    0.3956744186,    0.0824095238,    0.2016165192
    108,    0.2047000000,    0.2726000000,    0.5227000000,    0.4237441860,    0.0783523810,    0.2097846608
    109,    0.2184000000,    0.2685000000,    0.5131000000,    0.3483410853,    0.0922142857,    0.1896784661
    110,    0.2214000000,    0.2647000000,    0.5139000000,    0.3318294574,    0.1050619048,    0.1913539823
    111,    0.2139000000,    0.2672000000,    0.5189000000,    0.3731085271,    0.0966095238,    0.2018259587
    112,    0.2138000000,    0.2668000000,    0.5194000000,    0.3736589147,    0.0979619048,    0.2028731563
    113,    0.2136000000,    0.2678000000,    0.5186000000,    0.3747596899,    0.0945809524,    0.2011976401
    114,    0.2149000000,    0.2672000000,    0.5179000000,    0.3676046512,    0.0966095238,    0.1997315634
    115,    0.2128000000,    0.2707000000,    0.5165000000,    0.3791627907,    0.0847761905,    0.1967994100
    116,    0.2084000000,    0.2732000000,    0.5184000000,    0.4033798450,    0.0763238095,    0.2007787611
    117,    0.2161000000,    0.2710000000,    0.5129000000,    0.3610000000,    0.0837619048,    0.1892595870
    118,    0.2172000000,    0.2707000000,    0.5121000000,    0.3549457364,    0.0847761905,    0.1875840708
    119,    0.2174000000,    0.2706000000,    0.5120000000,    0.3538449612,    0.0851142857,    0.1873746313
    120,    0.2075000000,    0.2766000000,    0.5159000000,    0.4083333333,    0.0648285714,    0.1955427729
    121,    0.2176000000,    0.2721000000,    0.5103000000,    0.3527441860,    0.0800428571,    0.1838141593
    122,    0.2178000000,    0.2735000000,    0.5087000000,    0.3516434109,    0.0753095238,    0.1804631268
    123,    0.2192000000,    0.2681000000,    0.5127000000,    0.3439379845,    0.0935666667,    0.1888407080
    124,    0.2139000000,    0.2725000000,    0.5136000000,    0.3731085271,    0.0786904762,    0.1907256637
    125,    0.2184000000,    0.2683000000,    0.5133000000,    0.3483410853,    0.0928904762,    0.1900973451
    126,    0.2140000000,    0.2716000000,    0.5144000000,    0.3725581395,    0.0817333333,    0.1924011799
    127,    0.2143000000,    0.2726000000,    0.5131000000,    0.3709069767,    0.0783523810,    0.1896784661
    128,    0.2152000000,    0.2717000000,    0.5131000000,    0.3659534884,    0.0813952381,    0.1896784661
    129,    0.2174000000,    0.2682000000,    0.5144000000,    0.3538449612,    0.0932285714,    0.1924011799
    130,    0.2146000000,    0.2666000000,    0.5188000000,    0.3692558140,    0.0986380952,    0.2016165192
    131,    0.2162000000,    0.2675000000,    0.5163000000,    0.3604496124,    0.0955952381,    0.1963805310
    132,    0.2189000000,    0.2638000000,    0.5173000000,    0.3455891473,    0.1081047619,    0.1984749263
    133,    0.2127000000,    0.2657000000,    0.5216000000,    0.3797131783,    0.1016809524,    0.2074808260
    134,    0.2118000000,    0.2676000000,    0.5206000000,    0.3846666667,    0.0952571429,    0.2053864307
    135,    0.2128000000,    0.2694000000,    0.5178000000,    0.3791627907,    0.0891714286,    0.1995221239
    136,    0.2110000000,    0.2673000000,    0.5217000000,    0.3890697674,    0.0962714286,    0.2076902655
    137,    0.2161000000,    0.2654000000,    0.5185000000,    0.3610000000,    0.1026952381,    0.2009882006
    138,    0.2120000000,    0.2660000000,    0.5220000000,    0.3835658915,    0.1006666667,    0.2083185841
    139,    0.2110000000,    0.2655000000,    0.5235000000,    0.3890697674,    0.1023571429,    0.2114601770
    140,    0.2090000000,    0.2699000000,    0.5211000000,    0.4000775194,    0.0874809524,    0.2064336283
    141,    0.2114000000,    0.2685000000,    0.5201000000,    0.3868682171,    0.0922142857,    0.2043392330
    142,    0.2096000000,    0.2722000000,    0.5182000000,    0.3967751938,    0.0797047619,    0.2003598820
    143,    0.2165000000,    0.2706000000,    0.5129000000,    0.3587984496,    0.0851142857,    0.1892595870
    144,    0.2189000000,    0.2696000000,    0.5115000000,    0.3455891473,    0.0884952381,    0.1863274336
    145,    0.2180000000,    0.2680000000,    0.5140000000,    0.3505426357,    0.0939047619,    0.1915634218
    146,    0.2078000000,    0.2664000000,    0.5258000000,    0.4066821705,    0.0993142857,    0.2162772861
    147,    0.2035000000,    0.2690000000,    0.5275000000,    0.4303488372,    0.0905238095,    0.2198377581
    148,    0.2088000000,    0.2682000000,    0.5230000000,    0.4011782946,    0.0932285714,    0.2104129794
    149,    0.2086000000,    0.2698000000,    0.5216000000,    0.4022790698,    0.0878190476,    0.2074808260
    150,    0.2092000000,    0.2690000000,    0.5218000000,    0.3989767442,    0.0905238095,    0.2078997050
    151,    0.2075000000,    0.2695000000,    0.5230000000,    0.4083333333,    0.0888333333,    0.2104129794
    152,    0.2128000000,    0.2671000000,    0.5201000000,    0.3791627907,    0.0969476190,    0.2043392330
    153,    0.2207000000,    0.2661000000,    0.5132000000,    0.3356821705,    0.1003285714,    0.1898879056
    154,    0.2126000000,    0.2698000000,    0.5176000000,    0.3802635659,    0.0878190476,    0.1991032448
    155,    0.2183000000,    0.2646000000,    0.5171000000,    0.3488914729,    0.1054000000,    0.1980560472
    156,    0.2191000000,    0.2647000000,    0.5162000000,    0.3444883721,    0.1050619048,    0.1961710914
    157,    0.2177000000,    0.2655000000,    0.5168000000,    0.3521937984,    0.1023571429,    0.1974277286
    158,    0.2158000000,    0.2687000000,    0.5155000000,    0.3626511628,    0.0915380952,    0.1947050147
    159,    0.2150000000,    0.2718000000,    0.5132000000,    0.3670542636,    0.0810571429,    0.1898879056
    160,    0.2141000000,    0.2710000000,    0.5149000000,    0.3720077519,    0.0837619048,    0.1934483776
    161,    0.2148000000,    0.2698000000,    0.5154000000,    0.3681550388,    0.0878190476,    0.1944955752
    162,    0.2161000000,    0.2676000000,    0.5163000000,    0.3610000000,    0.0952571429,    0.1963805310
    163,    0.2095000000,    0.2724000000,    0.5181000000,    0.3973255814,    0.0790285714,    0.2001504425
    164,    0.2103000000,    0.2716000000,    0.5181000000,    0.3929224806,    0.0817333333,    0.2001504425
    165,    0.2060000000,    0.2725000000,    0.5215000000,    0.4165891473,    0.0786904762,    0.2072713864
    166,    0.2075000000,    0.2673000000,    0.5252000000,    0.4083333333,    0.0962714286,    0.2150206490
    167,    0.2086000000,    0.2690000000,    0.5224000000,    0.4022790698,    0.0905238095,    0.2091563422
    168,    0.2133000000,    0.2673000000,    0.5194000000,    0.3764108527,    0.0962714286,    0.2028731563
    169,    0.2163000000,    0.2705000000,    0.5132000000,    0.3598992248,    0.0854523810,    0.1898879056
    170,    0.2153000000,    0.2716000000,    0.5131000000,    0.3654031008,    0.0817333333,    0.1896784661
    171,    0.2119000000,    0.2760000000,    0.5121000000,    0.3841162791,    0.0668571429,    0.1875840708
    172,    0.2111000000,    0.2745000000,    0.5144000000,    0.3885193798,    0.0719285714,    0.1924011799
    173,    0.2179000000,    0.2703000000,    0.5118000000,    0.3510930233,    0.0861285714,    0.1869557522
    174,    0.2144000000,    0.2740000000,    0.5116000000,    0.3703565891,    0.0736190476,    0.1865368732
    175,    0.2164000000,    0.2730000000,    0.5106000000,    0.3593488372,    0.0770000000,    0.1844424779
    176,    0.2193000000,    0.2686000000,    0.5121000000,    0.3433875969,    0.0918761905,    0.1875840708
    177,    0.2151000000,    0.2712000000,    0.5137000000,    0.3665038760,    0.0830857143,    0.1909351032
    178,    0.2116000000,    0.2705000000,    0.5179000000,    0.3857674419,    0.0854523810,    0.1997315634
    179,    0.2127000000,    0.2676000000,    0.5197000000,    0.3797131783,    0.0952571429,    0.2035014749
    180,    0.2114000000,    0.2647000000,    0.5239000000,    0.3868682171,    0.1050619048,    0.2122979351
    181,    0.2164000000,    0.2632000000,    0.5204000000,    0.3593488372,    0.1101333333,    0.2049675516
    182,    0.2158000000,    0.2625000000,    0.5217000000,    0.3626511628,    0.1125000000,    0.2076902655
    183,    0.2161000000,    0.2674000000,    0.5165000000,    0.3610000000,    0.0959333333,    0.1967994100
    184,    0.2212000000,    0.2619000000,    0.5169000000,    0.3329302326,    0.1145285714,    0.1976371681
