iter,f0,f1,f2
      0,    1.0000000000,    0.0000000000,    0.0000000000
      1,    0.8340000000,    0.0720000000,    0.0940000000
      2,    0.6720000000,    0.1570000000,    0.1710000000
      3,    0.5950000000,    0.1990000000,    0.2060000000
      4,    0.5630000000,    0.2130000000,    0.2240000000
      5,    0.5710000000,    0.2110000000,    0.2180000000
      6,    0.5630000000,    0.2210000000,    0.2160000000
      7,    0.5810000000,    0.2040000000,    0.2150000000
      8,    0.5740000000,    0.2110000000,    0.2150000000
      9,    0.5860000000,    0.2070000000,    0.2070000000
     10,    0.5720000000,    0.2200000000,    0.2080000000
     11,    0.5870000000,    0.2150000000,    0.1980000000
     12,    0.5880000000,    0.1930000000,    0.2190000000
     13,    0.5700000000,    0.2080000000,    0.2220000000
     14,    0.5550000000,    0.2080000000,    0.2370000000
     15,    0.5650000000,    0.2080000000,    0.2270000000
     16,    0.5590000000,    0.2000000000,    0.2410000000
     17,    0.5500000000,    0.1960000000,    0.2540000000
     18,    0.5680000000,    0.1860000000,    0.2460000000
     19,    0.5620000000,    0.1750000000,    0.2630000000
     20,    0.5700000000,    0.1730000000,    0.2570000000
     21,    0.5560000000,    0.1770000000,    0.2670000000
     22,    0.5650000000,    0.1840000000,    0.2510000000
     23,    0.5540000000,    0.1900000000,    0.2560000000
     24,    0.5610000000,    0.1870000000,    0.2520000000
     25,    0.5430000000,    0.1970000000,    0.2600000000
     26,    0.5620000000,    0.1810000000,    0.2570000000
     27,    0.5520000000,    0.1820000000,    0.2660000000
     28,    0.5620000000,    0.1720000000,    0.2660000000
     29,    0.5550000000,    0.1800000000,    0.2650000000
     30,    0.5600000000,    0.1820000000,    0.2580000000
     31,    0.5450000000,    0.1850000000,    0.2700000000
     32,    0.5440000000,    0.1970000000,    0.2590000000
     33,    0.5810000000,    0.1840000000,    0.2350000000
     34,    0.5490000000,    0.1980000000,    0.2530000000
     35,    0.5620000000,    0.1970000000,    0.2410000000
     36,    0.5570000000,    0.2000000000,    0.2430000000
     37,    0.5820000000,    0.1720000000,    0.2460000000
     38,    0.5730000000,    0.1730000000,    0.2540000000
     39,    0.5520000000,    0.1780000000,    0.2700000000
     40,    0.5320000000,    0.1930000000,    0.2750000000
     41,    0.5210000000,    0.1980000000,    0.2810000000
     42,    0.5340000000,    0.1830000000,    0.2830000000
     43,    0.5670000000,    0.1600000000,    0.2730000000
     44,    0.5500000000,    0.1700000000,    0.2800000000
     45,    0.5600000000,    0.1660000000,    0.2740000000
     46,    0.5780000000,    0.1590000000,    0.2630000000
     47,    0.5600000000,    0.1580000000,    0.2820000000
     48,    0.5720000000,    0.1470000000,    0.2810000000
     49,    0.5810000000,    0.1370000000,    0.2820000000
     50,    0.5700000000,    0.1510000000,    0.2790000000
     51,    0.5570000000,    0.1580000000,    0.2850000000
     52,    0.5340000000,    0.1750000000,    0.2910000000
     53,    0.5350000000,    0.1760000000,    0.2890000000
     54,    0.5500000000,    0.1610000000,    0.2890000000
     55,    0.5560000000,    0.1610000000,    0.2830000000
     56,    0.5670000000,    0.1600000000,    0.2730000000
     57,    0.5450000000,    0.1840000000,    0.2710000000
     58,    0.5780000000,    0.1820000000,    0.2400000000
     59,    0.5520000000,    0.1950000000,    0.2530000000
     60,    0.5250000000,    0.2130000000,    0.2620000000
     61,    0.5610000000,    0.1960000000,    0.2430000000
     62,    0.5590000000,    0.1960000000,    0.2450000000
     63,    0.5700000000,    0.1820000000,    0.2480000000
     64,    0.5510000000,    0.1860000000,    0.2630000000
     65,    0.5470000000,    0.1830000000,    0.2700000000
     66,    0.5670000000,    0.1920000000,    0.2410000000
     67,    0.5690000000,    0.1990000000,    0.2320000000
     68,    0.5470000000,    0.1990000000,    0.2540000000
     69,    0.5180000000,    0.2210000000,    0.2610000000
     70,    0.5650000000,    0.1980000000,    0.2370000000
     71,    0.5710000000,    0.2080000000,    0.2210000000
     72,    0.5620000000,    0.2170000000,    0.2210000000
     73,    0.5800000000,    0.2120000000,    0.2080000000
     74,    0.5780000000,    0.2270000000,    0.1950000000
     75,    0.5710000000,    0.2170000000,    0.2120000000
     76,    0.5810000000,    0.2150000000,    0.2040000000
     77,    0.5730000000,    0.2160000000,    0.2110000000
     78,    0.5700000000,    0.2090000000,    0.2210000000
     79,    0.5840000000,    0.1920000000,    0.2240000000
     80,    0.5770000000,    0.1780000000,    0.2450000000
     81,    0.5790000000,    0.1800000000,    0.2410000000
     82,    0.5600000000,    0.1870000000,    0.2530000000
     83,    0.5560000000,    0.1900000000,    0.2540000000
     84,    0.5750000000,    0.1860000000,    0.2390000000
     85,    0.5910000000,    0.1820000000,    0.2270000000
     86,    0.5950000000,    0.1800000000,    0.2250000000
     87,    0.5580000000,    0.2210000000,    0.2210000000
     88,    0.5900000000,    0.2010000000,    0.2090000000
     89,    0.5840000000,    0.1960000000,    0.2200000000
     90,    0.5760000000,    0.1890000000,    0.2350000000
     91,    0.5890000000,    0.1970000000,    0.2140000000
     92,    0.5960000000,    0.1860000000,    0.2180000000
     93,    0.5730000000,    0.1880000000,    0.2390000000
     94,    0.5770000000,    0.1830000000,    0.2400000000
     95,    0.5720000000,    0.1720000000,    0.2560000000
     96,    0.5580000000,    0.1700000000,    0.2720000000
     97,    0.5560000000,    0.1690000000,    0.2750000000
     98,    0.5290000000,    0.1890000000,    0.2820000000
     99,    0.5380000000,    0.1900000000,    0.2720000000
    100,    0.5700000000,    0.1770000000,    0.2530000000
    101,    0.5820000000,    0.1750000000,    0.2430000000
    102,    0.5800000000,    0.1700000000,    0.2500000000
    103,    0.5710000000,    0.1650000000,    0.2640000000
    104,    0.5400000000,    0.1630000000,    0.2970000000
    105,    0.5280000000,    0.1680000000,    0.3040000000
    106,    0.5630000000,    0.1520000000,    0.2850000000
    107,    0.5640000000,    0.1460000000,    0.2900000000
    108,    0.5490000000,    0.1470000000,    0.3040000000
    109,    0.5720000000,    0.1270000000,    0.3010000000
    110,    0.5450000000,    0.1510000000,    0.3040000000
    111,    0.5300000000,    0.1590000000,    0.3110000000
    112,    0.5500000000,    0.1540000000,    0.2960000000
    113,    0.5650000000,    0.1590000000,    0.2760000000
    114,    0.5530000000,    0.1700000000,    0.2770000000
    115,    0.5690000000,    0.1420000000,    0.2890000000
    116,    0.5530000000,    0.1580000000,    0.2890000000
    117,    0.5570000000,    0.1520000000,    0.2910000000
    118,    0.5400000000,    0.1590000000,    0.3010000000
    119,    0.5390000000,    0.1720000000,    0.2890000000
    120,    0.5630000000,    0.1560000000,    0.2810000000
    121,    0.5710000000,    0.1510000000,    0.2780000000
