pi2,lambda
0.0,0.242794902261854
0.0,0.2412652391582158
0.0,0.23972915081273313
0.0,0.23818659516593263
0.0,0.23663752977296987
0.01,0.23508191180002774
0.01,0.23351969803151953
0.01,0.2319508448556828
0.01,0.230375308257376
0.01,0.22879304382167995
0.02,0.2125902992774722
0.03,0.1956627285980362
0.04,0.17795844625111093
0.05,0.15942028985404763
0.06,0.13998510796840866
0.07,0.11958292603446359
0.08,0.09813596491384668
0.09,0.07555747997534089
0.1,0.051750380519136954
0.11,0.02660557832843215
0.111,0.024012919402397755
0.11214285714285714,0.021031841387735152
0.11328571428571428,0.018031330873535412
0.11442857142857142,0.015011186141440697
0.11557142857142857,0.01197120253058676
0.11671428571428571,0.008911172397985383
0.11785714285714285,0.0058308850464923795
0.119,0.0027301266815883997
0.12,
0.13,
0.14,
0.15,
0.16,
0.17,
0.18,
0.19,
0.2,
0.21,
0.22,
0.23,
0.24,
0.25,
0.26,
0.27,
0.28,
0.29,
0.3,
0.31,
0.32,
0.33,
0.34,
0.35,
0.36,
0.37,
0.38,
0.39,
0.4,
0.41,
0.42,
0.43,
0.44,
0.45,
0.46,
0.47,
0.48,
0.49,
0.5,
