pi1,pi2
0.001,0.0018000000000000002
0.002,0.0036000000000000003
0.003,0.0054
0.004,0.007200000000000001
0.005,0.009
0.006,0.0108
0.007,0.0126
0.008,0.014400000000000001
0.009,0.0162
0.01,0.018
0.02,0.036
0.03,0.054000000000000006
0.04,0.072
0.05,0.09
0.06,0.10800000000000001
0.07,0.12600000000000003
0.08,0.144
0.09,0.16199999999999998
0.1,0.18
0.11,0.198
0.12,0.21600000000000003
0.13,0.23399999999999999
0.14,0.25200000000000006
0.15,0.26999999999999996
0.16,0.288
0.17,0.306
0.18,0.32399999999999995
0.19,0.34199999999999997
0.2,0.36
0.21,0.378
0.22,0.396
0.23,0.41400000000000003
0.24,0.43200000000000005
0.25,0.45
0.26,0.46799999999999997
0.27,0.48600000000000004
0.28,0.5040000000000001
0.29,0.522
0.3,0.5399999999999999
0.31,0.558
0.32,0.576
0.33,0.5940000000000001
0.34,0.612
0.35,0.63
0.36,0.6479999999999999
0.37,0.666
0.38,0.6839999999999999
0.39,0.7020000000000001
0.4,0.72
0.41,0.738
0.42,0.756
0.43,0.774
0.44,0.792
0.45,0.8099999999999999
0.46,0.8280000000000001
0.47,0.8459999999999999
0.48,0.8640000000000001
0.49,0.882
0.5,0.9
0.51,0.9179999999999999
0.52,0.9359999999999999
0.53,0.9540000000000001
0.54,0.9720000000000001
0.55,0.99
0.56,1.0080000000000002
0.57,1.026
0.58,1.044
0.59,1.0619999999999998
0.6,1.0799999999999998
0.61,1.098
0.62,1.116
0.63,1.134
0.64,1.152
0.65,1.1700000000000002
0.66,1.1880000000000002
0.67,1.206
0.68,1.224
0.69,1.2419999999999998
0.7,1.26
0.71,1.278
0.72,1.2959999999999998
0.73,1.314
0.74,1.332
0.75,1.35
0.76,1.3679999999999999
0.77,1.386
0.78,1.4040000000000001
0.79,1.4220000000000002
0.8,1.44
0.81,1.4580000000000002
0.82,1.476
0.83,1.494
0.84,1.512
0.85,1.5299999999999998
0.86,1.548
0.87,1.566
0.88,1.584
0.89,1.6019999999999999
0.9,1.6199999999999999
0.91,1.638
0.92,1.6560000000000001
0.93,1.6740000000000002
0.94,1.6919999999999997
0.95,1.7099999999999997
0.96,1.7280000000000002
0.97,1.746
0.98,1.764
0.99,1.782
