pi,lambda
0.01,0.31843937186262766
0.02,0.47401299350175247
0.03,0.5717627911717774
0.04,0.6388745925537811
0.05,0.6878012606596374
0.06,0.7250522466050148
0.07,0.754361397981584
0.08,0.7780238321216552
0.09,0.7975280142372468
0.1,0.8138815207763582
0.11,0.8277907309702596
0.12,0.8397655476900993
0.13,0.8501832674979852
0.14,0.8593290564035966
0.15,0.8674224531561718
0.16,0.8746352212507484
0.17,0.8811036742086745
0.18,0.8869373724343916
0.19,0.8922253795170754
0.2,0.8970408412820181
0.21,0.9014443898203308
0.22,0.9054867097687074
0.23,0.9092104979394503
0.24,0.9126519772598205
0.25,0.9158420789609009
0.26,0.9188073748370941
0.27,0.9215708191287009
0.28,0.9241523438914492
0.29,0.9265693405194767
0.3,0.9288370520639115
0.31,0.9309688950105339
0.32,0.9329767249337173
0.33,0.9348710570691607
0.34,0.9366612505284717
0.35,0.9383556629338233
0.36,0.9399617808966806
0.37,0.941486330594096
0.38,0.9429353719361161
0.39,0.9443143790579177
0.4,0.9456283094416976
0.41,0.9468816634511029
0.42,0.9480785358376996
0.43,0.9492226604440193
0.44,0.9503174490792182
0.45,0.9513660255289784
0.46,0.9523712553155192
0.47,0.9533357718452061
0.48,0.9542619994335737
0.49,0.955152173683173
0.5,0.9560083594555501
