lambda,f0,f1,f2
0.01,0.1653165812530997,0.3436931724251943,0.49099024632170607
0.02,0.16672224074691566,0.34311437145715246,0.49016338779593194
0.03,0.16815200941651254,0.3425256431814361,0.48932234740205144
0.04,0.16960651289009498,0.3419267299864315,0.4884667571234735
0.05,0.1710863986313088,0.34131736526946105,0.48759623609923003
0.060000000000000005,0.17259233690024164,0.340697273041077,0.48671039005868133
0.06999999999999999,0.17412502176562772,0.340066167508271,0.4858088107261014
0.08,0.17568517217146873,0.33942375263527763,0.4848910751932537
0.09,0.17727353306151392,0.33876972168055314,0.483956745257933
0.09999999999999999,0.17889087656529518,0.3381037567084079,0.48300536672629696
0.11,0.18053800324968408,0.3374255280736596,0.4820364686766565
0.12,0.18221574344023325,0.33673469387755106,0.4810495626822158
0.13,0.1839249586168843,0.3360308993930476,0.480044141990068
0.14,0.18566654288897141,0.3353137764574824,0.4790196806535463
0.15000000000000002,0.18744142455482662,0.33458294283036555,0.4779756326148079
0.16,0.18925056775170324,0.3338380015140045,0.4769114307342921
0.17,0.1910949742021785,0.33307854003439713,0.4758264857634244
0.18000000000000002,0.19297568506368204,0.33230412967966044,0.4747201852566577
0.19,0.19489378288832584,0.3315143246930423,0.47359189241863175
0.2,0.19685039370078738,0.3307086614173228,0.47244094488188965
0.21000000000000002,0.19884668920262477,0.3298866573871545,0.47126665341022067
0.22,0.20088388911209323,0.32904781036560876,0.47006830052229814
0.23,0.2029632636492795,0.32819159732088493,0.4688451390298356
0.24000000000000002,0.20508613617719446,0.32731747333880234,0.4675963904840033
0.25,0.20725388601036274,0.3264248704663213,0.4663212435233161
0.26,0.20946795140343524,0.3255131964809384,0.4650188521156262
0.27,0.21172983273343216,0.32458183358035153,0.46368833368621637
0.28,0.21404109589041093,0.32363013698630133,0.4623287671232876
0.29000000000000004,0.21640337589266395,0.322657433455962,0.4609391906513742
0.3,0.2188183807439825,0.3216630196936543,0.4595185995623632
0.31,0.22128789555211328,0.32064616065501217,0.4580659437928744
0.32,0.22381378692927484,0.3196060877350045,0.4565801253357206
0.33,0.22639800769753227,0.3185419968304279,0.4550599954720398
0.34,0.22904260192395787,0.3174530462666056,0.45350435180943655
0.35000000000000003,0.23174971031286212,0.3163383545770568,0.45191193511008104
0.36000000000000004,0.23452157598499065,0.31519699812382745,0.450281425891182
0.37,0.23736055067647757,0.3140280085449798,0.4486114407785426
0.38,0.24026910139356078,0.31283037001441616,0.44690052859202306
0.39,0.24324981756263683,0.31160301629773784,0.44514716613962535
0.4,0.24630541871921185,0.31034482758620696,0.4433497536945813
0.41000000000000003,0.24943876278373658,0.3090546270890496,0.4415066101272137
0.42000000000000004,0.25265285497726125,0.3077311773623042,0.43961596766043454
0.43,0.2559508574353724,0.3063731763501408,0.4376759662144868
0.44,0.2593360995850622,0.30497925311203317,0.4356846473029045
0.45,0.26281208935611033,0.3035479632063075,0.433639947437582
0.46,0.2663825253063399,0.30207778369738947,0.4315396909962706
0.47000000000000003,0.2700513097488523,0.3005671077504726,0.4293815825006751
0.48000000000000004,0.2738225629791895,0.29901423877327493,0.42716319824753557
0.49,0.27770063871146905,0.29741738405998336,0.42488197722854765
0.5,0.28169014084507044,0.29577464788732394,0.4225352112676056
0.51,0.2857959416976279,0.2940840240068591,0.420120034295513
0.52,0.2900232018561485,0.2923433874709977,0.4176334106728538
0.53,0.2943773918163085,0.2905504857226965,0.41507212246099495
0.54,0.2988643156007173,0.2887029288702929,0.4124327555289898
0.55,0.30349013657056145,0.28679817905918054,0.4097116843702579
0.56,0.3082614056720099,0.2848335388409371,0.4069050554870529
0.5700000000000001,0.3131850923896023,0.2828061384278108,0.4040087691825869
0.5800000000000001,0.3182686187141948,0.28071292170591977,0.40101845957988536
0.59,0.3235198964736331,0.2785506308637981,0.3979294726625687
0.6,0.32894736842105265,0.27631578947368424,0.39473684210526316
0.61,0.3345600535296086,0.27400468384074944,0.391435262629642
0.62,0.34036759700476515,0.27161334240980256,0.38801906058543223
0.63,0.34638032559750603,0.2691375129892622,0.3844821614132317
0.64,0.35260930888575454,0.26657263751763044,0.38081805359661486
0.65,0.3590664272890485,0.2639138240574506,0.37701974865350085
0.66,0.365764447695684,0.2611558156547184,0.37307973664959765
0.67,0.37271710771524413,0.25829295564666416,0.3689899366380916
0.68,0.3799392097264438,0.2553191489361702,0.364741641337386
0.6900000000000001,0.3874467260751647,0.2522278186749322,0.3603254552499031
0.7000000000000001,0.3952569169960475,0.24901185770750986,0.35573122529644263
0.7100000000000001,0.4033884630899557,0.24566357402178296,0.35094796288826136
0.72,0.41186161449752884,0.242174629324547,0.34596375617792424
0.73,0.42069835927639876,0.23853596970971813,0.340765671013883
0.74,0.42992261392949266,0.234737747205503,0.33533963886500423
0.75,0.43956043956043955,0.23076923076923075,0.32967032967032966
0.76,0.44964028776978415,0.2266187050359712,0.32374100719424453
0.77,0.46019328117809477,0.22227335480901975,0.31753336401288534
0.78,0.471253534401508,0.2177191328934967,0.3110273327049952
0.79,0.4828585224529214,0.2129406084017383,0.3042008691453404
0.8,0.49504950495049516,0.20792079207920794,0.297029702970297
0.81,0.5078720162519046,0.20264093448450987,0.2894870492635855
0.8200000000000001,0.5213764337851929,0.19708029197080287,0.28154327424400405
0.8300000000000001,0.5356186395286557,0.19121585431173002,0.2731655061596143
0.8400000000000001,0.550660792951542,0.18502202643171803,0.26431718061674
0.85,0.56657223796034,0.17847025495750712,0.254957507082153
0.86,0.5834305717619603,0.17152858809801635,0.24504084014002336
0.87,0.6013229104028862,0.16416115453998795,0.2345159350571256
0.88,0.6203473945409429,0.1563275434243176,0.22332506203473942
0.89,0.6406149903907752,0.14798206278026904,0.21140294682895577
0.9,0.6622516556291391,0.1390728476821192,0.19867549668874168
0.91,0.6854009595613436,0.1295407813570939,0.1850582590815627
0.92,0.7102272727272728,0.11931818181818178,0.1704545454545454
0.93,0.7369196757553428,0.10832719233603531,0.15475313190862186
0.9400000000000001,0.7656967840735072,0.09647779479326181,0.13782542113323112
0.9500000000000001,0.7968127490039845,0.08366533864541825,0.11952191235059749
0.9600000000000001,0.8305647840531564,0.06976744186046502,0.09966777408637857
0.97,0.8673026886383346,0.05464006938421513,0.07805724197745018
0.98,0.9074410163339383,0.03811252268602545,0.054446460980036346
0.99,0.9514747859181732,0.019980970504281655,0.02854424357754522
