lambda,f0,f1,f2
0.01,0.05840084657157597,0.46800103618884237,0.4735981172394777
0.02,0.05797949880529578,0.4653516119245681,0.4766688892702938
0.03,0.057559438122056356,0.46263877664961367,0.47980178522840516
0.04,0.0571406174558703,0.45986135130731665,0.48299803123683144
0.05,0.0567229908067221,0.45701816744136975,0.4862588417518421
0.060000000000000005,0.056306513390430836,0.454108071335249,0.4895854152741898
0.06999999999999999,0.05589114179717746,0.4511299284944041,0.4929789297083865
0.08,0.055476834158647945,0.4480826284788351,0.4964405373624942
0.09,0.05506355032371016,0.444965090091606,0.49997135958466415
0.09999999999999999,0.05465125204221697,0.44177626692380767,0.5035724810340215
0.11,0.05423990315656423,0.43851515325415863,0.507244943589268
0.12,0.05382946980044394,0.4351807902967554,0.5109897399028146
0.13,0.05341992060392755,0.43177227278422314,0.514807806611876
0.14,0.05301122690403072,0.4282887558697255,0.5187000172262379
0.15000000000000002,0.05260336295954218,0.42472946232353526,0.5226671747169236
0.16,0.05219630616874493,0.421093689993588,0.5267100038376517
0.17,0.05179003728846819,0.41738081949244654,0.5308291432190443
0.18000000000000002,0.05138454065261509,0.41359032206474583,0.5350251372826158
0.19,0.050979804388121344,0.4097217675814939,0.5392984280303852
0.2,0.05057582062607904,0.4057748325994049,0.5436493467745389
0.21000000000000002,0.050172585705518066,0.4017493084149085,0.5480781058795948
0.22,0.04977010036716587,0.3976451090346506,0.5525847905982042
0.23,0.04936836993431462,0.39346227897642977,0.5571693510892141
0.24000000000000002,0.048967404477816605,0.38920100080781633,0.5618315947143505
0.25,0.048567218962072944,0.38486160232301925,0.5665711787149015
0.26,0.04816783336892068,0.3804445632545988,0.5713876033764493
0.27,0.04776927279624881,0.3759505214123919,0.576280205791386
0.28,0.047371567528280485,0.3713802781407444,0.5812481543309669
0.29000000000000004,0.04697475307464961,0.3667348029860906,0.5862904439392636
0.3,0.046578870175519545,0.36201523746855585,0.5914058923559053
0.31,0.04618396477040633,0.3572228978576527,0.596593137371907
0.32,0.04579008792865255,0.35235927685887286,0.6018506352123929
0.33,0.0453972957400172,0.34742604412901157,0.6071766601310264
0.34,0.045005649164300374,0.34242504555019815,0.61256930528546
0.35000000000000003,0.04461521383962695,0.3373583012092179,0.6180264849511228
0.36000000000000004,0.044226059849458106,0.33222800204412484,0.6235459381063437
0.37,0.04383826144928298,0.3270365051417921,0.629125233408872
0.38,0.043451896754461386,0.3217863276889257,0.6347617755566614
0.39,0.04306704739147482,0.31648013960178367,0.6404528130066955
0.4,0.042683798115501416,0.311120754881715,0.6461954470027563
0.41000000000000003,0.04230223639779518,0.30571112176464216,0.6519866418375384
0.42000000000000004,0.04192245198704153,0.300254311754788,0.657823236258143
0.43,0.04154453644925346,0.2947535076511639,0.663701955899452
0.44,0.04116858269124798,0.28921199069342146,0.6696194266152431
0.45,0.04079468447299288,0.2836331269678414,0.6755721885592048
0.46,0.04042293591435832,0.2780203532265939,0.6815567108590984
0.47000000000000003,0.040053431001836136,0.2723771622813625,0.6875694067167784
0.48000000000000004,0.039686263100742344,0.2667070881373418,0.6936066487619669
0.49,0.03932152447825638,0.26101369103496014,0.699664784486848
0.5,0.038959305842394855,0.2553005425646252,0.7057401515928882
0.51,0.03859969590160073,0.2495712110136834,0.7118290930847032
0.52,0.0382427809491701,0.24382924709604073,0.7179279719547987
0.53,0.037888644476261744,0.2380781702039632,0.7240331853198281
0.54,0.0375373668165669,0.23232145530685755,0.730141177876515
0.55,0.03718902482517338,0.22656252060701274,0.7362484545678443
0.56,0.036843691593460154,0.2208047160447058,0.7423515923616014
0.5700000000000001,0.03650143620131286,0.21505131272831257,0.7484472510703041
0.5800000000000001,0.036162323507214864,0.20930549334589485,0.7545321831469646
0.59,0.035826413976331135,0.20357034359853352,0.7606032424250653
0.6,0.03549376354605032,0.1978488446774479,0.7666573917763857
0.61,0.03516442352800605,0.19214386679131243,0.7726917096805929
0.62,0.03483844054519585,0.1864581637356214,0.7787033957192805
0.63,0.03451585650241313,0.180794368482272,0.7846897750151779
0.64,0.03419670858795348,0.17515498975631735,0.7906483016555547
0.65,0.03388102930426637,0.16954240955639635,0.7965765611393588
0.66,0.03356884652512339,0.1639588815678653,0.8024722719070287
0.67,0.03326018357672403,0.1584065304108615,0.8083332860122566
0.68,0.03295505934010589,0.15288735166080714,0.8141575889991137
0.6900000000000001,0.03265348837222893,0.1474032125757566,0.8199432990521761
0.7000000000000001,0.03235548104315845,0.1419558534633746,0.82568866549351
0.7100000000000001,0.03206104368681367,0.13654688961956601,0.8313920666936904
0.72,0.03177017876286644,0.13117781377152518,0.8370520074652767
0.73,0.03148288502752635,0.12584999895971866,0.842667116012503
0.74,0.031199157711044093,0.12056470179526449,0.8482361404936031
0.75,0.030918988699987632,0.11532306603264393,0.8537579452673609
0.76,0.03064236672246276,0.11012612640074766,0.8592315068769371
0.77,0.030369277534643538,0.10497481263924696,0.8646559098258421
0.78,0.030099704107160338,0.09986995369138214,0.8700303422018311
0.79,0.029833626810018873,0.09481228200813646,0.8753540911812594
0.8,0.029571023594974894,0.08980243792352507,0.880626538481127
0.81,0.02931187017431517,0.08484097406405115,0.8858471557615788
