pi1,pi2,q1,q2,lambda,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ,m,sdm,k0,k1,k2,sdk0,sdk1,sdk2
0.3,0.3,7,8,0.0,0.1819830757,0.3821062591,0.4359106652,0.065442558,0.0826293454,0.084462417,-0.3283018531,0.2319523555,0.2115731781,0.0897315146,0.926250723,0.174004033,0.1542154062,0.6846064338,0.1286722046,0.1153117441
0.3,0.3,7,8,0.05,0.1795236905,0.3791619952,0.4413143143,0.064995358,0.0849702033,0.0867987989,-0.3170096762,0.2397350914,0.21813136,0.093018052,0.9215433285,0.1788371785,0.1589988143,0.6789239754,0.1326278986,0.1183408297
0.3,0.3,7,8,0.1,0.1764458885,0.3795551112,0.4439990002,0.0648249942,0.0860963384,0.0881493873,-0.3151112222,0.243683936,0.2228139394,0.0939912976,0.9254223587,0.1815078543,0.1620110146,0.6739672245,0.1339251817,0.1201719435
0.3,0.3,7,8,0.15,0.1743778341,0.3779951441,0.4476270218,0.0647230155,0.0896546245,0.0922951162,-0.3083632663,0.2557435007,0.2298402185,0.0982464085,0.9267203199,0.1887098804,0.1699315364,0.6752357467,0.1400872773,0.1267145714
0.3,0.3,7,8,0.2,0.1718395401,0.3784039704,0.4497564894,0.0644110523,0.0919920787,0.0947111165,-0.3070514514,0.2634165421,0.2350840861,0.1004911107,0.9292585425,0.1940414556,0.1750220476,0.6726437474,0.1430941128,0.1300835509
0.3,0.3,7,8,0.25,0.1696311636,0.3757017888,0.4546670475,0.0637694896,0.0951707449,0.0975358684,-0.2967365302,0.2734071421,0.2426089906,0.1032780395,0.9269705431,0.2010480373,0.1815489873,0.6681212993,0.1482066392,0.1350031687
0.3,0.3,7,8,0.3,0.1672813939,0.3744795944,0.4582390117,0.063959876,0.0981197021,0.1009431329,-0.2907201771,0.2831107069,0.2488667119,0.1071610702,0.9384802371,0.2073196837,0.1884535528,0.6722345887,0.1530580618,0.1411805868
0.3,0.3,7,8,0.35,0.1643928304,0.3729199843,0.4626871853,0.0632457649,0.100739122,0.1037612542,-0.2831527832,0.291872171,0.2560183168,0.1098623016,0.9409299104,0.213864306,0.1958931437,0.6691454372,0.1562594389,0.1455514096
0.3,0.3,7,8,0.4,0.1625693577,0.3622308709,0.4751997715,0.0631354894,0.104976254,0.1089075769,-0.2492619702,0.3061543472,0.2699851823,0.1170656223,0.9483960439,0.2260312473,0.2119333971,0.6708558769,0.1647190756,0.156746802
0.3,0.3,7,8,0.45,0.1599939301,0.3654004356,0.4746056343,0.0629693034,0.1111884801,0.1147521264,-0.2561952369,0.3251940249,0.2777221766,0.1204780628,0.9586980398,0.2378965633,0.2219649381,0.6757779046,0.1733671886,0.1636243744
0.3,0.3,7,8,0.5,0.157581676,0.3571210769,0.4852972471,0.0626584469,0.1171829428,0.1210410625,-0.2289449066,0.3442262438,0.292371907,0.12837425,0.9686909701,0.2549271696,0.2402506701,0.6780385052,0.1827248088,0.1757057399
0.3,0.3,7,8,0.55,0.1552144107,0.3512486164,0.4935369729,0.0622741997,0.1207843414,0.1253878576,-0.2089602599,0.3562910824,0.3032457957,0.1339049025,0.9780760524,0.2656728675,0.2539214937,0.6810844132,0.189470298,0.1850087831
0.3,0.3,7,8,0.6,0.1530438819,0.3424604563,0.5044956618,0.0617617688,0.1296170954,0.1340848555,-0.1804252508,0.3835502077,0.3224709894,0.1421144235,0.9861248974,0.2906573527,0.2796138123,0.6823570784,0.2034352276,0.1984598108
0.3,0.3,7,8,0.65,0.1505934231,0.3301528189,0.519253758,0.061582806,0.1368767823,0.1418749616,-0.1410518799,0.4064629767,0.3431872389,0.1512229498,0.9997369229,0.3154615258,0.3076749687,0.6908577601,0.2175010581,0.2136905236
0.3,0.3,7,8,0.7,0.1485846396,0.3232838219,0.5281315385,0.0613601894,0.1450359205,0.1500837238,-0.1184361053,0.4315758753,0.3600382047,0.158646029,1.0120846931,0.3394432854,0.3311386809,0.6957540141,0.2292837199,0.2262522235
0.3,0.3,7,8,0.75,0.1450269575,0.2927164637,0.5622565787,0.0606131493,0.1464480599,0.1525280723,-0.0231763488,0.4371827264,0.3939388367,0.1710803898,1.0320854072,0.3769599267,0.3775575721,0.7015219153,0.2438706223,0.2464604057
