loops,interac_r,coms,counts,probs
0,70.0,1,17637,0.23773386531514532
0,70.0,2,6863,0.09250822235401952
0,70.0,3,4246,0.05723297568339893
0,70.0,4,2475,0.03336119048902787
0,70.0,5,1955,0.026351970669110908
0,70.0,6,1326,0.017873510540788267
0,70.0,7,1331,0.017940906885210547
0,70.0,8,978,0.013182724968997682
0,70.0,9,847,0.011416940745133984
0,70.0,10,797,0.010742977300911198
0,70.0,11,546,0.0073596808109128165
0,70.0,12,615,0.00828975036394026
0,70.0,13,643,0.00866716989270502
0,70.0,14,484,0.006523966140076562
0,70.0,15,439,0.005917399040276055
0,70.0,16,441,0.005944357578044967
0,70.0,17,398,0.0053647490160133714
0,70.0,18,401,0.005405186822666739
0,70.0,19,440,0.005930878309160511
0,70.0,20,525,0.007076616164339246
0,70.0,21,467,0.006294818569040815
0,70.0,22,619,0.008343667439478083
0,70.0,23,770,0.010379037041030895
0,70.0,24,543,0.007319243004259449
0,70.0,25,837,0.011282148056289427
0,70.0,26,738,0.009947700436728312
0,70.0,27,765,0.010311640696608617
0,70.0,28,1173,0.015811182401466544
0,70.0,29,1321,0.01780611419636599
0,70.0,30,1577,0.02125680703078665
0,70.0,31,2058,0.027740335364209844
0,70.0,32,2516,0.03391384051329056
0,70.0,33,3266,0.04402329217663234
0,70.0,34,4963,0.06689761147355368
0,70.0,35,9188,0.12384752251037903
400,60.0,1,210,0.16921837228041903
400,60.0,2,74,0.05962933118452861
400,60.0,3,42,0.03384367445608381
400,60.0,4,21,0.016921837228041903
400,60.0,5,9,0.007252215954875101
400,60.0,6,6,0.004834810636583401
400,60.0,7,10,0.008058017727639
400,60.0,8,8,0.0064464141821112
400,60.0,9,4,0.0032232070910556
400,60.0,10,7,0.0056406124093473006
400,60.0,11,5,0.0040290088638195
400,60.0,12,2,0.0016116035455278
400,60.0,13,6,0.004834810636583401
400,60.0,14,5,0.0040290088638195
400,60.0,15,4,0.0032232070910556
400,60.0,16,2,0.0016116035455278
400,60.0,17,2,0.0016116035455278
400,60.0,18,5,0.0040290088638195
400,60.0,19,4,0.0032232070910556
400,60.0,20,3,0.0024174053182917004
400,60.0,21,2,0.0016116035455278
400,60.0,22,6,0.004834810636583401
400,60.0,23,1,0.0008058017727639
400,60.0,24,2,0.0016116035455278
400,60.0,25,7,0.0056406124093473006
400,60.0,26,4,0.0032232070910556
400,60.0,27,6,0.004834810636583401
400,60.0,28,6,0.004834810636583401
400,60.0,29,11,0.008863819500402902
400,60.0,30,11,0.008863819500402902
400,60.0,31,26,0.020950846091861403
400,60.0,32,29,0.023368251410153102
400,60.0,33,63,0.05076551168412571
400,60.0,34,134,0.10797743755036261
400,60.0,35,504,0.40612409347300565
800,40.0,1,333,0.31092436974789917
800,40.0,2,112,0.10457516339869281
800,40.0,3,54,0.05042016806722689
800,40.0,4,34,0.031746031746031744
800,40.0,5,25,0.02334267040149393
800,40.0,6,23,0.021475256769374416
800,40.0,7,15,0.014005602240896359
800,40.0,8,13,0.012138188608776844
800,40.0,9,11,0.01027077497665733
800,40.0,10,5,0.004668534080298786
800,40.0,11,3,0.0028011204481792717
800,40.0,12,2,0.0018674136321195146
800,40.0,13,9,0.008403361344537815
800,40.0,14,9,0.008403361344537815
800,40.0,15,10,0.009337068160597572
800,40.0,16,9,0.008403361344537815
800,40.0,17,8,0.007469654528478058
800,40.0,18,6,0.0056022408963585435
800,40.0,19,9,0.008403361344537815
800,40.0,20,4,0.003734827264239029
800,40.0,21,3,0.0028011204481792717
800,40.0,22,7,0.006535947712418301
800,40.0,23,8,0.007469654528478058
800,40.0,24,6,0.0056022408963585435
800,40.0,25,8,0.007469654528478058
800,40.0,26,10,0.009337068160597572
800,40.0,27,11,0.01027077497665733
800,40.0,28,13,0.012138188608776844
800,40.0,29,12,0.011204481792717087
800,40.0,30,27,0.025210084033613446
800,40.0,31,22,0.02054154995331466
800,40.0,32,32,0.029878618113912233
800,40.0,33,49,0.0457516339869281
800,40.0,34,67,0.06255835667600373
800,40.0,35,102,0.09523809523809523
