interac_r,avgDegree,stdDegree
40.0,2.2865440313111547,1.182470693429879
45.0,2.681894324853229,1.2602264933988914
50.0,3.0863405088062623,1.3422581206784834
55.0,3.517275929549902,1.4403994119469945
60.0,3.99013698630137,1.55792418617995
65.0,4.533682974559687,1.7059274174203929
70.0,5.197557729941291,1.8986946551350197
75.0,5.760587084148728,2.032240251080336
80.0,6.338199608610568,2.176143711996989
85.0,6.922230919765166,2.326184422234302
90.0,7.519804305283757,2.4793825301441106
100.0,8.799608610567514,2.835765400124674
