loops,interac_r,coms,counts,probs
0,70.0,1,17637,0.4282904322486644
0,70.0,2,6863,0.16665857212238952
0,70.0,3,4246,0.10310830500242836
0,70.0,4,2475,0.06010199125789218
0,70.0,5,1955,0.04747450218552696
0,70.0,6,1326,0.03220009713453133
0,70.0,7,1331,0.03232151529868869
0,70.0,8,978,0.023749392909179212
0,70.0,9,845,0.02051966974259349
0,70.0,10,789,0.019159786304031083
0,70.0,11,531,0.012894609033511414
0,70.0,12,585,0.01420592520641088
0,70.0,13,575,0.013963088878096164
0,70.0,14,325,0.007892180670228266
0,70.0,15,330,0.008013598834385623
0,70.0,16,237,0.0057552209810587665
0,70.0,17,152,0.0036911121903836813
400,55.0,1,408,0.4975609756097561
400,55.0,2,133,0.16219512195121952
400,55.0,3,70,0.08536585365853659
400,55.0,4,49,0.05975609756097561
400,55.0,5,25,0.03048780487804878
400,55.0,6,20,0.024390243902439025
400,55.0,7,16,0.01951219512195122
400,55.0,8,15,0.018292682926829267
400,55.0,9,21,0.025609756097560974
400,55.0,10,14,0.01707317073170732
400,55.0,11,13,0.015853658536585366
400,55.0,12,7,0.00853658536585366
400,55.0,13,10,0.012195121951219513
400,55.0,14,6,0.007317073170731708
400,55.0,15,8,0.00975609756097561
400,55.0,16,3,0.003658536585365854
400,55.0,17,2,0.0024390243902439024
800,37.5,1,909,0.5019326339039205
800,37.5,2,286,0.157923799006074
800,37.5,3,135,0.07454445057979017
800,37.5,4,105,0.05797901711761458
800,37.5,5,80,0.04417448923246825
800,37.5,6,50,0.027609055770292656
800,37.5,7,39,0.02153506350082827
800,37.5,8,46,0.025400331308669245
800,37.5,9,35,0.01932633903920486
800,37.5,10,29,0.01601325234676974
800,37.5,11,21,0.011595803423522915
800,37.5,12,20,0.011043622308117063
800,37.5,13,17,0.009387078961899503
800,37.5,14,12,0.006626173384870237
800,37.5,15,15,0.008282716731087797
800,37.5,16,10,0.005521811154058531
800,37.5,17,2,0.0011043622308117063
