pi1,pi2,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ
0.01,0.01,0.92635494945005,0.02354852794134,0.0500965226085992,0.0032884697893971,0.0017332071426893,0.0029043572851387,0.0029994667259192,0.0063707715705173
0.01,0.03,0.8535017220308696,0.0207168092434175,0.125781468725697,0.0042954288792275,0.0015883103097831,0.0041008352669973,0.0843478502388619,0.0072774558865636
0.01,0.05,0.7978818464614946,0.0187909454505056,0.1833272080879896,0.0047390781301361,0.0015255939482421,0.0046421413490286,0.1457453171869784,0.0076933292455128
0.01,0.07,0.7525223641817618,0.0172160426619264,0.2302615931563149,0.0048624649452059,0.0014382737894054,0.0047959602532193,0.195829507832462,0.0076725078320303
0.01,0.09,0.7143970558826815,0.0159760026663703,0.2696269414509487,0.0049675714162611,0.0013916838951403,0.00494633777768,0.2376749361182081,0.0077297055679606
0.01,0.11,0.6810589156760284,0.0150196533718475,0.303921430952113,0.0051782357250428,0.0013434686994873,0.0051728665593689,0.2738821242084179,0.0078598039583436
0.01,0.13,0.6519153871792068,0.0141582379735584,0.3339263748472373,0.0050998365864416,0.0012733478033322,0.0050914922349964,0.3056098989001204,0.007638187841661
0.01,0.15,0.6259089656704804,0.0133571158760138,0.3607339184535031,0.0051767510882834,0.0012478963065959,0.0051742857230748,0.3340196867014754,0.0076700783362666
0.01,0.17,0.6025568603488468,0.0126894011776469,0.3847537384735079,0.0050901479881724,0.0012265339091361,0.0050693005949798,0.359374936118214,0.0075223684132522
0.01,0.19,0.5811777580268868,0.0120975558271303,0.4067246861459845,0.0050340311564499,0.0011882875740697,0.0050568966629562,0.3825295744917237,0.0074334718110956
0.01,0.21,0.5616878680146631,0.0115766137095878,0.426735518275742,0.0051894529275701,0.001160878364088,0.0052368541745258,0.4035822908565662,0.0075586109027018
0.01,0.23,0.5436277524719473,0.0110917009221198,0.4452805466059354,0.0051647777991626,0.0011197792470384,0.0051729839198012,0.4230971447616958,0.0074125424138781
0.01,0.25,0.527101599822242,0.0106657038106877,0.4622326963670659,0.0050792658804918,0.0010913560762423,0.0050643622770533,0.4409012887456905,0.0072470744295379
0.01,0.27,0.5115546494833965,0.0102925786023774,0.4781527719142349,0.0050416735307845,0.0010873701327637,0.0050929999164511,0.4575676147094799,0.0072677401819785
0.01,0.29,0.4971823464059533,0.0099365181646483,0.4928811354293907,0.0049928137785321,0.0010503632429508,0.0050259985939326,0.473008099100094,0.0071267250798343
0.01,0.31,0.4836631596489266,0.0095864015109432,0.5067504388401346,0.0048908638607507,0.0010430646909169,0.0049351562033883,0.487577635818248,0.0070212855852222
0.01,0.33,0.4709987112543065,0.0093034885012776,0.5196978002444193,0.0050060934542099,0.0010243551066706,0.0050165368360258,0.501090823241864,0.0070652470493671
0.01,0.35,0.4589877346961388,0.0090090212198644,0.5320032440839901,0.0049963798662459,0.0010090318504469,0.0050196908412188,0.5139852016442612,0.0070377545421126
0.01,0.37,0.4478386845906054,0.0087228419064547,0.5434384735029409,0.0050003192123164,0.0009740581607112,0.0050105351968064,0.5259927896900314,0.0069586515182289
0.01,0.39,0.4370690589934444,0.0084534496167091,0.5544774913898411,0.0048568587576936,0.0009584916037075,0.0048983720624031,0.5375705921564228,0.0068153552698182
0.01,0.41,0.4270211309854419,0.0082350961004332,0.564743772914124,0.0048720404222754,0.0009637175209614,0.0048918130412152,0.5482735807132576,0.0068192480831382
0.01,0.43,0.4173772691923166,0.0079992000888789,0.5746235307188167,0.0048710412904195,0.0009366698837809,0.0049070801025293,0.5586251305410588,0.0067804198700912
0.01,0.45,0.4083926897011457,0.0078080879902232,0.5837992223086361,0.0048016254074628,0.0009175275469259,0.0048270832526964,0.5681830463281896,0.0066621383465483
0.01,0.47,0.3996058993445136,0.0076088990112209,0.5927852016442586,0.0047571527051939,0.00090668365114,0.0048033903403859,0.5775674036218168,0.0066167576426659
0.01,0.49,0.3912761137651355,0.0074261526497055,0.6012977335851516,0.0047925266411999,0.0008916528762958,0.0048260694124622,0.5864454282857405,0.0066093751650539
0.03,0.01,0.8882884679480191,0.0661277302521941,0.0455838017998,0.0036672448479448,0.0027940225587463,0.0027179280977818,-0.0866716587045882,0.0083059732152745
0.03,0.03,0.8238375958226973,0.0589728030218864,0.117189601155427,0.0044293430359818,0.0026344571901323,0.0040311879510214,-0.0007560048883459,0.0093001023312861
0.03,0.05,0.7733665259415746,0.0537063992889677,0.1729270747694704,0.0048164295704758,0.0025020372010946,0.0045478096300267,0.0655142761915349,0.009551884032216
0.03,0.07,0.7316169425619291,0.0496358404621711,0.2187472169758921,0.0048437238459142,0.0024247569836286,0.0046766708575086,0.1194755360515497,0.009526184824766
0.03,0.09,0.6958210754360703,0.0463319297855794,0.2578469947783595,0.0050100990452593,0.0022552788292661,0.0048990777046836,0.1651831352072006,0.0094096353632158
0.03,0.11,0.6648660148872256,0.0434707810243306,0.2916632040884354,0.0051385464217249,0.0022212292745084,0.0050767620169868,0.2047216420397741,0.0095192205660037
0.03,0.13,0.6371661926452714,0.0409432618597932,0.3218905454949483,0.0051318329238192,0.0021709008327777,0.005054835148665,0.2400040217753617,0.0093966368142205
0.03,0.15,0.6125758915675976,0.0389856127096988,0.3484384957227004,0.0052246044876374,0.0020829158740654,0.0052085471554197,0.2704672703033027,0.0093743789035507
0.03,0.17,0.5901928896789278,0.0371355849350071,0.3726715253860651,0.0052183614386494,0.0020322432090157,0.0052130516969584,0.2984003555160508,0.0092775381149899
0.03,0.19,0.569952827463622,0.035404621708699,0.3946425508276849,0.0052010540656149,0.0019589891876769,0.0051883416643363,0.3238333074102868,0.0091063200396903
0.03,0.21,0.5512404177313599,0.0339345406065992,0.4148250416620408,0.0050250525263073,0.0019302898839698,0.0050779595159361,0.3469559604488423,0.0089385392838758
0.03,0.23,0.5339553605154999,0.0325514498389067,0.4334931896455901,0.0050912269188731,0.0019168418348824,0.005188854856809,0.3683902899677766,0.009022538526574
0.03,0.25,0.5178468947894712,0.0313370069992223,0.4508160982113107,0.0050670525698363,0.0018652549116395,0.0050986664636634,0.388142084212866,0.0088291762869425
0.03,0.27,0.5030727696922599,0.0302523830685478,0.4666748472391936,0.0050235108998872,0.0018566849605076,0.0050865896173167,0.4061700811020979,0.0087999595383321
0.03,0.29,0.4891264415064943,0.029173891789801,0.4816996667037026,0.0050016184816234,0.0017888476915043,0.005115335972458,0.4233518831241005,0.0086930313554667
0.03,0.31,0.4761598822353097,0.0282093878457949,0.4956307299188979,0.0050636056924243,0.001747367439799,0.0051309360214339,0.4392119542273079,0.0086256709010321
0.03,0.33,0.4637883679591131,0.0273619153427396,0.5088497166981515,0.0049189693153175,0.0017386573548923,0.0050020113929585,0.4541258860126721,0.0084793261027431
0.03,0.35,0.4522579602266428,0.0265001888679035,0.5212418509054536,0.0049524354519295,0.0017085793214417,0.0050512590813679,0.4682414731696466,0.0084684177242513
0.03,0.37,0.4413755693811844,0.0257301077658039,0.5328943228530154,0.0048826932197862,0.0016659158574012,0.0049584509218302,0.4814341073214074,0.0082902826366326
0.03,0.39,0.4310087323630646,0.0249837573602934,0.544007510276635,0.0048363518578488,0.0016532125401463,0.0049241255546915,0.494039995556048,0.0082305506349843
0.03,0.41,0.4211539606710381,0.0242969558937896,0.5545490834351656,0.0048504810907107,0.0016450537509451,0.0049211355389938,0.5059551716475864,0.0082112430408842
0.03,0.43,0.4117732251972034,0.0236712698589046,0.5645555049438958,0.0048054652598488,0.0015899423604336,0.0048922988203687,0.5172129652260866,0.0080721835412361
0.03,0.45,0.4030449950005522,0.0230680368847906,0.573886968114662,0.0047765370652896,0.0015553568440769,0.0048516755566144,0.5277508943450808,0.0079623892447683
0.03,0.47,0.3945743584046188,0.0224636595933786,0.5829619820020053,0.0046909163037582,0.0015364946777574,0.0047970253542179,0.5380346628152481,0.0078700147097328
0.03,0.49,0.3865262526385993,0.0219804577269192,0.5914932896344874,0.0046409994912674,0.0015503745968193,0.0047764030480166,0.5475323741806489,0.0078771522416553
0.05,0.01,0.8542258971225258,0.1038254527274749,0.0419486501499831,0.0039638877293879,0.0033526304561598,0.0025463186083992,-0.1657022553049666,0.0092515795207189
0.05,0.03,0.7968025441617441,0.0934962670814355,0.1097011887568052,0.0044958303118765,0.0031850769147164,0.0037930895832685,-0.0772913454060659,0.0101632434127014
0.05,0.05,0.750739362293078,0.0856765359404512,0.1635841017664704,0.0048491683587046,0.0030590507676333,0.0044445691575072,-0.0077689701144321,0.0105626706927739
0.05,0.07,0.711981824241761,0.0796690145539383,0.2083491612043109,0.0049451534797657,0.0029715265092969,0.0047528652898025,0.0490111320964342,0.0106959183083965
0.05,0.09,0.6785719808910042,0.0745113876235973,0.2469166314853904,0.0049888477135475,0.0028372847499087,0.0048255288744877,0.0978938562381958,0.0105000983743051
0.05,0.11,0.649269014553945,0.07021080991001,0.2805201755360517,0.0049707147726468,0.0027353211916977,0.0048345997895109,0.1400985557160317,0.0103052421729064
0.05,0.13,0.6230903677369188,0.0663751360959893,0.310534496167092,0.0050925356583357,0.002697291964139,0.0050791324602634,0.1777842239751132,0.0104737163885415
0.05,0.15,0.5997816798133512,0.0631591823130763,0.3370591378735676,0.0051442912156338,0.0026416006002637,0.0050215173770252,0.210740773247415,0.0103047185775527
0.05,0.17,0.5783829018997956,0.0601122430841016,0.3615048550161075,0.0051539441057027,0.0024986509874137,0.0051274888573018,0.2412803688479041,0.0101247908321293
0.05,0.19,0.5590159537829091,0.0575677813576269,0.3834162648594648,0.0051829527088198,0.0025070553021802,0.0052619047968981,0.2682807021442109,0.0102760154012586
0.05,0.21,0.5411944228419086,0.0553110765470502,0.4034945006110408,0.0050838616121852,0.0024648291729912,0.0051412319943791,0.2928723475169403,0.0100708903403616
0.05,0.23,0.5246506277080338,0.0530733696255973,0.4222760026663691,0.0051206047706349,0.0023622335640296,0.0051655665127192,0.3161292634151745,0.0098900336407785
0.05,0.25,0.5092353738473563,0.0510905343850682,0.4396740917675838,0.005066966624531,0.0023409611874329,0.0051297504617692,0.3374930229974474,0.0098116728366352
0.05,0.27,0.4948332629707752,0.0493886012665259,0.4557781357626901,0.0049317297063285,0.0022695523418102,0.0050597043953848,0.3570009332296381,0.0095988090790053
0.05,0.29,0.4814575824908355,0.0477118764581714,0.4708305410509978,0.0050064663186168,0.0022738259585167,0.0051113509223762,0.3754067881346549,0.0096590028394097
0.05,0.31,0.4688510609932216,0.046161937562493,0.4849870014442826,0.004945133549118,0.0022036419302022,0.0050191898324661,0.3926631263192964,0.0094264736928706
0.05,0.33,0.4569361182090852,0.0446893900677701,0.4983744917231396,0.0049547975400977,0.0021842368805062,0.0051062941911552,0.4089957115875993,0.0094747679521676
0.05,0.35,0.4457581046550455,0.0434345294967225,0.5108073658482449,0.0049043138750539,0.0021300262969795,0.0050068224747645,0.4239383068547998,0.0092668750687235
