pi1,pi2,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ
0.01,0.01,0.4783814046488389,0.0761669582604356,0.4454516370907287,0.0303794913408119,0.0204864374152878,0.0387027676393334,0.2931177205698574,0.0796756424699091
0.01,0.03,0.4196635841039745,0.0556695826043499,0.5246668332916755,0.0256822467095657,0.016212396400617,0.0293298009231983,0.4133276680829756,0.0617545937244323
0.01,0.05,0.3800524868782811,0.0437450637340673,0.5762024493876519,0.0244493403681752,0.0130916382188093,0.026117044319735,0.4887123219195172,0.0523003207573536
0.01,0.07,0.3496430892276923,0.03956110972257,0.610795801049738,0.0237844189093254,0.0118735557929462,0.025435654942706,0.5316735816045979,0.0491827665285986
0.01,0.09,0.3262639340164964,0.0330962259435147,0.6406398400399903,0.022115024789035,0.0108651271622993,0.0241567899848967,0.5744473881529608,0.0458870443094954
0.01,0.11,0.3061464633841519,0.0301734566358415,0.6636800799800058,0.0229013436966965,0.0099475074905064,0.0239646745355242,0.6033331667083227,0.043859689516537
0.01,0.13,0.2868337915521095,0.0259895026243443,0.6871767058235486,0.0218269699648289,0.008860524238303,0.0229487911935615,0.6351977005748599,0.0406698396701675
0.01,0.15,0.2719795051237175,0.0239380154961263,0.7040824793801599,0.0206402175341016,0.008790003240088,0.0218258607035585,0.6562064483879072,0.0394058671837347
0.01,0.17,0.2591062234441385,0.0223159210197453,0.7185778555361174,0.0207991096866923,0.0082591869428994,0.0222526402815515,0.6739460134966266,0.0387710141673505
0.01,0.19,0.2474216445888525,0.0208982754311425,0.7316800799800083,0.0198513581750631,0.0075228916996801,0.0204089104460184,0.6898835291177232,0.0354546938453787
0.01,0.21,0.2368947763059243,0.0192731817045741,0.7438320419895041,0.0194411721664667,0.0073571463964791,0.0204181728627766,0.705285678580356,0.0351324656557349
0.01,0.23,0.2276765808547881,0.0191632091977008,0.7531602099475118,0.0197552113100955,0.0071609780127071,0.0207050374632819,0.7148337915521101,0.0350269934886963
0.01,0.25,0.2193241689577623,0.0179525118720322,0.7627233191702062,0.0192687606818769,0.0073986988257343,0.0202506216837988,0.7268182954261417,0.0350480193352675
0.01,0.27,0.2107948012996768,0.0164653836540866,0.7727398150462359,0.0191535932129392,0.0068216100672071,0.0199170915764774,0.7398090477380626,0.0335603117108917
0.01,0.29,0.2027293176705836,0.0165093726568359,0.780761309672576,0.0180810111099825,0.0062322928871597,0.0190159212946502,0.747742564358904,0.0314805070689696
0.01,0.31,0.1964238940264949,0.0149322669332668,0.7886438390402375,0.0177820771827355,0.0064804059351809,0.0188271975518951,0.7587793051737037,0.031788009422257
0.01,0.33,0.1894131467133231,0.0136070982254437,0.7969797550612322,0.0182869767080487,0.0059018293437373,0.0188599003189304,0.7697655586103447,0.0306635590064052
0.01,0.35,0.1830337415646099,0.0132686828292928,0.8036975756060938,0.0173425808697031,0.0058757162533283,0.0180572843091325,0.7771602099475081,0.0298087168157892
0.01,0.37,0.1782109472631856,0.0133691577105725,0.8084198950262376,0.0172645732680383,0.0056545502487263,0.0178800907181418,0.7816815796050925,0.0291891912155945
0.01,0.39,0.1736050987253196,0.0126108472881781,0.8137840539865002,0.0173710683032593,0.0058196883341741,0.0181720487469376,0.788562359410144,0.029811425415286
0.01,0.41,0.1678310422394401,0.0123294176455887,0.8198395401149688,0.0171191543640002,0.0053857642805621,0.0175992399321236,0.7951807048237914,0.0283707684932479
0.01,0.43,0.1639125218695332,0.0119455136215947,0.824141964508871,0.0168918721775766,0.0053291678986851,0.0174724308852472,0.8002509372656815,0.0281307666826175
0.01,0.45,0.1584263934016498,0.01144463884029,0.8301289677580598,0.0168740375492706,0.0055290593120151,0.0174573011419064,0.8072396900774798,0.0285154197659368
0.01,0.47,0.1546448387903018,0.0101979505123719,0.8351572106973247,0.0160360244131847,0.0050102700324982,0.0165381839576734,0.8147613096725808,0.0265587240226699
0.01,0.49,0.1507443139215199,0.0107318170457386,0.8385238690327435,0.0159460609018473,0.0053085129671613,0.0166311602910574,0.8170602349412661,0.0272481862253801
0.03,0.01,0.4628632841789593,0.2152591852036994,0.3218775306173447,0.0286297319951039,0.0349308324583876,0.041748053816922,-0.1086408397900542,0.1116097187336972
0.03,0.03,0.4062254436390912,0.1615361159710073,0.4322384403899039,0.0256799953749875,0.0224240664869365,0.0295360480086115,0.1091662084478892,0.0743841809824847
0.03,0.05,0.365711072231941,0.1233221694576357,0.5109667583104218,0.0248045257941979,0.0206542109723968,0.0292364352258242,0.2643224193951504,0.070544857170618
0.03,0.07,0.339302174456385,0.1047873031742068,0.5559105223694054,0.0240052685419379,0.0192953102786742,0.0291524783123503,0.3463359160209917,0.0677430988696988
0.03,0.09,0.3160264933766548,0.0965028742814305,0.5874706323419131,0.0225832747387425,0.0175561685522907,0.0266473769783263,0.394464883779052,0.0617597140829078
0.03,0.11,0.2955236190952245,0.0837955511122226,0.6206808297925516,0.0220355622687252,0.0159696333772083,0.0260205371756863,0.4530897275681063,0.0579598039301029
0.03,0.13,0.2812791802049462,0.0777420644838795,0.6409787553111735,0.0207989973058262,0.0145768807581333,0.0233987563462326,0.4854946263434143,0.0525525178624993
0.03,0.15,0.2657935516120954,0.0717955511122228,0.6624108972756825,0.0198838720677815,0.0147530739238452,0.0240839598326292,0.5188197950512368,0.0535901076803197
0.03,0.17,0.2542869282679323,0.0654836290927278,0.6802294426393436,0.0203797362982719,0.0138128307897544,0.0232725233465189,0.5492621844538879,0.0508981849260279
0.03,0.19,0.2406473381654603,0.0606633341664595,0.6986893276680864,0.0200265785529596,0.012604002450831,0.0225465232036527,0.5773626593351673,0.0477545281053148
0.03,0.21,0.2319510122469397,0.0573731567108233,0.7106758310422412,0.0195901914130542,0.0124135800338857,0.0219654988155391,0.5959295176205945,0.0467926588833106
0.03,0.23,0.2225688577855556,0.0541294676330928,0.7233016745813572,0.0191336436655441,0.0119386026796067,0.0208877289262158,0.6150427393151715,0.0447649342854294
0.03,0.25,0.2134501374656355,0.0502714321419654,0.7362784303924067,0.0191682961059687,0.0114455802025698,0.021233639752424,0.6357355661084758,0.0441248001575636
0.03,0.27,0.2049042739315185,0.0475901024743823,0.7475056235941006,0.0181763880963447,0.0110712213424941,0.0206891404090958,0.652325418645336,0.0428315830940842
0.03,0.29,0.1982984253936529,0.0455841039740073,0.7561174706323405,0.0180547478525732,0.0106323556775151,0.0202129462770942,0.6649492626843257,0.0414776576321246
0.03,0.31,0.1926713321669591,0.0429077730567366,0.7644208947763057,0.0184875688085233,0.0102572775171818,0.0205155259084227,0.6786053486628325,0.0410300809427865
