pi1,pi2,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ
0.01,0.01,0.4124335740473309,0.0065759137873569,0.5809905121653177,0.0054556905451799,0.0010105113177165,0.0055266510829989,0.5678386845906037,0.007547673718432
0.01,0.03,0.403578280191088,0.0062280524386179,0.5901936673702948,0.0053594168813962,0.0009632921997705,0.0054359557990201,0.5777375624930587,0.0073625401985612
0.01,0.05,0.3951318742361942,0.0060469614487279,0.5988211643150745,0.0052803485289181,0.0009577531226564,0.0053766924797683,0.5867272414176186,0.0072921987250811
0.01,0.07,0.3872458726808153,0.0057647816909232,0.6069893456282562,0.0051884732197663,0.000928008368977,0.0052684761474447,0.5954597822464096,0.0071244928853988
0.01,0.09,0.3799052216420432,0.0055532051994223,0.6145415731585298,0.0050964821700073,0.0009127790307015,0.0051725788036967,0.603435162759685,0.0069981368650999
0.01,0.11,0.3729752027552459,0.0054260415509388,0.6215987556938057,0.0049718977514176,0.0008984428418386,0.0050519926328767,0.610746672591928,0.006848878316554
0.01,0.13,0.3663577935784867,0.0052572936340407,0.6283849127874754,0.004943827304837,0.0008821264505554,0.0050070640228085,0.617870325519394,0.0067713169239194
0.01,0.15,0.3602277746917007,0.0050824575047217,0.6346897678035851,0.0048797570104243,0.0008671716503153,0.0049478287899812,0.6245248527941416,0.0066821720906119
0.01,0.17,0.3542951783135241,0.0049268636818131,0.6407779580046761,0.0048131307752716,0.0008615724875506,0.004861644061976,0.6309242306410497,0.0065847890370772
0.01,0.19,0.3486357404732823,0.0047946005999333,0.6465696589267931,0.0047731514431097,0.0008027880299415,0.0048214124700007,0.6369804577269264,0.0064269885298837
0.01,0.21,0.3432924119542282,0.0046372847461393,0.6520703032996391,0.004757914946422,0.0008020520376021,0.0048229298618623,0.6427957338073604,0.0064270339370666
0.01,0.23,0.3380742361959745,0.0045497833574047,0.6573759804466168,0.0046980146560228,0.0007881075841355,0.004756692209375,0.6482764137318073,0.006332907377646
0.01,0.25,0.3331094545050521,0.0044429174536162,0.6624476280413215,0.0046715463228835,0.0007867437100456,0.0047237582949111,0.653561793134089,0.0062972457150025
0.01,0.27,0.3283183979557835,0.0043115876013776,0.6673700144428343,0.0046139777162988,0.0007714619176297,0.0046815441054103,0.658746839240079,0.0062244679406698
0.01,0.29,0.3238333185201673,0.0042237195867125,0.6719429618931121,0.0045316805538073,0.0007560633327555,0.0045726719229684,0.6634955227196869,0.0060847985884794
0.01,0.31,0.3194113876235996,0.0041438395733807,0.6764447728030123,0.0045256501407542,0.0007606109316671,0.0045884879688239,0.6681570936562509,0.0061097098321582
0.01,0.33,0.3151569936673726,0.0040755027219197,0.6807675036107036,0.0044829591200535,0.0007304540711231,0.0045450667371476,0.6726164981668641,0.0060059748793939
0.01,0.35,0.3109484279524489,0.0039581935340517,0.6850933785134988,0.0044171969525119,0.0007273313647134,0.0044781048243326,0.6771769914453953,0.0059327675537596
0.01,0.37,0.3071114431729759,0.003894367292523,0.6889941895344975,0.0043203603418796,0.0007277609819569,0.0043822344137393,0.6812054549494515,0.0058377563776533
0.01,0.39,0.3031672925230495,0.0037976224863903,0.6930350849905657,0.0042857958021402,0.0007140206284919,0.0043453152316282,0.6854398400177849,0.0057733564886121
0.01,0.41,0.2994004888345725,0.0037410176647038,0.6968584935007325,0.0042905381409319,0.0007104518341787,0.0043590589347787,0.6893764581713248,0.0057799626031362
0.01,0.43,0.2958095211643147,0.0036673147428063,0.7005231640928928,0.0043534373907448,0.0006780006553039,0.0043962203499349,0.6931885346072802,0.0057522216605428
0.01,0.45,0.2923638373514076,0.0035918453505165,0.7040443172980855,0.0042797925580295,0.000682282236218,0.0043317129256192,0.6968606265970524,0.0056962773980552
0.01,0.47,0.288945694922788,0.003552483057438,0.7075018220197844,0.0042141103671442,0.0006873384257543,0.0042637319349612,0.7003968559049083,0.0056384087864699
0.01,0.49,0.2856167425841608,0.0034732029774469,0.7109100544384089,0.0041810446181755,0.000657875077483,0.0042325287959029,0.7039636484835151,0.005548278950869
0.03,0.01,0.4125306188201344,0.019622108654594,0.5678472725252782,0.0054417434037791,0.0017562061501915,0.0057676125962181,0.5286030552160902,0.0092800248966012
0.03,0.03,0.403180091100985,0.0187806243750693,0.5780392845239471,0.0053467058635854,0.001696381799629,0.0056318440732867,0.5404780357738084,0.0090246076725447
0.03,0.05,0.3946638151316476,0.017964615042773,0.5873715698255727,0.0052356859318036,0.0016477176096758,0.0054802075662065,0.5514423397400267,0.0087756427855582
0.03,0.07,0.3869598933451866,0.0173679257860237,0.5956721808687907,0.0051616857872599,0.001600185759162,0.005398182760991,0.5609363292967433,0.008598554279315
0.03,0.09,0.3793647594711742,0.0167517275858237,0.6038835129430005,0.0051672221390032,0.0015681898849041,0.005372269676783,0.570380057771353,0.0085086494465912
0.03,0.11,0.3724637484723897,0.0161972447505832,0.6113390067770158,0.0049990174715364,0.0015409907228004,0.0052154110812793,0.5789445172758494,0.0082973925268803
0.03,0.13,0.3657651483168494,0.0156154093989556,0.6186194422841851,0.0048398062062556,0.0015030462666186,0.0050542312043174,0.5873886234862739,0.0080603237375546
0.03,0.15,0.3596108432396382,0.0152269525608265,0.6251622041995326,0.0049637295756294,0.001482142642286,0.0051725648255287,0.5947082990778795,0.0081368501101008
0.03,0.17,0.3536453838462423,0.0147856571492056,0.6315689590045601,0.0048188054155776,0.0014605896198287,0.0050415787556619,0.6019976447061488,0.0079627579953193
0.03,0.19,0.3478908899011249,0.0142979780024441,0.6378111320964415,0.0048672736262133,0.0014263824950491,0.005036794665966,0.6092151760915531,0.0078895596560644
0.03,0.21,0.3425279413398481,0.0139615709365626,0.6435104877235933,0.0047873869322653,0.0013778097508952,0.0049418504177067,0.615587345850468,0.0076974699194971
0.03,0.23,0.3373426508165745,0.0135659926674814,0.6490913565159495,0.0046683913045492,0.0013630725241778,0.0048567415635604,0.6219593711809867,0.007582886611916
0.03,0.25,0.332293089656702,0.0132528385734919,0.6544540717698062,0.0046927287747067,0.001378393185901,0.0048784994649953,0.6279483946228224,0.0076352858367975
