pi1,pi2,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ,m,sdm,k0,k1,k2,sdk0,sdk1,sdk2
0.01,0.01,0.1711246474,0.0846061342,0.7442692184,0.067879279,0.1636613911,0.1777205075,0.57505695,0.4962346713,0.6550635198,0.1752953697,0.9039292504,1.3559309062,0.8127747775,0.0916871079,1.6906480954,0.2038435848
0.01,0.03,0.168350341,0.0678688899,0.7637807691,0.0670645574,0.1298251714,0.1459700776,0.6280429892,0.3950366207,0.6631546399,0.170904068,0.8896550825,1.2901282457,0.8050006306,0.1082691461,1.5356524537,0.1973147289
0.01,0.05,0.165027029,0.0498296854,0.7851432856,0.0660657717,0.1018395952,0.1210032516,0.6854839147,0.3121278701,0.6854619916,0.155753164,0.8770594815,1.1870624249,0.8084107729,0.1249043721,1.3572781555,0.1879935711
0.01,0.07,0.1623119934,0.0424879494,0.7952000571,0.065724592,0.0861975427,0.1078745901,0.7102241582,0.2661793301,0.6960962616,0.1497303671,0.8641431568,1.1737430404,0.7976943917,0.1432972225,1.2591332107,0.1979289164
0.01,0.09,0.1598970257,0.0400431321,0.8000598422,0.0652716975,0.0815356376,0.1035710364,0.719973578,0.2520881809,0.7022556504,0.1471525252,0.8511927431,1.2236418038,0.781894847,0.1621575769,1.3289391121,0.2134263777
0.01,0.11,0.157330096,0.0380950477,0.8045748563,0.0645910328,0.0773221439,0.1000653202,0.7283847609,0.2399322519,0.7088767094,0.1420580631,0.8392459156,1.2440013806,0.7683132981,0.1810959835,1.4134551682,0.2251661003
0.01,0.13,0.1549821116,0.0296327347,0.8153851537,0.0639137221,0.0622767169,0.087989194,0.7561196844,0.1957720711,0.7235702503,0.129756559,0.8273607964,1.1648301417,0.7676721394,0.2005716052,1.1931501049,0.2300902933
0.01,0.15,0.1526085621,0.0287860892,0.8186053487,0.0634035297,0.0604615514,0.0863525549,0.7610331703,0.1904307518,0.7283690506,0.1273900804,0.8162270768,1.1973598823,0.7538984087,0.221212718,1.2740482,0.2470998312
0.01,0.17,0.1501550327,0.0278407541,0.8220042132,0.0630135401,0.0597679993,0.0860080639,0.766322705,0.1889021736,0.7334047917,0.1271286448,0.8063332017,1.233212554,0.7443122802,0.2424649478,1.3895451931,0.2624905792
0.01,0.19,0.1483414861,0.0221073303,0.8295511836,0.0623182475,0.0479284979,0.0777704184,0.785336523,0.1554362617,0.7444028279,0.1162581998,0.7947781956,1.1361644033,0.7427150906,0.2628911311,1.1467502225,0.2703946524
0.01,0.21,0.1461577463,0.0215556111,0.8322866426,0.0618553269,0.0495385382,0.0783602973,0.7891754204,0.1596660461,0.7486981826,0.116113597,0.785681549,1.179582771,0.7356447918,0.2845621041,1.321867313,0.2865435053
0.01,0.23,0.1441779555,0.0212432606,0.8345787839,0.0613610879,0.0463389547,0.0761090345,0.7920922626,0.1507686357,0.7519033099,0.1139754844,0.7771252951,1.1990830864,0.7230248439,0.3054548664,1.2840071513,0.3030721609
