pi1,pi2,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ
0.01,0.01,0.0416444839462279,0.0124539495611601,0.9459015664926196,0.0102833325155478,0.0092839955604201,0.0136227130105589,0.9209936673702992,0.0321907041313993
0.01,0.02,0.0415233862904118,0.0120153316298192,0.946461282079774,0.009189204579202,0.0084437082706268,0.0123374261533522,0.9224306188201356,0.0292248426946059
0.01,0.03,0.0414371736473721,0.0116608154649486,0.9469020108876844,0.0097267370439393,0.0082159159198237,0.0124894514317883,0.9235803799577872,0.0289212832714358
0.01,0.04,0.0413721808687919,0.0131543161870905,0.945473502944121,0.0111643141506497,0.0089742759213712,0.0139611521748826,0.9191648705699398,0.031909704017625
0.01,0.05,0.0412853016331516,0.0105501610932122,0.9481645372736416,0.0115225062156437,0.0076330393121424,0.0134678931796977,0.9270642150872171,0.0287339718039827
0.01,0.06,0.0411944228419062,0.0107628041328743,0.9480427730252244,0.0118017689824049,0.008025518929734,0.0139692699737093,0.9265171647594758,0.0300203078331774
0.01,0.07,0.041005999333407,0.0095318297966895,0.9494621708699116,0.0115160741576287,0.0070412524987725,0.0132511105160668,0.9303985112765326,0.0273336155136118
0.01,0.08,0.0409843350738803,0.0104800577713589,0.9485356071547664,0.0117083293772018,0.0072381755710029,0.0134187465795961,0.9275754916120484,0.027895097721602
0.01,0.09,0.0409038995667144,0.0095804910565494,0.9495156093767452,0.0134035645056962,0.0068100247530105,0.0146820376154844,0.9303546272636464,0.0283020871215054
0.01,0.1,0.0407608043550714,0.0097732474169538,0.949465948227984,0.012138991408664,0.0062355806820215,0.0133011771122035,0.929919453394076,0.0257723384762466
0.01,0.11,0.0406532607488054,0.011310854349517,0.9480358849016852,0.0126113389314575,0.0079006907541194,0.0144701893144982,0.9254141762026512,0.0302715708227371
0.01,0.12,0.0405658260193307,0.0121367625819356,0.947297411398738,0.0122894952797708,0.0077939766291502,0.0141795581724209,0.9230238862348668,0.0297675114307213
0.01,0.13,0.0404875013887343,0.0106619264526166,0.9488505721586528,0.0130811095515901,0.0074339778658932,0.0146832785453139,0.9275267192534192,0.0295512342771004
0.01,0.14,0.0403889567825797,0.0110426619264529,0.9485683812909732,0.0130567022478636,0.0077439841728217,0.0147733098725568,0.9264830574380674,0.0302612782182004
0.01,0.15,0.0402356404843902,0.0091914231752029,0.950572936340418,0.012924185796545,0.0062143309094483,0.0138970595102881,0.932190089990012,0.0263257213291848
0.01,0.16,0.0402645261637591,0.0093051883124099,0.950430285523844,0.0136238400656268,0.0064692833855742,0.0146709255338055,0.931819908899024,0.027609492304954
0.01,0.17,0.0400571047661368,0.0095701588712367,0.9503727363626358,0.0129808005580478,0.0067293548037502,0.0142236441240302,0.9312324186201624,0.0276823537315307
0.01,0.18,0.0400075547161424,0.0109840017775805,0.9490084435062824,0.0138771174011164,0.0083546241105412,0.0157900367964299,0.9270404399511212,0.0324992850175125
0.01,0.19,0.0398873458504606,0.0097208087990225,0.9503918453505238,0.0134393525335627,0.0066731251425396,0.0146428934657689,0.9309502277524788,0.0279891437508482
0.01,0.2,0.0397392511943115,0.008825241639818,0.9514355071658804,0.0134008002354465,0.0058814596175839,0.0142453766843447,0.9337850238862442,0.0260082959195126
0.01,0.21,0.039709032329741,0.0090728807910233,0.951218086879244,0.0138215570584165,0.0067358261903635,0.0149310671474538,0.9330723252971972,0.028402719528181
0.01,0.22,0.0395439395622704,0.0083227419175649,0.9521333185201716,0.0141423433226571,0.0057008911070452,0.0148666816807684,0.935487834685042,0.0262684638948589
0.01,0.23,0.0395453838462389,0.0082183090767695,0.952236307077002,0.014614823945793,0.0058614372778938,0.0153753062294606,0.935799688923463,0.0270981807852484
0.01,0.24,0.0394505054993889,0.0071180979891124,0.9534313965115048,0.0154691528181444,0.0052406473501485,0.0159425910599593,0.9391952005332798,0.0264238857602564
0.01,0.25,0.0393430729918893,0.0085019442284192,0.952154982779694,0.0140804616030751,0.005844030344206,0.0148318231404351,0.9351510943228551,0.0265198838288472
0.01,0.26,0.0392198644595042,0.0087432507499168,0.9520368847905888,0.0142108639515091,0.0057559018260782,0.0148664191094837,0.934550383290755,0.0263782227616403
0.01,0.27,0.0391524275080543,0.0077988001333187,0.9530487723586372,0.0148103149844922,0.0062131815704055,0.0156014799473731,0.9374511720919998,0.0280278430881842
0.01,0.28,0.039041106543717,0.0090172203088547,0.9519416731474348,0.0137514233226112,0.005746905745724,0.0144228613989592,0.9339072325297252,0.0259166728904073
0.01,0.29,0.0389638929007886,0.0078877902455285,0.9531483168536916,0.0145470854858466,0.0051340764413213,0.0149972849283552,0.9373727363626346,0.0252654378109979
0.01,0.3,0.0388487945783797,0.0085129430063329,0.952638262415294,0.0150371215087535,0.0060401135211899,0.0157901733943903,0.935612376402628,0.0278704004367703
0.01,0.31,0.0387691367625816,0.0066805910454395,0.954550272191991,0.0145137339792831,0.0046425651345354,0.0149323046588898,0.9411890901011118,0.0242174349279608
0.01,0.32,0.0386338184646146,0.0070681035440507,0.954298077991344,0.0149092255766518,0.0045477619957207,0.015149012643841,0.9401618709032424,0.0242445366352824
0.01,0.33,0.0385978224641701,0.0078842350849906,0.9535179424508464,0.0156988680318045,0.004866476856556,0.0159944481766995,0.937749472280865,0.0257274018898117
0.01,0.34,0.0385169425619369,0.0070393289634486,0.9544437284746222,0.0156005329903939,0.0052308707321368,0.016026116700465,0.9403650705477248,0.0264878581647387
0.01,0.35,0.0383644039551159,0.0068561270969893,0.954779468947902,0.0154393967751591,0.005378503350175,0.0158994313170891,0.9410672147539234,0.0266564380174392
