pi1,pi2,f0,f1,f2,Q,Qs,niter
0.01,0.01,0.11097086,0.00987519,0.87915395,0.85940357,0.8692787599999999,9.0
0.01,0.03,0.11069167,0.00963491,0.87967343,0.86040361,0.8700385199999999,9.0
0.01,0.05,0.11041419,0.00940629,0.88017952,0.86136694,0.87077323,9.0
0.01,0.07,0.11013841,0.00918851,0.88067309,0.8622960700000001,0.8714845800000001,9.0
0.01,0.09,0.10986429,0.00898079,0.88115492,0.8631933399999999,0.87217413,9.0
0.01,0.11,0.10959181,0.00878246,0.88162573,0.86406081,0.87284327,9.0
0.01,0.13,0.10932095,0.00859289,0.88208617,0.86490039,0.87349328,9.0
0.01,0.15,0.10905168,0.00841149,0.88253683,0.86571385,0.8741253400000001,9.0
0.01,0.17,0.10878398,0.00823776,0.88297826,0.86650274,0.8747405,8.0
0.01,0.19,0.10851783,0.0080712,0.88341097,0.86726857,0.8753397700000001,8.0
0.01,0.21,0.10825322,0.00791139,0.8838354,0.86801262,0.8759240100000001,8.0
0.01,0.23,0.10799011,0.00775791,0.88425198,0.8687361600000001,0.87649407,8.0
0.01,0.25,0.10772851,0.00761039,0.88466111,0.86944033,0.8770507200000001,8.0
0.01,0.27,0.10746838,0.00746849,0.88506314,0.87012616,0.8775946499999999,8.0
0.01,0.29,0.1072097,0.00733189,0.88545841,0.87079463,0.87812652,8.0
0.01,0.31,0.10695247,0.0072003,0.88584722,0.8714466200000001,0.87864692,8.0
0.01,0.33,0.10669667,0.00707345,0.88622988,0.8720829800000001,0.87915643,8.0
0.01,0.35,0.10644227,0.00695108,0.88660665,0.87270449,0.87965557,8.0
0.01,0.37,0.10618928,0.00683295,0.88697777,0.87331187,0.88014482,8.0
0.01,0.39,0.10593766,0.00671885,0.88734349,0.87390579,0.88062464,8.0
0.01,0.41,0.1056874,0.00660858,0.88770402,0.8744868600000001,0.8810954400000001,8.0
0.01,0.43,0.1054385,0.00650194,0.88805956,0.87505568,0.8815576199999999,8.0
0.01,0.45,0.10519093,0.00639876,0.88841031,0.87561279,0.8820115500000001,8.0
0.01,0.47,0.10494469,0.00629887,0.88875644,0.8761587,0.88245757,8.0
0.01,0.49,0.10469976,0.0062021,0.88909814,0.87669394,0.88289604,8.0
0.03,0.01,0.11096764,0.02961709,0.85941527,0.8001810899999999,0.8297981799999999,9.0
0.03,0.03,0.11068233,0.02888114,0.86043653,0.8026742499999999,0.83155539,9.0
0.03,0.05,0.11039911,0.02818243,0.86141846,0.8050536,0.83323603,9.0
0.03,0.07,0.11011794,0.0275181,0.86236395,0.80732775,0.83484585,9.0
0.03,0.09,0.10983876,0.02688563,0.86327561,0.80950435,0.83638998,9.0
0.03,0.11,0.10956152,0.0262827,0.86415578,0.8115903800000001,0.83787308,9.0
0.03,0.13,0.10928618,0.02570724,0.86500658,0.8135920999999999,0.83929934,9.0
0.03,0.15,0.10901269,0.02515737,0.86582994,0.8155152,0.8406725700000001,9.0
0.03,0.17,0.10874101,0.02463138,0.86662761,0.81736485,0.84199623,9.0
0.03,0.19,0.1084711,0.02412771,0.86740118,0.81914576,0.84327347,8.0
0.03,0.21,0.10820294,0.02364495,0.86815211,0.82086221,0.84450716,8.0
0.03,0.23,0.10793648,0.02318177,0.86888174,0.8225182,0.84569997,8.0
0.03,0.25,0.1076717,0.02273701,0.86959129,0.82411727,0.8468542800000001,8.0
0.03,0.27,0.10740857,0.02230955,0.87028189,0.82566279,0.84797234,8.0
0.03,0.29,0.10714705,0.02189838,0.87095457,0.82715781,0.84905619,8.0
0.03,0.31,0.10688713,0.02150258,0.8716103,0.82860514,0.8501077199999999,8.0
0.03,0.33,0.10662877,0.02112127,0.87224995,0.83000741,0.8511286800000001,8.0
0.03,0.35,0.10637196,0.02075368,0.87287436,0.831367,0.85212068,8.0
0.03,0.37,0.10611666,0.02039905,0.87348429,0.8326861900000001,0.8530852400000001,8.0
0.03,0.39,0.10586286,0.02005671,0.87408043,0.8339670100000001,0.85402372,8.0
0.03,0.41,0.10561054,0.019726,0.87466346,0.8352114599999999,0.8549374599999999,8.0
0.03,0.43,0.10535968,0.01940635,0.87523397,0.83642127,0.85582762,8.0
0.03,0.45,0.10511025,0.01909719,0.87579256,0.8375981800000001,0.8566953700000001,8.0
0.03,0.47,0.10486223,0.01879802,0.87633975,0.8387437099999999,0.85754173,8.0
0.03,0.49,0.10461562,0.01850834,0.87687604,0.8398593599999999,0.8583677,8.0
0.05,0.01,0.11096428,0.04934702,0.8396887,0.7409946599999999,0.7903416799999999,9.0
0.05,0.03,0.11067258,0.04809429,0.84123313,0.74504455,0.79313884,9.0
0.05,0.05,0.11038341,0.04690762,0.84270897,0.74889373,0.79580135,9.0
0.05,0.07,0.11009668,0.04578166,0.84412167,0.75255835,0.79834001,9.0
0.05,0.09,0.10981229,0.04471166,0.84547605,0.7560527300000001,0.80076439,9.0
0.05,0.11,0.10953017,0.04369338,0.84677645,0.75938969,0.80308307,9.0
0.05,0.13,0.10925025,0.04272299,0.84802676,0.76258078,0.80530377,9.0
0.05,0.15,0.10897246,0.04179707,0.84923047,0.76563633,0.8074334,9.0
0.05,0.17,0.10869674,0.04091251,0.85039075,0.76856573,0.80947824,9.0
0.05,0.19,0.10842303,0.0400665,0.85151048,0.77137748,0.81144398,8.0
0.05,0.21,0.10815128,0.03925648,0.85259224,0.77407928,0.81333576,8.0
0.05,0.23,0.10788144,0.03848012,0.85363844,0.7766782,0.81515832,8.0
0.05,0.25,0.10761347,0.03773531,0.85465122,0.7791806,0.8169159100000001,8.0
0.05,0.27,0.10734732,0.0370201,0.85563258,0.78159238,0.81861248,8.0
0.05,0.29,0.10708296,0.03633269,0.85658435,0.78391897,0.82025166,8.0
0.05,0.31,0.10682034,0.03567146,0.85750819,0.78616527,0.82183673,8.0
0.05,0.33,0.10655944,0.0350349,0.85840566,0.78833586,0.82337076,8.0
0.05,0.35,0.10630022,0.0344216,0.85927818,0.79043498,0.8248565800000001,8.0
0.05,0.37,0.10604264,0.03383029,0.86012707,0.79246649,0.82629678,8.0
0.05,0.39,0.10578668,0.03325977,0.86095356,0.79443402,0.82769379,8.0
0.05,0.41,0.10553231,0.03270893,0.86175877,0.7963409100000001,0.82904984,8.0
0.05,0.43,0.1052795,0.03217675,0.86254375,0.7981902500000001,0.8303670000000001,8.0
0.05,0.45,0.10502823,0.03166227,0.8633095,0.79998496,0.83164723,8.0
0.05,0.47,0.10477847,0.03116461,0.86405692,0.8017277,0.83289231,8.0
0.05,0.49,0.1045302,0.03068293,0.86478687,0.80342101,0.83410394,8.0
0.07,0.01,0.11096075,0.06906414,0.8199751,0.68184682,0.7509109599999999,9.0
0.07,0.03,0.11066239,0.06727223,0.82206538,0.68752092,0.7547931499999999,9.0
0.07,0.05,0.11036705,0.06557885,0.82405411,0.6928964099999999,0.75847526,9.0
0.07,0.07,0.11007456,0.06397557,0.82594987,0.69799873,0.7619743,9.0
0.07,0.09,0.10978482,0.06245495,0.82776023,0.70285033,0.76530528,9.0
0.07,0.11,0.10949771,0.06101037,0.82949192,0.7074711800000001,0.7684815500000001,9.0
0.07,0.13,0.10921311,0.05963596,0.83115093,0.71187901,0.7715149699999999,9.0
0.07,0.15,0.10893095,0.05832644,0.83274262,0.71608974,0.77441618,9.0
0.07,0.17,0.10865112,0.05707708,0.8342718,0.72011764,0.77719472,9.0
0.07,0.19,0.10837356,0.05588363,0.83574281,0.7239755499999999,0.77985918,9.0
0.07,0.21,0.1080982,0.05474223,0.83715957,0.72767511,0.78241734,8.0
0.07,0.23,0.10782495,0.0536494,0.83852565,0.73122685,0.78487625,8.0
0.07,0.25,0.10755378,0.05260195,0.83984427,0.7346403699999999,0.7872423199999999,8.0
0.07,0.27,0.10728461,0.051597,0.84111839,0.73792439,0.78952139,8.0
0.07,0.29,0.1070174,0.05063191,0.84235069,0.74108687,0.79171878,8.0
0.07,0.31,0.1067521,0.04970425,0.84354365,0.74413515,0.7938394,8.0
