pi,lambda,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ
0.05,0.05,0.5305111654260618,0.2146814798355749,0.2548073547383616,0.0164968115703028,0.014098344279022,0.0149253697259855,-0.1745556049327882,0.0431220582840296
0.05,0.1,0.4869771136540395,0.2304103988445736,0.2826124875013874,0.0167423192519657,0.0158276971956972,0.0163226575872816,-0.1782083101877599,0.0479780519786761
0.05,0.15,0.4437535829352309,0.2426352627485849,0.3136111543161872,0.0171072286441541,0.0171548359479301,0.0185394145901426,-0.1716593711809827,0.0528490864860028
0.05,0.2,0.4023217420286604,0.2524575047216976,0.3452207532496398,0.0168588527192523,0.01862885454687,0.0204427829245242,-0.1596942561937553,0.0577004920182644
0.05,0.25,0.3655691589823357,0.2564396178202408,0.377991223197423,0.0169585153914336,0.0204543813081296,0.0228354750981708,-0.1348880124430586,0.0637442377144301
0.05,0.3,0.3313707365848272,0.2545220531052105,0.414107210309964,0.0160568844771624,0.0227790202512422,0.0250473363898816,-0.0949368959004569,0.0706053768923661
0.05,0.35,0.3021668703477373,0.2545939340073324,0.4432391956449302,0.0153474259902567,0.0234985551064001,0.0256725361509065,-0.0659486723697345,0.0726696463637069
0.05,0.4,0.2766795911565377,0.2485907121430959,0.47472969670037,0.0154315979618137,0.0264168426566905,0.0283740753193867,-0.0224517275858217,0.0812077606327678
0.05,0.45,0.2545770469947781,0.2324321742028673,0.5129907788023551,0.0143969549940608,0.0268999810870458,0.0290949370063677,0.0481264303966205,0.0828948991804593
0.05,0.5,0.2342084212865249,0.2164212865237197,0.549370292189757,0.0133830282309202,0.0275325433331014,0.0299529312535733,0.1165277191423175,0.0850180179197762
0.05,0.55,0.2171782024219542,0.2007929118986782,0.5820288856793675,0.0132867024724185,0.0312158791283097,0.0335525102384692,0.180443061882011,0.0959842684950888
0.05,0.6,0.2023482946339299,0.1833009665592705,0.6143507388067976,0.012848567132921,0.0299651643701871,0.0322612008414425,0.2477488056882564,0.0921915295818168
0.05,0.65,0.1888083546272634,0.1629336740362172,0.648257971336519,0.0118557178503879,0.0297078167854102,0.0319303286522331,0.3223906232640844,0.0913459622230536
0.05,0.7,0.1766761470947677,0.1380414398400179,0.685282413065217,0.0116149758156406,0.0293879407296024,0.0315696199005526,0.4091995333851811,0.0903455013597575
0.05,0.75,0.1661927563604042,0.1170687701366524,0.7167384735029434,0.0115609234911531,0.0283523003795016,0.0307915254694568,0.4826009332296386,0.0874961262284601
0.05,0.8,0.1568542384179523,0.0946202644150651,0.7485254971669814,0.0106009787850218,0.0268499825445231,0.0291266666636156,0.559284968336851,0.0828266317526619
0.05,0.85,0.1481572047550253,0.0706967003666264,0.7811460948783491,0.0102339226500868,0.0253204352955407,0.0274188436526474,0.6397526941450962,0.078059714243729
0.05,0.9,0.14024741695367,0.0472880791023217,0.8124645039440067,0.0096627693433448,0.0188428353931722,0.0212714490678367,0.7178883457393631,0.0589571198541813
0.05,0.95,0.1331700922119758,0.0238445728252414,0.8429853349627785,0.0092502407705808,0.0151720194121448,0.0178228195306998,0.7952961893122957,0.0481668583549895
0.1,0.05,0.3765193867348081,0.2873018553494042,0.3361787579157897,0.0159351702811901,0.0153759077745229,0.0154613043093377,-0.2384249527830186,0.0462131198583835
0.1,0.1,0.3536432618597945,0.2933922897455819,0.3529644483946236,0.0154647323281493,0.0157273075498508,0.0168052062815409,-0.2338201310965403,0.0482598213812427
0.1,0.15,0.3310029996667062,0.299201977558049,0.3697950227752474,0.0152699593210872,0.0169379088463962,0.0178860181800081,-0.2286089323408506,0.0517618358728006
0.1,0.2,0.3102080879902234,0.3026070436618135,0.3871848683479604,0.0154902021046793,0.0181921506682653,0.0192384464002827,-0.2180292189756665,0.0556227477368135
0.1,0.25,0.2909933340739902,0.3047446950338862,0.4042619708921224,0.0149654921589799,0.0198146839747918,0.0207412264521019,-0.20522741917565,0.0603705944016857
0.1,0.3,0.2726083768470159,0.3048997889123422,0.4224918342406383,0.014518120969578,0.0207820799130162,0.0221488541208913,-0.187307743584046,0.0637130139469239
0.1,0.35,0.2554626152649701,0.3012163092989655,0.443321075436062,0.0142794478185984,0.0208779571313196,0.022307856344022,-0.1591115431618691,0.0640637706066614
0.1,0.4,0.240105099433397,0.2975684923897328,0.4623264081768723,0.0140603405045539,0.0241359575563142,0.0257483268340472,-0.1328105766025933,0.0740202419466758
0.1,0.45,0.2258705699366748,0.2901029885568265,0.4840264415064992,0.0135375043407248,0.0253492965705777,0.0270063402163301,-0.0961795356071537,0.0777049333574856
0.1,0.5,0.2130251083212994,0.2771680924341725,0.5098067992445301,0.013083672290808,0.0264505674716421,0.028156635341694,-0.044529385623815,0.0810577702849783
0.1,0.55,0.201221864237307,0.2708820131096537,0.5278961226530361,0.0125622712787057,0.0267724458226122,0.0281975370766088,-0.0138679035662714,0.0817424287218334
0.1,0.6,0.1901200977669139,0.2528657926897013,0.557014109543381,0.0122931831801837,0.029163999644861,0.0306211277970834,0.0512825241639783,0.0889491270868056
0.1,0.65,0.1799833351849795,0.233696033774026,0.586320631040998,0.0117467607841374,0.0288025931479282,0.0305374354209817,0.1189285634929459,0.0881426217168382
0.1,0.7,0.1707288079102322,0.2120942117542508,0.6171769803355168,0.0116238883344644,0.0312339845332901,0.0330901513886691,0.1929885568270151,0.0955581204552493
0.1,0.75,0.1620471058771234,0.1899828907899115,0.6479700033329647,0.0109981211885793,0.0303303503390059,0.032141157244083,0.2680042217531416,0.0928018579220948
0.1,0.8,0.1540806577046983,0.1616887012554157,0.6842306410398871,0.0106477407228345,0.0307835124357139,0.0326898203475591,0.3608532385290555,0.094256845218987
0.1,0.85,0.1464528385734905,0.124001444283969,0.729545717142539,0.0100264884180436,0.0311213734723054,0.0329856390256863,0.4815428285746008,0.0952283859702972
0.1,0.9,0.1393277413620696,0.084149983335185,0.7765222753027468,0.0099892896142813,0.0263218108176838,0.0283566683981854,0.6082223086323767,0.0810002900335531
0.1,0.95,0.1327422508610135,0.041465948227974,0.825791800911009,0.0091420519335256,0.0178929961876205,0.020273627737935,0.7428599044550609,0.0560596201131761
0.15,0.05,0.294100211087655,0.3265846017109228,0.3793151872014224,0.0145975021059498,0.0152109749333139,0.0158955997192427,-0.2738540162204231,0.0463175495858706
0.15,0.1,0.2811796467059204,0.328758249083436,0.3900621042106404,0.0143275356928791,0.0160817078626119,0.0168298289545224,-0.2674543939562315,0.0489932446797463
0.15,0.15,0.2684343961782009,0.3313497389178994,0.4002158649038979,0.0141005575577042,0.0175338942302123,0.0181113027155597,-0.2624836129319009,0.0531790911759843
0.15,0.2,0.2562446394845012,0.3321763137429188,0.4115790467725783,0.0141578847441397,0.0177871401426548,0.0183976749987038,-0.2527735807132592,0.0539719552840135
0.15,0.25,0.2448797911343172,0.3328775691589846,0.4222426397066965,0.013479374919596,0.0181243086648633,0.0191839286756174,-0.2435124986112727,0.0554325460053441
0.15,0.3,0.233931007665816,0.3318526830352196,0.4342163092989669,0.0137290128954886,0.0190508403363933,0.020009408469781,-0.2294890567714723,0.0581110891425678
0.15,0.35,0.2232116431507626,0.3290619931118776,0.4477263637373629,0.0131866170364661,0.0203760136976014,0.0213927324987953,-0.2103976224863923,0.0621447598939983
0.15,0.4,0.2135692700811024,0.3255789356738143,0.4608517942450871,0.0128278389108497,0.0224569320309979,0.0234736454904999,-0.1903060771025415,0.0683875095524957
0.15,0.45,0.2038950116653712,0.3189905566048232,0.4771144317298091,0.0129902518409587,0.0227594917862402,0.0240398930837848,-0.1608666814798373,0.0695588766562654
