pi,lambda,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ
0.01,0.05,0.4432285301633455,0.2280324408399088,0.3287390289967991,0.0810312552273334,0.0841351125850407,0.0936239451678395,-0.1273258526830186,0.261894170337921
0.01,0.1,0.2951116542606458,0.2510209976669311,0.4538673480724389,0.0725388116707687,0.1131348836229669,0.128498282571139,-0.0481746472614233,0.3547680498170728
0.01,0.15,0.208970114431738,0.1447883568492362,0.6462415287190247,0.0634680610497928,0.0936041439133735,0.1095153722931529,0.3566648150205522,0.2967236601199
0.01,0.2,0.1638195756027152,0.1389312298633415,0.6972491945339307,0.0547311438770149,0.0966324758104315,0.1068926200844483,0.4193867348072477,0.3001575717053115
0.01,0.25,0.129907788023552,0.1459571158760118,0.724135096100451,0.052243897532056,0.1235084250147987,0.1311498259935059,0.4322208643484274,0.3781666760231034
0.01,0.3,0.1124008443506275,0.0983890678813406,0.789210087768021,0.048100147555309,0.1106145667945322,0.1224113664493798,0.5924319520053398,0.3436405000384445
0.01,0.35,0.0950983224086212,0.1094967225863758,0.7954049550049909,0.0443948670514807,0.1070415392646561,0.1154278749980116,0.5764115098322392,0.3295109535273238
0.01,0.4,0.0835484946117086,0.0670103321853126,0.8494411732029629,0.0410287989399611,0.0632347021808507,0.0756880212900374,0.7154205088323375,0.2021574256517388
0.01,0.45,0.075802688590156,0.0630929896678142,0.8611043217420064,0.0381299322127431,0.0904960963968752,0.0992074275007696,0.7349183424063779,0.2801996202945201
0.01,0.5,0.0671192089767799,0.0366359293411848,0.8962448616819889,0.0360761556968457,0.0649435104451474,0.0755138518013257,0.8229730029996192,0.2054008726916207
0.01,0.55,0.0618842350849908,0.0490434396178195,0.8890723252971401,0.0343304907770826,0.0810913504190787,0.0874113861870205,0.790985446061501,0.2495940870251779
0.01,0.6,0.0566537051438741,0.038475724919454,0.9048705699366262,0.0334105931287502,0.0597125400433856,0.0683481888030987,0.8279191200977181,0.18777326888987
0.01,0.65,0.0526319297855808,0.0139117875791577,0.9334562826351982,0.0316539440817597,0.0293181133987111,0.0440158747211566,0.9056327074768826,0.1026521015185788
0.01,0.7,0.0485257193645164,0.0517298077991324,0.8997444728362926,0.0309360205297726,0.1564567270286057,0.1613688019853157,0.7962848572380276,0.4742822560425271
0.01,0.75,0.0449505610487734,0.0146028219086769,0.9404466170424703,0.0296396937299872,0.0493574322764529,0.0571728418428502,0.9112409732251164,0.1558877063957561
0.01,0.8,0.0425174980557726,0.010629930007777,0.9468525719363748,0.0288123304893671,0.0241801762167462,0.0374861950337278,0.9255927119208208,0.0858465474672204
0.01,0.85,0.0393756249305641,0.0042395289412287,0.9563848461281228,0.0278170431612419,0.0145320319585651,0.0315023154228601,0.9479057882456652,0.0605663793399903
0.01,0.9,0.0405066103766254,0.3483368514609569,0.611156538162411,0.0284567700530772,0.4511524012849933,0.4552869742673541,-0.0855171647595027,1.357591776837341
0.01,0.95,0.0355916009332306,0.0057682479724475,0.9586401510942344,0.026201515488464,0.0237854123484426,0.0350075475185876,0.9471036551493396,0.0825783722154729
0.02,0.05,0.3336407065881838,0.2821530941006619,0.3842061993112215,0.0725736362026776,0.0856189705330998,0.0903609756563302,-0.1800999888901023,0.2615989167225299
0.02,0.1,0.2514809465614954,0.276278191312076,0.472240862126436,0.0677868874425464,0.1041975257804747,0.1099711587497722,-0.0803155204977159,0.3183662103107217
0.02,0.15,0.1894656149316819,0.2506565937118086,0.5598777913565158,0.0601929578825199,0.1118980783923764,0.1230986350544877,0.0585646039328986,0.3468947918392406
0.02,0.2,0.1510898789023443,0.2112565270525487,0.637653594045097,0.0533231326577962,0.114417699038333,0.121234412013453,0.2151405399399996,0.350069810090119
0.02,0.25,0.1258126874791667,0.1924697255860466,0.681717586934778,0.0496242326457204,0.1191452885254052,0.1251840627529402,0.2967781357626847,0.3634746398037507
0.02,0.3,0.1034951672036437,0.1582424175091599,0.7382624152871877,0.0448186990239227,0.1126452617956007,0.120700558856799,0.4217775802688679,0.3459910824480004
0.02,0.35,0.0936007110321067,0.1760382179757759,0.7303610709921007,0.0435341512881924,0.1220090720001405,0.127886289126657,0.3782846350405487,0.3719044331269381
0.02,0.4,0.0823086323741794,0.1533562937451368,0.7643350738806803,0.0399672457829407,0.122908595832636,0.1272767960946954,0.4576224863904067,0.3730939877599676
0.02,0.45,0.0729896678146867,0.1485701588712348,0.7784401733140758,0.0369715326510453,0.1216560259934483,0.1271557662577364,0.4812998555716062,0.3704678182446331
0.02,0.5,0.0670169981113209,0.0852171980890984,0.8477658037995616,0.0365975202549275,0.0836557764345026,0.0913323420350146,0.6773314076213648,0.25864389490402
0.02,0.55,0.0607199200088885,0.0789290078880094,0.8603510721030809,0.0342450887287227,0.0744849542122724,0.081998164350835,0.7024930563270622,0.2309680727753799
0.02,0.6,0.0553227419175662,0.0861593156315943,0.8585179424508192,0.0331948580936687,0.1030206708176051,0.1085196497067605,0.6861993111876306,0.3145609913419708
0.02,0.65,0.0518497944672827,0.0558071325408289,0.8923430729918509,0.0318853866251535,0.0802793464390259,0.0864501684276989,0.7807288079101931,0.2470088613057508
0.02,0.7,0.0477435840462184,0.048210198866793,0.904046217086947,0.0302725988899718,0.0661890107560198,0.0722737364113318,0.8076258193533609,0.2046517579233715
0.02,0.75,0.044723919564494,0.0626885901566487,0.8925874902788123,0.0291858773688732,0.1015553139471881,0.106118087970906,0.767210309965515,0.3092287158652822
0.02,0.8,0.0420264415065003,0.0221486501499836,0.9358249083434588,0.0287669519238868,0.043002383791933,0.0516418220432807,0.8915276080434915,0.1376465896271467
0.02,0.85,0.0397422508610166,0.0481279857793568,0.9121297633595572,0.0274618968795309,0.1532723634436675,0.156379336670073,0.8158737918008436,0.4629240635574081
0.02,0.9,0.0374780579935572,0.0032618597933562,0.9592600822129984,0.0266482267837299,0.0129556156698649,0.0296368242179643,0.952736362626286,0.0555480555576943
0.02,0.95,0.0361537606932571,0.0295478280191089,0.9342984112875548,0.0269996773544512,0.1315956178180042,0.1352581870462104,0.8752027552493369,0.3984494226822189
0.03,0.05,0.2814242861904301,0.318351294300654,0.4002244195089739,0.0668721339166002,0.081595433700822,0.0897537041467665,-0.2364781690923341,0.2529445715484106
0.03,0.1,0.2152738584601782,0.3098877902455361,0.4748383512943024,0.0617508883776821,0.1003775022757968,0.1061289518573875,-0.1449372291967698,0.3068839564089812
0.03,0.15,0.1677102544161829,0.2893167425841705,0.5429730029996552,0.0545797157513829,0.0977629206958765,0.1023278187654905,-0.0356604821686857,0.2978536601572437
0.03,0.2,0.1388156871458709,0.2964181757582573,0.5647661370958836,0.0518602558430674,0.1063017309289616,0.1137814341028912,-0.028070214420631,0.3263848959608145
0.03,0.25,0.1185668259082308,0.2497878013554011,0.6316453727363533,0.0488429592949751,0.1178343916504039,0.1265268228171271,0.1320697700255509,0.3621956061179351
0.03,0.3,0.1034862793022993,0.2427619153427351,0.6537518053549545,0.0447449569541937,0.1271466951484625,0.1318773005204955,0.1682279746694842,0.3861706908174206
0.03,0.35,0.0887056993667367,0.1717031440950971,0.7395911565381694,0.041778544995703,0.1118568483976135,0.1182273212718509,0.3961848683479751,0.341941018067078
0.03,0.4,0.0789156760359952,0.1824952783024097,0.7385890456615936,0.0392403094875536,0.1358009802162838,0.1398052935255552,0.3735984890567741,0.4114072539581228
0.03,0.45,0.071834240639928,0.1524341739806593,0.775731585379391,0.03790546235488,0.1311424870759017,0.1371317320884776,0.4708632374180723,0.3994167062402812
0.03,0.5,0.0653482946339294,0.1296655927119158,0.8049861126541501,0.0360859053684123,0.1031115326204622,0.1082877972319258,0.5456549272303184,0.3145108624728504
0.03,0.55,0.0597978002444177,0.1075236084879424,0.8326785912676191,0.0343356504014961,0.0948618300671456,0.1002687051901234,0.6176313742917341,0.2899923653244146
0.03,0.6,0.0548672369736712,0.0764070658815665,0.8687256971447308,0.0328519682281722,0.0741543469248133,0.0805386613484852,0.7159115653815976,0.2288473551981119
0.03,0.65,0.0507854682813034,0.0749338962337463,0.8742806354848959,0.0312028252624878,0.1052929171767182,0.1101348502290429,0.7244128430174032,0.3207206845824794
0.03,0.7,0.0474925008332419,0.0534007332518614,0.899106765914841,0.0300612444183278,0.0760128670066709,0.0821510927755529,0.792305299411118,0.2341768267888948
0.03,0.75,0.0452638595711598,0.0523141873125212,0.9024219531162798,0.029535286492073,0.0693133749144487,0.0753097318648966,0.7977935784912373,0.2139364816937941
0.03,0.8,0.0422953005221652,0.0294345072769697,0.9282701922007996,0.0289385922471314,0.0473629269483549,0.0549290116550079,0.8694011776468601,0.1496548655517178
0.03,0.85,0.0400533274080668,0.0415309410065551,0.9184157315853309,0.0277512250036785,0.0676974508242611,0.073783021482971,0.8353538495722205,0.2091779231314933
0.03,0.9,0.0378269081213209,0.0298389067881347,0.932334185090479,0.027230486025885,0.0692896227718946,0.0746784654154429,0.8726563715142095,0.2132577109592321
0.03,0.95,0.0358582379735595,0.0232329741139878,0.940908787912378,0.0262754535041814,0.0478013487179366,0.054580588851993,0.8944428396844022,0.1501832862878664
0.04,0.05,0.24317520275525,0.3239217864681927,0.4329030107766106,0.0624550084329631,0.0732935960046772,0.0778484598637413,-0.2149405621597747,0.2244356518730959
0.04,0.1,0.1914098433507473,0.3317320297744892,0.4768581268748053,0.0571086771845087,0.0984517353020229,0.1075058385122617,-0.186605932674173,0.3044093091163076
0.04,0.15,0.1568514609487855,0.3113920675480721,0.5317564715031582,0.0542659811620199,0.0917641042102721,0.0990772595197773,-0.091027663592986,0.2826054679403216
0.04,0.2,0.1334162870792128,0.3168536829241254,0.5497300299966559,0.0500708932662405,0.1107592465668019,0.1183149487938826,-0.083977335851595,0.3398334419274866
0.04,0.25,0.1143784023997327,0.2994733918453451,0.5861482057549043,0.0476155287011696,0.1347789564341658,0.1398777872499667,-0.0127985779357858,0.4094357001182984
0.04,0.3,0.0996933674036216,0.254225086101537,0.6460815464948236,0.0433158345361067,0.1170395089871408,0.1225221504440339,0.1376313742917495,0.3566011684183156
