pi,lambda,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ,m
0.05,0.05,0.2287925518620356,0.2791014746313412,0.4921059735066233,0.0140941993214006,0.0182483615791916,0.0202127377365932,-0.0660969757560591,0.0567094608949764,0.238158960259935
0.05,0.1,0.1859060234941263,0.2630517370657329,0.55104223944014,0.013392821443163,0.0189272970232637,0.021278368485005,0.0249387653086741,0.0591329625315325,0.3265633591602099
0.05,0.15,0.1536958260434882,0.230617845538616,0.6156863284178953,0.0122188872273105,0.0166892831319123,0.0189328771067979,0.1544506373406632,0.0523114433706226,0.4235294926268429
0.05,0.2,0.130258185453636,0.2148997750562376,0.654842039490123,0.0113658512046656,0.0193115044066842,0.0208643246293629,0.2250424893776477,0.0594873334427314,0.4822630592351844
0.05,0.25,0.1115296175956019,0.1874626343414144,0.7010077480629847,0.0105214155453878,0.0200198318164392,0.0224295494817108,0.3260824793801558,0.0624692131145891,0.5515116220944771
0.05,0.3,0.0987695576105981,0.1706595851037237,0.7305708572856786,0.0095794510818335,0.0180852727026113,0.0197696115411982,0.389251687078231,0.0559401569464208,0.5958562859285179
0.05,0.35,0.0864148962759317,0.1434306423394138,0.7701544613846527,0.009269671949184,0.0164610525426624,0.0186310932506944,0.4832931767058249,0.0515531983360192,0.655231692076979
0.05,0.4,0.0781282179455134,0.1212969257685583,0.8005748562859297,0.008738409812345,0.0182230023060619,0.0199902590687462,0.557981004748813,0.0564362636808701,0.7008622844288945
0.05,0.45,0.0705101224693826,0.1039957510622351,0.8254941264683839,0.0085818389643478,0.0139955254257214,0.0162045526933946,0.6175026243439137,0.0441956035448374,0.7382411897025758
0.05,0.5,0.064455886028493,0.0858400399900028,0.849704073981506,0.0080850860212496,0.014933080941266,0.0172231502896108,0.6780239940015003,0.047089312172143,0.774556110972259
0.05,0.55,0.0592904273931519,0.0737860534866284,0.8669235191202198,0.0076339132063633,0.0174866868058571,0.0192637781655804,0.7193514121469629,0.0542371517772948,0.8003852786803298
0.05,0.6,0.0548750312421897,0.0637800549862531,0.8813449137715549,0.0073073168061383,0.0138741706814127,0.0154533493052093,0.7537848037990484,0.0432016906680349,0.8220173706573324
0.05,0.65,0.0509622594351415,0.0531132216945766,0.8959245188702805,0.0070722220902398,0.0122127567585326,0.0141431008330815,0.7896980754811272,0.0385686143501468,0.8438867783054207
0.05,0.7,0.0473779055236192,0.0397845538615347,0.912837540614844,0.0068458857507317,0.0095845746570809,0.0117601488234593,0.8332684328917744,0.0309292981376213,0.8692563109222657
