pi,lambda,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ
0.05,0.05,0.6649260184953749,0.1445851037240679,0.1904888777805548,0.0158081316216893,0.0122012629692785,0.0129230003778266,-0.0986813296675811,0.0373255263163837
0.05,0.1,0.6387820544863765,0.1521957010747307,0.2090222444388903,0.0166177762615228,0.0127753059264591,0.0150599387469283,-0.0953691577105711,0.0406105505998466
0.05,0.15,0.607628092976758,0.1610709822544359,0.2313009247688078,0.0178080361238221,0.0132092376865561,0.0158884681969216,-0.090841039740064,0.0423069435700338
0.05,0.2,0.5740274931267203,0.1661567108222941,0.259815796050986,0.0182090841048915,0.0149869338284589,0.0190270678356492,-0.0724976255936023,0.049000935492567
0.05,0.25,0.538539865033741,0.1705321169707568,0.2909280179955002,0.0188134253362268,0.0163246908314464,0.0211021875002492,-0.0501362159460135,0.0537515691631422
0.05,0.3,0.5026333416645851,0.1694413896525864,0.3279252686828299,0.0182910846604428,0.016618081311282,0.0203916812409874,-0.010957510622343,0.0536278438635514
0.05,0.35,0.4671784553861528,0.1689037740564858,0.3639177705573623,0.0192473412634985,0.0185200293804555,0.0240273799368208,0.0261102224443905,0.0610674386977318
0.05,0.4,0.4330497375656102,0.1635343664083976,0.4034158960259934,0.018444505294426,0.0194497141664012,0.024421957072544,0.0763471632091981,0.0633213854053464
0.05,0.45,0.4027093226693312,0.1546025993501616,0.4426880779805047,0.0176947375105173,0.0194530083339747,0.0244201900142059,0.1334828792801814,0.0633262066821554
0.05,0.5,0.3739927518120467,0.143899275181204,0.4821079730067483,0.0180157485953439,0.0203347510920224,0.0258460120505131,0.1943094226443401,0.066515514234558
0.05,0.55,0.3471597100724839,0.1316128467883027,0.5212274431392133,0.0175094898930814,0.0196560633118326,0.025627851191347,0.2580017495626078,0.0649399778150122
0.05,0.6,0.3237655586103479,0.1172696825793551,0.5589647588102962,0.0171309230193275,0.0212033252845918,0.0265896879964406,0.3244253936515858,0.0689963385656244
0.05,0.65,0.3031587103224188,0.1020624843789058,0.5947788052986775,0.0160743912710967,0.0181122360498729,0.0235807826560598,0.3906538365408659,0.0598052547558058
0.05,0.7,0.2839097725568597,0.0832646838290429,0.6328255436140968,0.0160406236466435,0.0179959766324659,0.0239652572980274,0.4662961759560109,0.0599572105629593
0.05,0.75,0.2664413896525849,0.0659697575606099,0.6675888527868046,0.0155089692264955,0.0185851105771854,0.0240372141836064,0.5356493376655848,0.0612074353379773
0.05,0.8,0.2520312421894523,0.0538837790552362,0.6940849787553123,0.0146743406557699,0.0156909922986142,0.0216334527250228,0.5863174206448398,0.0530154373222513
0.05,0.85,0.2380532366908278,0.0385181204698829,0.7234286428392909,0.0144010734025701,0.0125607616833727,0.0191564863527384,0.6463924018995251,0.0442780097194839
0.05,0.9,0.2260804798800319,0.0246093476630845,0.7493101724568874,0.013693429861421,0.012225592116513,0.0184478594691973,0.7000914771307182,0.0428990437022234
0.05,0.95,0.2146510872281935,0.0110524868782805,0.7742964258935254,0.0136582842788778,0.0070659921057761,0.0154495990149443,0.7521914521369644,0.0295815832264966
0.1,0.05,0.5089405148712813,0.2147203199200206,0.2763391652086964,0.0165610978088664,0.0133541944533403,0.0148638214535478,-0.1531014746313448,0.0415722103602285
0.1,0.1,0.489737815546115,0.2183819045238698,0.2918802799300172,0.0169218052265993,0.0142651713088864,0.0163733598727206,-0.1448835291177225,0.0449037024904935
0.1,0.15,0.4711912021994515,0.2215421144713834,0.3072666833291675,0.0164771412137954,0.0150755195077283,0.0165689955103484,-0.1358175456135992,0.046720034525805
0.1,0.2,0.4526745813546627,0.2234636340914776,0.323861784553862,0.0173908762352833,0.01562892317756,0.0175230888177447,-0.1230654836290933,0.0487809351728649
0.1,0.25,0.4328545363659091,0.2238277930517377,0.3433176705823559,0.0169501573751172,0.0163911588166657,0.0187927595145698,-0.1043379155211194,0.0515750771479014
0.1,0.3,0.4129147713071727,0.2251209697575621,0.3619642589352672,0.0171889203923322,0.0175652885731869,0.020178539894079,-0.088277680579857,0.0553091170404529
0.1,0.35,0.3923101724568845,0.2221942014496384,0.385495626093477,0.0166708583760779,0.0176564726479671,0.0205943934934767,-0.0588927768057998,0.055907338789411
0.1,0.4,0.3738987753061736,0.218525618595352,0.4075756060984732,0.0169384474199895,0.0181415932603366,0.0211729862038591,-0.0294756310922307,0.0574561727245324
0.1,0.45,0.3541067233191725,0.2067915521119723,0.4391017245688568,0.0167728905465241,0.0201686027928399,0.0235220194610309,0.025518620344912,0.0638592250467107
0.1,0.5,0.3366850787303188,0.1992191952011996,0.464095726068483,0.0168514628385801,0.0202289814734241,0.0240833362354334,0.0656573356660837,0.0645412991822817
0.1,0.55,0.3195433641589605,0.18778255436141,0.4926740814796307,0.0157708966637793,0.0207167976669562,0.0240412926142159,0.1171089727568106,0.0654748879481284
0.1,0.6,0.3034406398400402,0.1745148712821794,0.5220444888777789,0.01630757609182,0.0221360868558487,0.0267362304793503,0.17301474631342,0.0710084041910477
0.1,0.65,0.2884761309672571,0.1608297925518615,0.5506940764808809,0.0161467331874545,0.0227571696874183,0.0278247351722014,0.2290344913771577,0.0733390745470382
0.1,0.7,0.2734526368407888,0.1360532366908269,0.5904941264683843,0.0151996157408776,0.020516466926501,0.0246717050078223,0.3183876530867304,0.0657046388608244
0.1,0.75,0.2594831292176955,0.1130884778805305,0.627428392901775,0.0149089495875982,0.0199130527470695,0.02432579769795,0.401251437140714,0.0641519031920891
0.1,0.8,0.246912771807048,0.0959910022494382,0.6570962259435128,0.0143467814976099,0.0206694682810237,0.0249106199893325,0.4651142214446362,0.0662495565513801
0.1,0.85,0.2347148212946773,0.0691037240689829,0.6961814546363424,0.0144469167220659,0.0196528748184036,0.0247334099141932,0.5579740064983765,0.0640391595510004
