pi,lambda,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ
0.05,0.05,0.6119030242439417,0.1314463884028988,0.256650587353161,0.0162367513176639,0.0111487527364321,0.0146981930957491,-0.0062421894526367,0.0369956985686134
0.05,0.1,0.5714313921519623,0.1337115721069725,0.2948570357410648,0.0165018894156526,0.0117972364794837,0.0155848983349579,0.0274338915271197,0.0391793712939254
0.05,0.15,0.5277680579855024,0.130391402149462,0.3418405398650355,0.0182863935605859,0.0124556319012118,0.0184681635824592,0.0810577355661113,0.0433794273848829
0.05,0.2,0.4828562859285196,0.1255543614096473,0.3915893526618328,0.0176347126742179,0.0129164084248816,0.0196080360211277,0.140480629842538,0.045440852870891
0.05,0.25,0.4363874031492124,0.1153989002749317,0.4482136965758561,0.0182819413979938,0.0128962722827296,0.0209293113206554,0.2174158960259925,0.0467218558861146
0.05,0.3,0.3954088977755555,0.1044241439640098,0.5001669582604353,0.0180719329572073,0.0133631323769268,0.0207659003650337,0.2913186703324155,0.0474921651188874
0.05,0.35,0.3592544363909038,0.09376430892277,0.5469812546863286,0.0178007091414504,0.0129756574333842,0.0213702222385582,0.3594526368407886,0.0473215371053268
0.05,0.4,0.3264413896525879,0.0798385403649088,0.593720069982506,0.016830853408796,0.0125203004863674,0.0205512802422403,0.4340429892526883,0.0455918812149751
0.05,0.45,0.296393151712072,0.068313171707073,0.6352936765808533,0.0158236735017261,0.0114809689905844,0.0192830102033986,0.4986673331667072,0.0422449481845674
0.05,0.5,0.2720649837540599,0.0594028992751813,0.6685321169707548,0.0159057780713797,0.010730010791798,0.0191244354359107,0.5497263184203921,0.0405844570195068
0.05,0.55,0.2516078480379903,0.0515703574106476,0.6968217945513626,0.014870639811148,0.0097154830604157,0.0175370888370555,0.5936810797300673,0.0369680549578871
0.05,0.6,0.2336505873531625,0.0438315421144716,0.7225178705323683,0.014475613295468,0.0098649690747761,0.0170261928529025,0.6348547863034251,0.0367561310024547
0.05,0.65,0.2176460884778812,0.0354246438390406,0.7469292676830788,0.0136336427751782,0.0087227795185576,0.0160017419579424,0.6760799800049976,0.0334473009950576
0.05,0.7,0.2030334916270937,0.0278857785553616,0.7690807298175423,0.0132896342323817,0.0077692792587183,0.0154219399255487,0.7133091727068189,0.0309604984429853
0.05,0.75,0.1908965258685332,0.0222364408897779,0.7868670332416869,0.0130359997862608,0.0072828621935038,0.01489774531334,0.742394151462131,0.0294634697003477
0.05,0.8,0.1796285928517868,0.0164616345913524,0.8039097725568612,0.0126329538210363,0.005945089589522,0.013876819050966,0.7709865033741563,0.0257669982300101
0.05,0.85,0.1696048487878021,0.0119815046238442,0.8184136465883548,0.0121953501992922,0.0049389429876786,0.0132686700058471,0.7944506373406663,0.0231465559812044
0.05,0.9,0.1608902774306413,0.0077900524868783,0.8313196700824819,0.011894293083156,0.004089121057421,0.0125380834058131,0.8157395651087251,0.0207163255206553
0.05,0.95,0.1528827793051731,0.003734816295926,0.8433824043989022,0.011341362610971,0.002798554988292,0.0116584403038065,0.8359127718070501,0.0172555502803905
0.1,0.05,0.4538900274931263,0.1885156210947264,0.3575943514121472,0.0168722080067858,0.0130584194457214,0.0159584353269823,-0.0194368907773055,0.0420752742184253
0.1,0.1,0.4298420394901279,0.1859602599350165,0.3841977005748551,0.0164531468795316,0.0136580807704603,0.0165954257164835,0.0122771807048221,0.0439115872574041
0.1,0.15,0.4063229192701816,0.1807635591102223,0.4129135216195949,0.0163131908919048,0.0136555147002802,0.0178971092531753,0.0513864033991501,0.0452081386537358
0.1,0.2,0.3801944513871522,0.1730702324418895,0.446735316170958,0.016512818632965,0.0141844921012688,0.0186155224196438,0.1005948512871788,0.0469845066221814
0.1,0.25,0.3575188702824302,0.1658042989252681,0.476676830792303,0.0165229145831907,0.0152959616080395,0.0205507611915862,0.1450682329417668,0.0511426844076653
0.1,0.3,0.3339667583104221,0.1539520119969999,0.5120812296925765,0.0165277386448909,0.0138049337765835,0.0190527727663844,0.2041772056985765,0.0466626403195514
0.1,0.35,0.3111772056985756,0.1407385653586594,0.5480842289427635,0.016123843843511,0.0147771659949155,0.020698747636308,0.2666070982254447,0.0502530796261392
0.1,0.4,0.2898690327418141,0.1287565608597848,0.5813744063984028,0.0154529234544529,0.0136233337538709,0.0194420751156815,0.3238612846788331,0.0466887426234233
0.1,0.45,0.2708765308672822,0.1158142964258939,0.6133091727068256,0.0152010279771504,0.0136642693021291,0.0195171370426201,0.3816805798550376,0.0468456756468784
0.1,0.5,0.2524676330917269,0.1012951762059492,0.6462371907023232,0.0148321783505103,0.0127703797604141,0.0192754760383725,0.4436468382904246,0.0448162355592007
0.1,0.55,0.2368182954261447,0.0876920769807551,0.6754896275931006,0.0145535468252141,0.0128541106152885,0.0192034880916535,0.5001054736315903,0.0449117093222306
