pi,lambda,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ,m,sdm,k2,sdk2
0.05,0.05,0.5290227443,0.215727843,0.2552494126,0.0165651164,0.0139598332,0.0150016821,-0.1762062734,0.0359945397,0.2935341165,0.0248476746,0.0412698075,0.0232070221
0.05,0.1,0.4844605099,0.2311096351,0.284429855,0.0173919711,0.0157351983,0.0171866619,-0.1777894151,0.0420328623,0.2266907648,0.0260879566,0.0864108235,0.0265871013
0.05,0.15,0.4401384154,0.2430997001,0.3167618845,0.0173275258,0.0177376528,0.0193287955,-0.1694375156,0.0490720559,0.1602078293,0.0259904795,0.1364272228,0.0299008992
0.05,0.2,0.3982362534,0.2518629593,0.3499007873,0.017475649,0.0195223656,0.0215094997,-0.1538251312,0.0553526483,0.09919517,0.024104905,0.1876918239,0.0332743642
0.05,0.25,0.3604050487,0.2548539365,0.3847410147,0.0168814994,0.021957147,0.0238057384,-0.1249668583,0.0634260777,0.0846371095,0.0282515457,0.2415883084,0.0368265567
0.05,0.3,0.3263102599,0.2535210197,0.4201687203,0.0165437467,0.0237983871,0.0259688009,-0.0868733192,0.0698134953,0.1303436203,0.0387338579,0.2963935989,0.0401727307
0.05,0.35,0.2969104349,0.2479542989,0.4551352662,0.0160384057,0.0251109316,0.027503709,-0.0407733317,0.0744194492,0.1827031805,0.0412545388,0.3504854932,0.0425471743
0.05,0.4,0.2714157836,0.2369587978,0.4916254186,0.0154686384,0.0271060105,0.0296271866,0.017707823,0.0810133806,0.237438128,0.0444407799,0.406934348,0.045832112
0.05,0.45,0.2492111472,0.223003974,0.5277848788,0.0149632711,0.0284450699,0.0310593422,0.0817769308,0.0854457798,0.2916773182,0.0465890134,0.4628716345,0.0480476014
0.05,0.5,0.2300966508,0.2070055361,0.562897813,0.0143496717,0.0293349616,0.0318084615,0.1488867408,0.088242554,0.3443467196,0.0477126923,0.517189986,0.0492064599
0.05,0.55,0.213085866,0.1857725569,0.6011415771,0.0140053106,0.0292257356,0.0318460754,0.2295964634,0.0881764245,0.4017123657,0.0477691131,0.5763516101,0.0492646472
