pi,lambda,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ,m,sdm,k2,sdk2,k0,k1,sdk0,sdk1
0.05,0.05,0.4921866733,0.1974808098,0.3103325169,0.0233868281,0.0191156518,0.022569564,-0.0846291027,0.0512515078,0.238280085,0.035079937,0.0645760809,0.0340838875,0.110476787,0.0878262663,0.0515790622,0.0664561583
0.05,0.1,0.4421692877,0.2013739765,0.3564567358,0.024077174,0.0210400572,0.0256980984,-0.0462912172,0.0589733856,0.1640313222,0.0347988041,0.1368716478,0.0407778753,0.2232968206,0.1025960424,0.0546532517,0.0773960229
0.05,0.15,0.3939509423,0.199531897,0.4065171607,0.0241365617,0.0228691302,0.0284733401,0.0074533667,0.0663703907,0.129792137,0.0292587684,0.2163578586,0.0452145264,0.3327493949,0.1055137101,0.0547885142,0.0804202191
0.05,0.2,0.349392192,0.191256116,0.4593516921,0.0237491463,0.0246109084,0.0306830365,0.0768394601,0.073010158,0.1893408698,0.0453555105,0.3002580518,0.0487241352,0.4338950244,0.1042694826,0.0539091052,0.0785471957
0.05,0.25,0.3102463884,0.178307893,0.5114457186,0.0229684621,0.0258040728,0.0324934027,0.1548299325,0.0781502669,0.2671689378,0.0487387653,0.3829824715,0.0515989657,0.5227535968,0.1195425644,0.0521369998,0.0872962641
0.05,0.3,0.2765756861,0.1617733067,0.5616510072,0.0221082774,0.0259028708,0.0325683306,0.2381043939,0.0789321793,0.3424765109,0.0488524959,0.4627076081,0.0517179499,0.5991840254,0.1680355897,0.0501844333,0.1072820795
0.05,0.35,0.2485109623,0.1445888128,0.6069002249,0.0212693389,0.0256713906,0.0324514976,0.3177225994,0.0787949956,0.4103503374,0.0486772464,0.534562589,0.0515324211,0.6628892268,0.2418911072,0.0482800944,0.1244047633
0.05,0.4,0.2246790302,0.1267578205,0.6485631492,0.0202923576,0.024586404,0.0312069162,0.3950475081,0.0756637487,0.4728447238,0.0468103742,0.6007225975,0.0495560471,0.7169862504,0.331185525,0.0460624069,0.1268904354
0.05,0.45,0.2045803549,0.1101606298,0.6852590152,0.0193498305,0.0238783958,0.0303070704,0.4649377556,0.0736735393,0.5278885229,0.0454606056,0.6589950028,0.0481271075,0.7626090104,0.4179123034,0.0439229281,0.125584103
0.05,0.5,0.1873089028,0.094755991,0.7179351062,0.0186066003,0.0227161962,0.0291428811,0.5284231242,0.0703680668,0.5769026593,0.0437143217,0.7108840743,0.0462783949,0.8018141471,0.4991624837,0.0422358411,0.120006541
0.05,0.55,0.1728930967,0.0812584354,0.7458484679,0.0179166383,0.0209075824,0.0273443574,0.5833315971,0.0649914749,0.6187727018,0.0410165362,0.7552100134,0.0434223702,0.8345371424,0.5704943436,0.0406696697,0.1104949022
0.05,0.6,0.1601205099,0.0685336266,0.7713458635,0.0172214334,0.0194726202,0.0258746042,0.6342786103,0.060748889,0.6570187953,0.0388119064,0.7956994399,0.0410884273,0.863530131,0.6377508309,0.0390915973,0.1029267065
0.05,0.65,0.1491371957,0.0565598,0.7943030042,0.0166278159,0.0182136699,0.0245863272,0.6811834041,0.0570168445,0.6914545064,0.0368794908,0.8321549853,0.0390426655,0.8884615803,0.7010410569,0.037744122,0.0962722552
0.05,0.7,0.1395222694,0.0462448188,0.8142329118,0.0160629123,0.0166976844,0.0231388467,0.7217432742,0.0525648207,0.7213493677,0.0347082701,0.8638033363,0.0367440913,0.9102868731,0.7555631007,0.0364618255,0.0882591892
0.05,0.75,0.1310018295,0.0367582404,0.83223993,0.0154919723,0.0149013676,0.0214921753,0.7587234491,0.0473079583,0.748359895,0.032238263,0.8923981721,0.0341292055,0.9296277489,0.8057064434,0.0351658267,0.0787643714
0.05,0.8,0.123395911,0.0278282529,0.848775836,0.0150989811,0.0130958604,0.0199676506,0.7931193302,0.0420615277,0.7731637541,0.0299514759,0.918656907,0.0317082864,0.9468927173,0.8529078059,0.0342737608,0.0692209765
0.05,0.85,0.1167156611,0.0199872732,0.8632970657,0.0146204303,0.0109253639,0.0182633544,0.8233225194,0.0359070722,0.7949455986,0.0273950315,0.9417163705,0.0290018932,0.9620564748,0.8943529846,0.0331874798,0.0577483522
0.05,0.9,0.1106357111,0.0126085479,0.8767557411,0.0142542216,0.0086463638,0.0166615105,0.8515386453,0.029580564,0.8151336116,0.0249922657,0.9630885159,0.0264581926,0.9758575884,0.9333548184,0.0323562086,0.0457022087
0.05,0.95,0.1051888928,0.006051827,0.8887592802,0.0138854398,0.0060784699,0.0151726351,0.8766556261,0.0229499994,0.8331389203,0.0227589527,0.9821499299,0.0240938841,0.9882215317,0.9680117713,0.0315190965,0.0321290552
0.1,0.05,0.3445900325,0.2605123919,0.3948975756,0.0217441609,0.0205486541,0.0231481644,-0.1261272082,0.05652768,0.0952837541,0.0310858869,0.0526749991,0.0357800692,0.1047558302,0.0633383397,0.067721225,0.0478917699
0.1,0.1,0.3194347013,0.2593353762,0.4212299225,0.0216539718,0.0219361311,0.0248516207,-0.0974408298,0.0616618459,0.1319886828,0.0369530874,0.0967289709,0.0454611702,0.18895953,0.0675812318,0.078742178,0.0509102082
0.1,0.15,0.2952225044,0.2544365809,0.4503409148,0.0214346707,0.0236048426,0.0270208064,-0.0585322469,0.0679309449,0.1755133817,0.0405246259,0.1510366982,0.0508897899,0.2779564054,0.0743233292,0.0792359819,0.0557823441
0.1,0.2,0.2730430792,0.2474403199,0.4795166008,0.0211106139,0.0241538193,0.0279732365,-0.015364039,0.0704033506,0.2192749013,0.0419598548,0.2060812265,0.0528129668,0.3599776522,0.0834691299,0.0780803528,0.0615692856
0.1,0.25,0.2524951962,0.2373853337,0.5101194701,0.0206966391,0.0255537356,0.0295386471,0.0353488028,0.0753581693,0.2651792052,0.0443079706,0.2638619366,0.0557722707,0.4359766716,0.1066797015,0.0765492133,0.0738432479
0.1,0.3,0.2336136466,0.2245726668,0.5418136866,0.0200791833,0.0261786138,0.0304691238,0.0926683529,0.0780427719,0.3127205299,0.0457036857,0.3237041635,0.0575291149,0.50581254,0.1434989581,0.0742654723,0.0866256276
0.1,0.35,0.2164848988,0.2090064784,0.5745086228,0.0195388048,0.0266697977,0.0312180732,0.1564956661,0.0801738308,0.3617629343,0.0468271098,0.3854358613,0.0589432152,0.5691654429,0.1968641597,0.0722668123,0.096940617
0.1,0.4,0.2007917621,0.1922822294,0.6069260085,0.0189872217,0.0270932526,0.0317477463,0.2223615496,0.0818962455,0.4103890127,0.0476216194,0.4466435125,0.0599432972,0.6272085513,0.2590829378,0.0702267104,0.1026467466
0.1,0.45,0.1869911422,0.1748804299,0.6381284279,0.0184150143,0.0269462158,0.0315947765,0.2883675681,0.081688772,0.4571926418,0.0473921648,0.5055571715,0.0596544732,0.6782519398,0.3256364266,0.068110327,0.1033850949
0.1,0.5,0.1744029093,0.1574074581,0.6681896326,0.0178217508,0.0266908892,0.0314811471,0.3533747163,0.0813165399,0.5022844489,0.0472217207,0.5623160895,0.0594399282,0.7248111575,0.3928856343,0.0659160644,0.102841041
0.1,0.55,0.1631825844,0.1382952262,0.6985221895,0.0173277443,0.0260706874,0.030851537,0.4219317371,0.0795803682,0.5477832842,0.0462773055,0.6195873507,0.0582511538,0.7663109894,0.4665804577,0.0640889172,0.10053562
0.1,0.6,0.1529288778,0.1193244189,0.7277467033,0.0167908054,0.0245219258,0.0293870551,0.4890978655,0.075065863,0.591620055,0.0440805826,0.6747665028,0.055486048,0.8042356575,0.53974867,0.0621029791,0.0945845709
0.1,0.65,0.1439324169,0.1021592902,0.7539082929,0.0163044574,0.0233676873,0.0283064991,0.5495897126,0.0717523231,0.6308624394,0.0424597487,0.7241625111,0.0534458375,0.8375102389,0.6059570236,0.0603041577,0.090132508
0.1,0.7,0.1356714121,0.0846214646,0.7797071232,0.0158144623,0.021650787,0.0266473883,0.610464194,0.0666527938,0.6695606848,0.0399710824,0.7728735893,0.0503132506,0.86806464,0.6736029221,0.058491847,0.0835101783
0.1,0.75,0.1282730417,0.068284029,0.8034429293,0.015367397,0.0196413243,0.0248938396,0.6668748713,0.0608398364,0.7051643939,0.0373407594,0.8176894469,0.0470023544,0.8954284758,0.7366187453,0.0568383176,0.0757593939
0.1,0.8,0.1216247838,0.0535689578,0.8248062584,0.0149265929,0.0177986589,0.0232572681,0.7176683429,0.0554783629,0.7372093877,0.0348859022,0.8580258026,0.0439123244,0.9200179229,0.7933768772,0.0552079465,0.06865197
0.1,0.85,0.115527978,0.0389892227,0.8454827993,0.0145714549,0.0153235137,0.0211174669,0.7675043539,0.0481876339,0.768224199,0.0316762004,0.8970654253,0.0398721404,0.9425677526,0.8496129982,0.0538944222,0.0591049813
0.1,0.9,0.1099727668,0.0249909823,0.8650362509,0.0141692423,0.0124120898,0.0188440887,0.8150542864,0.0398512739,0.7975543764,0.0282661331,0.9339845297,0.035579748,0.9631144241,0.9036062113,0.0524067865,0.0478752036
0.1,0.95,0.1048097976,0.0120144864,0.8831757161,0.0138149047,0.0086589344,0.0163273305,0.8591467433,0.029460225,0.8247635741,0.0244909957,0.9682338695,0.0308278268,0.9822103378,0.9536584097,0.0510962228,0.0333987472
0.15,0.05,0.2670454386,0.2936049688,0.4393495926,0.0199559902,0.021323548,0.0230898809,-0.1478603449,0.0594231175,0.1590283629,0.0346216313,0.0483174932,0.0352733508,0.1105932788,0.0578182611,0.0795594228,0.0436851221
0.15,0.1,0.2528966058,0.2904072982,0.456696096,0.019847979,0.022165825,0.0243885483,-0.1241185004,0.0628049528,0.1850443689,0.0365821034,0.0752798505,0.0453973754,0.1660668004,0.0617267474,0.0973140811,0.0462099182
0.15,0.15,0.2392938565,0.2849342764,0.475771867,0.0196595547,0.0230788711,0.0257047478,-0.0940966858,0.0663702624,0.2136581155,0.0385559664,0.112260695,0.0522281407,0.2347093847,0.0692408645,0.1052089712,0.0513560041
0.15,0.2,0.2262738515,0.2787505624,0.4949755861,0.0192868481,0.0243320892,0.0270854044,-0.0625255386,0.070775672,0.2424635441,0.0406273858,0.1518603331,0.0563475049,0.3051801313,0.0813949765,0.1056460949,0.0587824155
0.15,0.25,0.2138404099,0.2686378805,0.5175217096,0.0190405396,0.0252079033,0.0282579895,-0.0197540515,0.074047876,0.2762825644,0.0423869843,0.198953873,0.0591343036,0.3734524857,0.1043390952,0.1047398008,0.0692435145
0.15,0.3,0.2024687328,0.2583940915,0.5391371757,0.0186435812,0.0260168548,0.0291731544,0.0223489928,0.0769370716,0.3087057636,0.0437597317,0.2442111095,0.0610980966,0.436024855,0.1328983035,0.102611741,0.0777668939
0.15,0.35,0.1912778505,0.2463060535,0.562416096,0.0182456341,0.026580524,0.0298589948,0.069803989,0.0790444048,0.343624144,0.0447884922,0.2929658647,0.0625365378,0.4976182691,0.1697853199,0.100420532,0.0849823187
0.15,0.4,0.181115991,0.2313151912,0.5875688178,0.0179247044,0.0273217931,0.030726054,0.1249384354,0.0816612723,0.3813532267,0.046089081,0.3456456066,0.0643525024,0.5535476464,0.218761682,0.09865535,0.0903969358
