pi,lambda,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ
0.05,0.05,0.5225174980557675,0.1435529385623826,0.3339295633818749,0.0750224807004591,0.0535748459061131,0.0756314979527455,0.0468236862571097,0.1827811897649719
0.05,0.1,0.4706943672925343,0.1391800911009877,0.3901255416065238,0.0759799390222512,0.0535038410587138,0.0814419753484953,0.1117653594045482,0.188449657465923
0.05,0.15,0.4126319297856154,0.1261570936562573,0.4612109765581803,0.0785706685329146,0.0564237675192221,0.0870897368334773,0.2088967892456655,0.1999372718719215
0.05,0.2,0.3708032440840285,0.1163537384735016,0.5128430174425057,0.0773079646215026,0.0557939957907659,0.0894124942696281,0.2801355404955024,0.20100048585116
0.05,0.25,0.3219753360737912,0.1019508943450708,0.5760737695811429,0.0741155842995742,0.0545341302868633,0.0906220766682516,0.3721719808910012,0.1996903372419783
0.05,0.3,0.2892834129541242,0.0896611487612472,0.6210554382846246,0.0716816093054367,0.0543100834751726,0.088214872351735,0.4417331407621302,0.1968350393020804
0.05,0.35,0.2558382401955326,0.0754693922897439,0.6686923675147158,0.0684141802046962,0.0516342283305001,0.0875624914406538,0.517753582935228,0.1908309481016541
0.05,0.4,0.2296478169092366,0.06404621708699,0.706305966003772,0.0647811560217287,0.0455029141602692,0.0786116144724065,0.578213531829792,0.1696174427929451
0.05,0.45,0.2132518609043514,0.0580802133096327,0.7286679257860261,0.0627907619101637,0.0475464989784726,0.0786831398219556,0.6125074991667607,0.1737761377789009
0.05,0.5,0.1916075991556572,0.0461415398289083,0.7622508610154466,0.0603155020060872,0.0420323892020026,0.0747799717362182,0.6699677813576299,0.1588447501402236
0.05,0.55,0.1767336962559777,0.0369558937895789,0.7863104099544496,0.0574842690268173,0.0373175435207876,0.0688159935501034,0.7123986223752916,0.1434510805916788
0.05,0.6,0.1637840239973373,0.0311587601377632,0.8050572158649102,0.0544437693023737,0.0349997049698082,0.0659368347012919,0.7427396955893837,0.1359362446409085
0.05,0.65,0.1526652594156214,0.0264837240306643,0.820851016553716,0.0534159364761531,0.0305301487887517,0.0610830775012359,0.7678835684923871,0.1221433750787393
0.05,0.7,0.1432174202866346,0.0206065992667488,0.8361759804466112,0.0518738036097624,0.0271920902878495,0.0581423322994453,0.7949627819131135,0.1125265128751443
0.05,0.75,0.1337918009110077,0.0165714920564385,0.8496367070325396,0.0497525943878632,0.0254719807825106,0.0558694033060798,0.8164937229196624,0.106813364871101
0.05,0.8,0.1249438951227621,0.0094722808576825,0.8655838240195348,0.0484263434587187,0.0174915641066531,0.0514126627341912,0.8466392623041697,0.0863957909474975
0.05,0.85,0.1188934562826338,0.008583490723253,0.8725230529940871,0.0468873103237688,0.0174446410323304,0.0499995571830433,0.8553560715475811,0.0848888392477043
0.05,0.9,0.1130696589267855,0.0054593934007333,0.8814709476724526,0.0460725096678579,0.0142771200343913,0.0482094097002471,0.870552160870986,0.0767636497690297
