pi,lambda,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ,m
0.05,0.05,0.2414521369657601,0.2264878780304932,0.5320599850037481,0.0136629707991063,0.0136846415927169,0.0164206090295023,0.0790842289427615,0.0437898922149363,0.298089977505622
0.05,0.1,0.1937675581104727,0.1974043989002748,0.6088280429892531,0.0134058553349156,0.015798272710801,0.0195025235134878,0.2140192451887034,0.0510990689350899,0.4132420644838797
0.05,0.15,0.1580602349412638,0.1713506623344166,0.6705891027243179,0.0119038699944508,0.0157361925250743,0.0189701507959133,0.3278877780554846,0.050442535846062,0.5058836540864768
0.05,0.2,0.133479380154961,0.149848287928017,0.7166723319170222,0.0120387556340219,0.0144095706977368,0.0187354572078133,0.4169757560609881,0.0475545986032869,0.5750084978755332
0.05,0.25,0.1133569107723081,0.123665583604099,0.7629775056235933,0.0104047384808214,0.0137999687577752,0.0169912328533431,0.5156463384153952,0.0445911703688937,0.64446625843539
0.05,0.3,0.099229442639341,0.106052986753312,0.7947175706073449,0.0101075389148037,0.0134869266959554,0.016843298777157,0.5826115971007209,0.0438171521690679,0.6920763559110175
0.05,0.35,0.087279180204949,0.0881367158210452,0.8245841039740079,0.0092145422527528,0.0111786874950268,0.0139864036568799,0.6483106723319175,0.0363437786469337,0.736876155961012
0.05,0.4,0.0777555611097226,0.0739500124968757,0.848294426393402,0.0086141589659889,0.0114612390527745,0.0143317755852909,0.7003944013996505,0.03725425369084,0.772441639590103
0.05,0.45,0.0704266433391649,0.0614111472131967,0.8681622094476383,0.0082859024828326,0.010800470624402,0.0136349892378806,0.7453399150212447,0.0352359304866846,0.8022433141714576
0.05,0.5,0.0644836290927268,0.0528487878030492,0.8826675831042253,0.0078820234982137,0.0106578552793332,0.0131127979997463,0.7769700074981267,0.0344285085584129,0.8240013746563379
0.05,0.55,0.0590329917520619,0.0441987003249191,0.896768307923016,0.0075895264194929,0.0095221456778618,0.0121744221777117,0.8083709072731777,0.0312187135334354,0.8451524618845241
0.05,0.6,0.0549287678080481,0.0386340914771312,0.9064371407148192,0.0073256177013494,0.0107164395897438,0.0130790332296559,0.8291689577605569,0.0345119124091436,0.8596557110722289
0.05,0.65,0.0507520619845041,0.0299027743064238,0.9193451637090688,0.0071782317719726,0.007725852367299,0.0105510464992551,0.8595396150962211,0.0260027512338531,0.8790177455636035
0.05,0.7,0.0473714071482133,0.023918520369908,0.928710072481876,0.0068138478295628,0.0070698910465542,0.0098138637151605,0.88087303174206,0.0239536458082689,0.8930651087228141
0.05,0.75,0.0446728317920522,0.0175618595351165,0.9377653086728294,0.0064739234011493,0.0055901462361252,0.0086133417563073,0.9026415896025964,0.0197936342285579,0.906647963009244
0.05,0.8,0.041874781304674,0.0141114721319672,0.9440137465633612,0.0063044084860048,0.0049980066883994,0.0080539158789221,0.9157908022994268,0.0180499292557211,0.9160206198450416
0.05,0.85,0.0397565608597853,0.0107655586103475,0.9494778805298728,0.0061975981290623,0.0045657993269663,0.007667892351013,0.9279467633091776,0.0167994910049457,0.9242168207948088
0.05,0.9,0.0374911272181957,0.0067983004248938,0.9557105723569144,0.0060188025182806,0.0032739207551073,0.0068062258776303,0.9421139715071268,0.013354067387845,0.9335658585353716
0.05,0.95,0.0357718070482384,0.0030779805048737,0.961150212446886,0.0059445491804475,0.0027886228717091,0.0066401943179289,0.9549942514371386,0.0122174400613473,0.9417253186703292
0.1,0.05,0.1552721819545108,0.2644841289677567,0.5802436890777313,0.0116147814642757,0.0139928128175633,0.0158106246172408,0.0512754311422177,0.0437962502523676,0.3703655336165969
0.1,0.1,0.136761309672581,0.2495803549112722,0.6136583354161482,0.0110357266495835,0.0159370669815374,0.0176470531854036,0.1144976255936036,0.0495211871484784,0.4204875031242223
0.1,0.15,0.1203489127718075,0.2285721069732572,0.6510789802549334,0.0107048694266973,0.0149272355707463,0.017051811063927,0.1939347663084188,0.0469062822054197,0.4766184703824001
0.1,0.2,0.1071084728817803,0.2067783054236446,0.6861132216945751,0.0102610053451075,0.0164477533185444,0.0183531448978938,0.2725566108472858,0.0512486515349828,0.5291698325418626
0.1,0.25,0.0951192201949518,0.1819025243689076,0.7229782554361429,0.0094916823056689,0.0139617511840731,0.016226098639406,0.3591732066983276,0.0441496010075524,0.5844673831542144
0.1,0.3,0.086516620844789,0.1649920019995001,0.7484913771557073,0.0091705390342365,0.0158467326605833,0.0181922095449664,0.4185073731567071,0.0498856748661331,0.6227370657335611
0.1,0.35,0.0780222444388903,0.1453346663334158,0.7766430892276881,0.0084895674248594,0.0159850467764373,0.0180521212840565,0.4859737565608565,0.0500222148369311,0.664964633841532
0.1,0.4,0.0716835791052237,0.1265783554111472,0.8017380654836259,0.0084766356997811,0.0148120194907598,0.0167070905054324,0.5485813546613314,0.0463311294869521,0.7026070982254389
0.1,0.45,0.0656050987253186,0.1125763559110229,0.8218185453636622,0.0082098425074115,0.0144215197124746,0.0164675002955368,0.5966658335416162,0.0453105397204861,0.7327278180454933
0.1,0.5,0.0610087478130468,0.0966050987253192,0.8423861534616358,0.0079003274271788,0.0132733949687523,0.0154762591806109,0.6491759560109973,0.0420230491181156,0.7635792301924538
0.1,0.55,0.056570107473132,0.0785516120969758,0.8648782804298935,0.0074793814058013,0.012130350284534,0.0142104338653799,0.7077750562359418,0.038471134434448,0.7973174206448401
0.1,0.6,0.0524946263434143,0.0680932266933264,0.8794121469632575,0.0071306054172557,0.0118355843375326,0.0136112395620089,0.7432256935766046,0.0372824082370742,0.8191182204448864
0.1,0.65,0.0493424143964011,0.0558012996750814,0.8948562859285141,0.0069237434288998,0.0105344794987898,0.0126865515843441,0.7832536865783511,0.0337555105819237,0.8422844288927711
0.1,0.7,0.0465936015996003,0.0442221944513873,0.909184203949008,0.0068476491623211,0.0087356950085943,0.0110209260238145,0.8207398150462334,0.0284923160410032,0.8637763059235122
0.1,0.75,0.04390127468133,0.0355526118470387,0.9205461134716296,0.0064700077955733,0.0080150042920481,0.0101582693169713,0.8494408897775519,0.0261882779010675,0.8808191702074444
0.1,0.8,0.0414438890277433,0.0294163959010252,0.9291397150712268,0.0063385655531581,0.0075012046437371,0.0096077689823805,0.8703069232691764,0.0246101782698549,0.8937095726068403
0.1,0.85,0.0393941514621348,0.0193894026493379,0.9412164458885268,0.0063093863240455,0.0058149658355043,0.0085872952357033,0.902437640589851,0.0202172269067121,0.9118246688327905
0.1,0.9,0.0374798800299928,0.0130392401899527,0.9494808797800576,0.0060508394116522,0.0053044990171122,0.0080273717259009,0.9234023994001522,0.0186363697601253,0.9242213196700866
0.1,0.95,0.0355178705323672,0.0055661084728818,0.9589160209947546,0.0058094959389119,0.0033203450238237,0.0066616773986405,0.947783804048991,0.0133023674462879,0.9383740314921318
0.15,0.05,0.1162821794551366,0.2903221694576353,0.5933956510872307,0.0103645117998287,0.0144698974043452,0.0159314993356629,0.0127513121719601,0.0448712941443533,0.390093476630846
0.15,0.1,0.1061447138215455,0.2751009747563102,0.6187543114221477,0.0096788327123849,0.0168785604110544,0.0183284443429329,0.0685523619095272,0.0520855651650417,0.4281314671332215
0.15,0.15,0.0966483379155219,0.2543801549612583,0.6489715071232183,0.0093182644769176,0.0152393633750226,0.0165254406281047,0.1402111972007016,0.0470041673781499,0.4734572606848274
0.15,0.2,0.0896415896025999,0.238436640839791,0.67192176955761,0.0089972501283742,0.01590815976514,0.0173123403521269,0.1950484878780278,0.049128659882407,0.507882654336415
0.15,0.25,0.0821004748812797,0.2226213446638347,0.6952781804548893,0.0086628460839629,0.0173117686644497,0.0189824615445002,0.2500354911272198,0.0536059988733998,0.542917270682334
0.15,0.3,0.0758997750562361,0.1995173706573366,0.7245828542864301,0.0085253857654295,0.0164839698096311,0.0179463421328974,0.3255481129717567,0.0509142817521597,0.5868742814296453
0.15,0.35,0.0705101224693825,0.178370657335666,0.751119220194949,0.008304424122719,0.0151074593758449,0.0161447524908792,0.3943779055236169,0.046359671242569,0.6266788302924235
0.15,0.4,0.0659010247438139,0.1629122719320168,0.771186703324169,0.0078555840934737,0.0138577794708255,0.0155006897638205,0.4453621594601353,0.0432162487054716,0.6567800549862537
0.15,0.45,0.0611164708822794,0.1400862284428888,0.7987973006748289,0.0076786998341005,0.0145612091804493,0.016249881621471,0.5186248437890513,0.0453722999823696,0.6981959510122433
0.15,0.5,0.057183454136466,0.1239795051237196,0.8188370407398158,0.0075000890772015,0.0158656414889231,0.0175821624847625,0.5708780304923766,0.0493134454626087,0.7282555611097237
0.15,0.55,0.0538515371157213,0.1079560109972514,0.8381924518870312,0.0073028044792178,0.0137828902804846,0.0155836437655558,0.6222804298925284,0.043149424326525,0.7572886778305468
0.15,0.6,0.0506998250437394,0.0950119970007503,0.8542881779555113,0.0070288066177255,0.0150083761958444,0.0166834553586578,0.6642641839540105,0.0467002077503468,0.781432266933267
0.15,0.65,0.0479077730567361,0.0815893526618345,0.8705028742814307,0.0067177557312307,0.0114052214623762,0.012821604978958,0.7073241689577616,0.0356320479037105,0.8057543114221462
0.15,0.7,0.0452559360159962,0.0666780804798798,0.888065983504121,0.0065432774952545,0.0100911021159495,0.0121094444583031,0.7547098225443613,0.032291648690202,0.8320989752561816
0.15,0.75,0.0429022744313923,0.0516540864783806,0.905443639090226,0.0066239865130952,0.0109520917600939,0.0127965184778404,0.8021354661334645,0.0347007019980283,0.8581654586353389
0.15,0.8,0.0410067483129221,0.042661834541365,0.9163314171457132,0.0064408620889511,0.0089904318880473,0.0112038223484753,0.831007748062983,0.0291846861245699,0.8744971257185696
0.15,0.85,0.0389415146213449,0.0298395401149715,0.931218945263684,0.0061677855511802,0.0079673550309028,0.0102152117446117,0.8715398650337409,0.0261499218064173,0.8968284178955261
0.15,0.9,0.0371544613846541,0.0197643089227695,0.9430812296925766,0.0060770581465106,0.0067368528133352,0.0090166041327917,0.9035526118470374,0.0224903097594621,0.914621844538865
0.15,0.95,0.0355721069732571,0.0095788552861785,0.9548490377405664,0.0058737859838909,0.004078215637911,0.0072284648922731,0.9356913271682092,0.0153848961680952,0.9322735566108497
0.2,0.05,0.0923019245188708,0.3025851037240687,0.6051129717570615,0.0092316476749982,0.0155360811675753,0.0170481006036288,-5.723569107607407e-05,0.0481202629387795,0.4076694576355921
0.2,0.1,0.0866020994751316,0.2866070982254435,0.6267908022994256,0.0091120324621405,0.0175678140245905,0.0188001190257177,0.0535766058485386,0.0539357470748988,0.4401862034491384
0.2,0.15,0.0811509622594352,0.270036240939764,0.6488127968007983,0.0086777419124347,0.0157084988546306,0.0169414785718646,0.1087403149212702,0.0483584762811258,0.4732191952011975
0.2,0.2,0.0768640339915019,0.2589817545613588,0.6641542114471349,0.0084763204648505,0.0154840859278406,0.0163347930162667,0.1461907023244172,0.0473029648719479,0.4962313171707024
0.2,0.25,0.0718947763059232,0.2415913521619598,0.6865138715321162,0.0079402566209285,0.0171762543994958,0.0184647872999526,0.2033311672081964,0.0528172960989443,0.5297708072981742
0.2,0.3,0.0677958010497374,0.2254211447138229,0.7067830542364405,0.008061981292735,0.0160937206011941,0.0176095690682454,0.2559407648087946,0.0497970102706336,0.5601745813546608
0.2,0.35,0.0637555611097224,0.2042841789552613,0.7319602599350183,0.0077786075033599,0.0152529168401315,0.0167043608178348,0.3233919020244956,0.0472101944980978,0.5979403899025275
0.2,0.4,0.0602066983254186,0.1879797550612345,0.7518135466133454,0.0076058540034121,0.0165696511743606,0.0180865205731613,0.3758540364908763,0.0512258229218825,0.6277203199200181
0.2,0.45,0.0568810297425644,0.1667365658585356,0.7763824043989006,0.0072501270705667,0.0159078309364829,0.0171669808154323,0.4429092726818293,0.0489826426883982,0.664573606598351
0.2,0.5,0.0540249937515624,0.1512944263934006,0.7946805798550354,0.0071704515308459,0.0147672370952437,0.0162178896673915,0.492091727068234,0.0457523638578789,0.692020869782553
0.2,0.55,0.0514728817795551,0.1351449637590597,0.813382154461384,0.0071445662512339,0.0145254425149438,0.0162092002102859,0.5430922269432645,0.0452600852401736,0.7200732316920759
0.2,0.6,0.048707323169208,0.1188837790552364,0.8324088977755604,0.0068705945054111,0.0164756711339833,0.0179983543917157,0.5946413396650874,0.0509496966596825,0.7486133466633405
0.2,0.65,0.0463184203949014,0.0982174456385912,0.8554641339665099,0.006835245650613,0.0126618405286754,0.0141634838866025,0.6590292426893274,0.0394871649439534,0.7831962009497648
0.2,0.7,0.0443426643339167,0.0859562609347666,0.8697010747313176,0.0065870935775613,0.0132900277056104,0.0147446641652043,0.6977885528617844,0.0413247195764253,0.8045516120969765
0.2,0.75,0.0421767058235443,0.06887728067983,0.8889460134966247,0.0064895698814087,0.0121068239519474,0.0136430965960378,0.7511914521369646,0.0378567444999327,0.833419020244937
0.2,0.8,0.040531867033242,0.0542296925768558,0.9052384403898984,0.0061342519298048,0.0100258903909062,0.0117367002162878,0.7967790552361866,0.0317884809981002,0.8578576605848474
0.2,0.85,0.0387243189202702,0.0377998000499877,0.92347588102974,0.0061675141623075,0.0095184904244323,0.0114504576602791,0.8478762809297645,0.0304874385091437,0.8852138215446099
0.2,0.9,0.036946763309173,0.0262134466383409,0.9368397900524876,0.005944570223844,0.0068165921942503,0.0088926979233475,0.8844128967758058,0.0225258823118481,0.9052596850787316
0.2,0.95,0.0354723819045244,0.0113666583354163,0.9531609597600628,0.0057549369718627,0.0049493714808535,0.00757852792293,0.9304276430892302,0.017477270884637,0.9297414396400944
0.25,0.05,0.0765873531617096,0.3106050987253189,0.6128075481129739,0.0082365909220681,0.0145968323274778,0.0152905347523148,-0.0084026493376638,0.0444841994072705,0.4192113221694609
0.25,0.1,0.0726388402899274,0.2966050987253176,0.6307560609847526,0.0082490169750544,0.0158607223667934,0.0168315174265507,0.0375458635341172,0.0485529621601377,0.4461340914771288
0.25,0.15,0.0697658085478629,0.2819742564358898,0.648259935016244,0.0080560158051195,0.0179331003204471,0.0189580831545748,0.0843114221444644,0.0548242837954692,0.4723899025243661
0.25,0.2,0.0665228692826792,0.2709570107473123,0.6625201199700047,0.0078971538775155,0.0162490354009748,0.0172887870478413,0.12060609847538,0.0497868578497909,0.493780179955007
0.25,0.25,0.0636398400399899,0.2560637340664825,0.6802964258935268,0.0077095072718304,0.0176840376315269,0.018913318316006,0.1681689577605618,0.0542813935790599,0.5204446388402901
0.25,0.3,0.0616725818545362,0.241210197450638,0.6971172206948277,0.0077124749955744,0.0173163811457821,0.0183519346629594,0.2146968257935516,0.0529846969545237,0.5456758310422416
0.25,0.35,0.0589872531867036,0.2290492376905787,0.7119635091227207,0.0075796165785697,0.0177199273430716,0.0188821123840257,0.2538650337415631,0.0543219670701689,0.5679452636840809
0.25,0.4,0.05593551612097,0.2086195951012251,0.7354448887778081,0.0073869371724553,0.0158082496164507,0.0169003853356625,0.3182056985753579,0.048516884568564,0.6031673331667122
0.25,0.45,0.0535726068482881,0.1902304423894028,0.7561969507623095,0.0070305255441995,0.0166832965276423,0.0179366440757413,0.3757360659835039,0.0513032371310259,0.6342954261434643
0.25,0.5,0.0512976755811049,0.1727065733566608,0.7759957510622331,0.0069888924083667,0.0150154047324798,0.0162891292567164,0.4305826043489113,0.0463199387216761,0.6639936265933497
0.25,0.55,0.0489755061234694,0.1580627343164202,0.7929617595601098,0.0068707641423661,0.0145676632793885,0.0156082762438128,0.4768362909272693,0.0447436028025898,0.6894426393401647
0.25,0.6,0.0469312671832044,0.1382189452636838,0.8148497875531124,0.0067862747232074,0.0164610920350763,0.0178225189179267,0.5384118970257448,0.0507447029880794,0.7222746813296688
0.25,0.65,0.0452334416395903,0.1181919520119973,0.8365746063484165,0.0067137911329706,0.0145181832614724,0.0159309916515341,0.6001907023244217,0.0449673581744789,0.7548619095226248
0.25,0.7,0.0431607098225446,0.1030842289427651,0.8537550612346919,0.0065231446324626,0.0150310396750047,0.0161349462348809,0.6475866033491616,0.0461970255848905,0.7806325918520378
0.25,0.75,0.0414633841539618,0.0793041739565108,0.8792324418895306,0.006429052919726,0.012821357380314,0.0144909957304763,0.7206240939765088,0.0401337104911043,0.8188486628342959
0.25,0.8,0.0398087978005501,0.0670109972506872,0.8931802049487597,0.006211294758692,0.0111261798938469,0.0128291764372458,0.7591582104473852,0.0350815362249397,0.8397703074231395
0.25,0.85,0.038122219445139,0.0461927018245442,0.9156850787303148,0.0062004684236622,0.0090484588037588,0.0108109342704528,0.8232996750812264,0.0289078518779704,0.8735276180954723
0.25,0.9,0.0368700324918773,0.032880779805049,0.9302491877030736,0.0060863457200478,0.0078017326916366,0.0099717170018512,0.8644876280929754,0.0255751823851245,0.8953737815546106
0.25,0.95,0.0352589352661839,0.015597100724819,0.9491439640090038,0.0057624157925351,0.0058868184609432,0.0081998334850595,0.9179497625593658,0.019973470406946,0.9237159460135058
0.3,0.05,0.0656718320419893,0.3176373406648335,0.616690827293176,0.0077973732030589,0.015582737093533,0.0164064663575192,-0.0185838540364909,0.0475719405445853,0.4250362409397641
0.3,0.1,0.0634883779055237,0.3031352161959513,0.6333764058985234,0.0077375982961867,0.0154809871135369,0.0161546675353967,0.0271059735066208,0.0471166417624707,0.4500646088477851
0.3,0.15,0.0613071732066984,0.293136465883529,0.6455563609097702,0.0076620409182047,0.0146277945161564,0.0154731181457943,0.0592834291427122,0.0447287071781073,0.4683345413646553
0.3,0.2,0.0596953261684579,0.2799300174956254,0.6603746563359139,0.0075857696148669,0.0172718441755561,0.0178812428969049,0.1005146213446629,0.0524249312480172,0.4905619845038708
0.3,0.25,0.0576673331667084,0.2663724068982742,0.675960259935016,0.0074474529277613,0.0167944567768771,0.0177045804901561,0.1432154461384676,0.0512934940439104,0.5139403899025239
0.3,0.3,0.0558177955511123,0.2547885528617841,0.6893936515871036,0.0071894744758703,0.0187790649109657,0.0198466180919464,0.1798165458635353,0.057404747913878,0.5340904773806554
0.3,0.35,0.0538420394901277,0.2356300924768816,0.7105278680329943,0.0070657301278381,0.0170105300980434,0.0179306800116052,0.239267683079231,0.0519517402076922,0.5657918020494914
0.3,0.4,0.0522981754561362,0.2269782554361417,0.7207235691077234,0.0072113673578738,0.0174824705649898,0.0183567716894416,0.2667670582354398,0.0533217128194213,0.5810853536615852
0.3,0.45,0.0505346163459139,0.2078155461134727,0.7416498375406156,0.0070399477206171,0.01526728424632,0.0162465721184069,0.3260187453136702,0.046781140611047,0.6124747563109234
0.3,0.5,0.0486000999750065,0.1889017745563607,0.7624981254686345,0.0068456219578649,0.0155706165372524,0.0165904960439781,0.384694576355913,0.047731729118483,0.6437471882029517
0.3,0.55,0.047087228192952,0.1726510872281925,0.7802616845788519,0.0066510630233193,0.0148336519253566,0.0159512775056258,0.4349595101224668,0.0456185813563392,0.670392526868278
0.3,0.6,0.0455566108472885,0.1552071982004491,0.7992361909522597,0.0066470562590346,0.0152774444254579,0.0165022559029827,0.4888217945513615,0.0470571447538986,0.6988542864283895
0.3,0.65,0.0440072481879534,0.135247938015495,0.8207448137965515,0.0065641981574779,0.0152222538203827,0.0164626429749772,0.5502489377655615,0.0469071506157427,0.7311172206948273
