pi,lambda,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ,m,sdm,k2,sdk2
0.05,0.05,0.5100044739,0.2066925769,0.2833029493,0.0233074928,0.019642677,0.0222160586,-0.1300822044,0.0520498789,0.2650067108,0.0349612392,0.0521263554,0.0347729613
0.05,0.1,0.4632167708,0.2154385904,0.3213446388,0.0244311508,0.0216517422,0.0252215724,-0.1095325419,0.0593919904,0.1948371532,0.0366133306,0.1116698695,0.0394772437
0.05,0.15,0.4167453637,0.2202486878,0.3630059485,0.0243806171,0.0237681806,0.0279559856,-0.0774914271,0.0674191431,0.1296169208,0.0319190575,0.1768788759,0.0437571948
0.05,0.2,0.3731172457,0.2184853537,0.4083974006,0.0243354709,0.0260180397,0.0308923526,-0.0285733067,0.0757641893,0.1227268933,0.0364638501,0.2479263662,0.0483532475
0.05,0.25,0.3347491127,0.2124999,0.4527509873,0.0234773698,0.0280658932,0.0331507403,0.0277511872,0.0831907877,0.1793413022,0.0492482911,0.3173493714,0.0518881153
0.05,0.3,0.3009190702,0.2004066233,0.4986743064,0.0228173846,0.0290486026,0.0347300864,0.0978610597,0.087408229,0.2480117221,0.0520941195,0.3892293492,0.0543601353
0.05,0.35,0.2717494126,0.1841730317,0.5440775556,0.0221050499,0.0299590757,0.035614454,0.1757314921,0.0906265901,0.3161163334,0.0534216811,0.4602953044,0.0557443628
0.05,0.4,0.2468752562,0.1670687578,0.586055986,0.0212719478,0.0310887969,0.0366960967,0.2519184704,0.0945193037,0.379083979,0.0550441451,0.5260006737,0.0574373688
0.05,0.45,0.2255431142,0.1490924019,0.6253644839,0.020223683,0.0294453333,0.0350530482,0.3271796801,0.0898349585,0.4380467258,0.0525795723,0.5875270182,0.0548656407
0.05,0.5,0.207263884,0.1326975506,0.6600385654,0.0194645365,0.029795223,0.0350695993,0.3946434641,0.0908758818,0.490057848,0.0526043989,0.6417994936,0.0548915467
0.05,0.55,0.1913606598,0.1138551362,0.6947842039,0.0186429035,0.0270611905,0.032511037,0.4670739315,0.0828832617,0.5421763059,0.0487665555,0.6961839714,0.0508868406
0.05,0.6,0.1776782804,0.0974002749,0.7249214446,0.0181307305,0.0265867293,0.0319199868,0.5301208948,0.0814882504,0.587382167,0.0478799802,0.7433553047,0.0499617184
0.05,0.65,0.1654603599,0.0800607598,0.7544788803,0.0173425769,0.0240245741,0.0295110266,0.5943573607,0.0739881957,0.6317183204,0.0442665399,0.789619117,0.0461911721
0.05,0.7,0.1550194951,0.0676250937,0.7773554111,0.0168178524,0.022365915,0.0278698012,0.6421052237,0.069035513,0.6660331167,0.0418047018,0.8254258609,0.0436222976
0.05,0.75,0.145564084,0.0541534366,0.8002824794,0.0162747707,0.021021083,0.0265376774,0.6919756061,0.0650716853,0.7004237191,0.0398065161,0.8613117069,0.0415372342
0.05,0.8,0.1370609348,0.0414726568,0.8214664084,0.0158007601,0.0185745104,0.0243633899,0.7385210947,0.0578918895,0.7321996126,0.0365450848,0.894469161,0.0381340015
0.05,0.85,0.129676131,0.0300715821,0.8402522869,0.0153743679,0.0154984394,0.0218466683,0.7801091227,0.0489928374,0.7603784304,0.0327700025,0.9238731448,0.0341947852
