pi,lambda,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ,m,sdm,k2,sdk2,k0,k1,sdk0,sdk1
0.05,0.05,0.4924146963,0.1977563109,0.3098289928,0.052645768,0.043030445,0.0507692414,-0.0856836291,0.1153217629,0.2400972257,0.0763727559,0.0821729696,0.0607739312,0.1326323941,0.1833728925,0.0928628299,0.141975131
0.05,0.1,0.4430372907,0.2018431392,0.3551195701,0.0539804278,0.0475115528,0.0577742026,-0.0485667083,0.1331536263,0.1809183454,0.0663634277,0.1400315393,0.0834438201,0.2249526115,0.2052520013,0.1157404444,0.159413834
0.05,0.15,0.3958454886,0.1994087478,0.4047457636,0.0541461381,0.0509320411,0.0631026157,0.0059282679,0.147128001,0.1641769808,0.0629763276,0.2146254917,0.097869738,0.3288193688,0.2167408719,0.1219137984,0.1685720049
0.05,0.2,0.3512981755,0.1921585604,0.4565432642,0.0531746597,0.0549142655,0.0687229094,0.0722261435,0.1631161713,0.1998655086,0.0860289212,0.2959694626,0.1086657852,0.4295848246,0.2309887957,0.1206453119,0.1764710559
0.05,0.25,0.3123088728,0.1794643839,0.5082267433,0.0515461931,0.0574948357,0.0719384597,0.1492979755,0.1733359244,0.2652962509,0.1025451399,0.3779217127,0.1140684759,0.5180736503,0.2482623987,0.1169988744,0.1826581158
0.05,0.3,0.2785008248,0.1639186203,0.5575805549,0.0496425152,0.0588709022,0.0739161919,0.2297433142,0.1796016437,0.3369046238,0.1095395614,0.4562515573,0.1173474856,0.5948140787,0.2780583711,0.112685464,0.1932744867
0.05,0.35,0.2500516871,0.146627943,0.6033203699,0.047275539,0.0577070608,0.0723021057,0.3100644839,0.1766167021,0.405108098,0.1080377117,0.5288791622,0.1148084149,0.659391876,0.31845133,0.1073125731,0.2055182907
0.05,0.4,0.2262446388,0.1297048738,0.6440504874,0.045481783,0.0563400508,0.0709292021,0.3846407398,0.1732076151,0.466119895,0.1062260427,0.5935578595,0.1126275491,0.7134324149,0.3728616846,0.1032408572,0.2202625084
0.05,0.45,0.2063317671,0.1136582854,0.6800099475,0.0436647404,0.0546895773,0.0692104752,0.4526933767,0.1688275739,0.5200176956,0.1038034424,0.6506595733,0.1099050465,0.7586334122,0.4359120791,0.0991162818,0.2300707354
0.05,0.5,0.1890288428,0.0978091477,0.7131620095,0.0418611816,0.0523004124,0.0665059729,0.5175437141,0.16179127,0.5697460135,0.0997450047,0.7033044786,0.1056103433,0.7979099888,0.5045392652,0.0950223141,0.2348605546
0.05,0.55,0.1744363409,0.0835643089,0.7419993502,0.0402789878,0.0489760642,0.0629786037,0.5748707323,0.1518092521,0.6129990252,0.0944679055,0.7490976805,0.1000089415,0.8310340728,0.5698907987,0.0914308312,0.2322544476
0.05,0.6,0.1616234941,0.0703795551,0.7679969508,0.0387361264,0.0455561144,0.0596552647,0.6272378405,0.1418711888,0.6519954261,0.089482897,0.790381424,0.0947315362,0.8601184489,0.6338584997,0.0879286304,0.2249057473
0.05,0.65,0.1506673832,0.0589825044,0.7903501125,0.0374232263,0.0425036152,0.0566979781,0.6723851037,0.1329749235,0.6855251687,0.0850469672,0.825877861,0.0900354159,0.8849881487,0.6919962224,0.0849484277,0.2127959168
0.05,0.7,0.1408176956,0.0480053487,0.8111769558,0.0360094437,0.0383740893,0.0525289073,0.7151662584,0.1204986416,0.7167654336,0.078793361,0.8589505306,0.0834150031,0.9073463352,0.7480689042,0.0817392281,0.19604823
0.05,0.75,0.1321991002,0.0380403399,0.8297605599,0.0348836643,0.0346669269,0.0491666586,0.75367988,0.1096773259,0.7446408398,0.0737499878,0.8884609749,0.0780758097,0.9269100179,0.7998586568,0.0791837777,0.1791406978
