pi,lambda,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ,m,sdm,k2,sdk2,k0,k1,sdk0,sdk1
0.05,0.05,0.4944670975,0.198267576,0.3072653265,0.0888983915,0.0728737859,0.0850865949,-0.0892698254,0.1943627278,0.2568955975,0.1156209825,0.1172246178,0.0892524897,0.1819889462,0.3099944402,0.1361564883,0.2336181178
0.05,0.1,0.4468215089,0.2011807762,0.3519977149,0.0916807068,0.0785500726,0.0966435286,-0.0503638376,0.2196130558,0.2194247867,0.1032253631,0.1622807664,0.1185781225,0.2464529573,0.3344657203,0.1668152726,0.2540386858
0.05,0.15,0.3996490163,0.2005698575,0.3997811261,0.092416188,0.0861252314,0.1069173931,-0.0013585889,0.248430707,0.2107767701,0.1039610411,0.2232436833,0.1458937051,0.3329939864,0.3652865355,0.1881594398,0.2782477024
0.05,0.2,0.3563873317,0.1941821687,0.4494304995,0.0905529583,0.0933090562,0.116752376,0.061066162,0.2770075003,0.2356362695,0.1209222178,0.2952834446,0.1677000268,0.4221064366,0.3942462343,0.197014217,0.2975190742
0.05,0.25,0.3173235263,0.181785625,0.5008908487,0.0885070895,0.0957363247,0.1197228106,0.1373195987,0.2869256133,0.2812505802,0.1439859939,0.3705607167,0.1815150744,0.5079684943,0.4101728139,0.1976480818,0.2989330076
0.05,0.3,0.2836862213,0.1677055736,0.5486082051,0.0844823347,0.0978167743,0.1232736526,0.2131970579,0.2978646985,0.3390380976,0.1595479469,0.444885054,0.1890984301,0.583312717,0.4330093497,0.1909494067,0.3044988015
0.05,0.35,0.2560991895,0.1492130539,0.5946877566,0.0817732305,0.0971437941,0.1222317851,0.2962616489,0.296765237,0.4002618988,0.1678808652,0.5165269995,0.1904598269,0.6457990892,0.4642921412,0.185151127,0.3045281967
0.05,0.4,0.2322094476,0.1340114971,0.6337790552,0.0784465799,0.0969361147,0.1220275067,0.365756061,0.2978994249,0.4555766416,0.1725575112,0.5778776796,0.1918847309,0.6999195644,0.5040559248,0.1779631629,0.3058090648
0.05,0.45,0.2094097904,0.1145595744,0.6760306352,0.0749860356,0.090392989,0.1156068946,0.4469114864,0.2790598608,0.5166328061,0.1667491706,0.6447749957,0.1820498303,0.7516591492,0.5397542961,0.1701577803,0.3042322447
0.05,0.5,0.193624094,0.1026204163,0.7037554897,0.0713633501,0.0886732862,0.112609394,0.4985146571,0.2739249558,0.5573406648,0.1641320912,0.6885213399,0.1782269369,0.7874809343,0.5796598299,0.1619812686,0.3050461701
0.05,0.55,0.1782025922,0.0891030814,0.7326943264,0.0689684472,0.0847138924,0.1087148108,0.5544881637,0.2626825047,0.6000548077,0.1598342909,0.734476053,0.1719783683,0.8224850448,0.6243400884,0.1565534533,0.3009478552
0.05,0.6,0.1654904131,0.0787149641,0.7557946228,0.0660480352,0.0831889404,0.1057690367,0.5983646945,0.2576023685,0.6343849752,0.1563535403,0.771034985,0.1678186638,0.8513407801,0.6679834633,0.1499249879,0.2968600596
