arena_r,interac_r,pi1,pi2,q1,q2,lambda,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ,m,sdm,k0,k1,k2,sdk0,sdk1,sdk2
20,7,0.3,0.3,7,8,0.0,0.1818785304,0.3816053487,0.436516121,0.0863916336,0.1087442338,0.1114016359,-0.3266945764,0.3053781181,0.2407780555,0.1166772518,1.2311682079,0.229730127,0.2038479499,0.8922579117,0.1683419827,0.1514867542
20,7,0.3,0.3,7,8,0.05,0.1800212447,0.3811372157,0.4388415396,0.0863699722,0.1112750461,0.1137543851,-0.3234328918,0.3133583435,0.2458134216,0.1186132277,1.2335936016,0.2352041751,0.2082571067,0.8888115904,0.1720939535,0.1546488591
20,7,0.3,0.3,7,8,0.1,0.1783899025,0.3784251437,0.4431849538,0.0864286958,0.1149027678,0.117774311,-0.3136653337,0.3254049821,0.2533471632,0.1223700845,1.2356422894,0.2431608169,0.2162202972,0.8892193339,0.1775222676,0.15994818
20,7,0.3,0.3,7,8,0.15,0.1770952262,0.3795616096,0.4433431642,0.0867926088,0.1173578909,0.1201836696,-0.315780055,0.3330220363,0.2568202949,0.1246543712,1.2427141215,0.2479424191,0.220725544,0.8921770882,0.1817506122,0.1631136301
20,7,0.3,0.3,7,8,0.2,0.1759050237,0.3769632592,0.4471317171,0.0870433389,0.1213546215,0.1243029891,-0.3067948013,0.3457777878,0.2642111972,0.1286251541,1.2479784054,0.2572393806,0.2286683251,0.894589685,0.1871035372,0.1691760569
20,7,0.3,0.3,7,8,0.25,0.1763811547,0.3771592102,0.4464596351,0.08768082,0.1236419066,0.1269167964,-0.3078587853,0.35308879,0.2667894276,0.1304998428,1.2578347413,0.2621338713,0.2336223716,0.8991221726,0.1905170165,0.1722507053
20,7,0.3,0.3,7,8,0.3,0.1741902024,0.3729162709,0.4528935266,0.087506491,0.1265730345,0.1302777603,-0.2929390152,0.3629414704,0.2741049738,0.1346670985,1.2593103724,0.2688552862,0.2405924426,0.8967234691,0.1953284049,0.1781801141
20,7,0.3,0.3,7,8,0.35,0.1743686578,0.3720014996,0.4536298425,0.087988903,0.1293458751,0.1331328373,-0.2903731567,0.3715791914,0.2779991252,0.1366186616,1.26552002,0.2752611847,0.2463664395,0.9021229569,0.1991297997,0.1815890297
20,7,0.3,0.3,7,8,0.4,0.1754411397,0.3653271682,0.4592316921,0.0885646694,0.1336016723,0.1379803244,-0.2714226443,0.3853890883,0.2853615346,0.1420707134,1.2709054736,0.2862004737,0.2568007739,0.9094288887,0.2058910808,0.1890065363
20,7,0.3,0.3,7,8,0.45,0.1748922769,0.3655808548,0.4595268683,0.0890309666,0.1375033163,0.1418750206,-0.2716348413,0.3974613318,0.2907973007,0.1448750046,1.2794073482,0.2945711786,0.2645104009,0.9128483585,0.2114906471,0.1934940561
