arena_r,interac_r,pi1,pi2,q1,q2,lambda,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ,m,sdm,k0,k1,k2,sdk0,sdk1,sdk2
20.0,5.0,0.3,0.3,7,10,0.0,0.1643820045,0.3439413147,0.4916766808,0.0740187783,0.0951067024,0.0999895673,-0.1962059485,0.2707542993,0.2696377406,0.1192658361,0.9158697761,0.2226687281,0.1966351946,0.7082156519,0.1635248592,0.1460730491
20.0,5.0,0.3,0.3,7,10,0.1,0.1623351162,0.3376057986,0.5000590852,0.0743489605,0.0988294923,0.104652064,-0.1751525119,0.2835564122,0.2819957011,0.1253008903,0.9218525369,0.2322036824,0.2066669477,0.709320867,0.1699059314,0.1530580201
20.0,5.0,0.3,0.3,7,10,0.2,0.162483879,0.3293821545,0.5081339665,0.0748679871,0.1029949571,0.1094805442,-0.1506303424,0.2973134789,0.2935981505,0.1318342672,0.9276692878,0.2446843384,0.2179662875,0.7149921634,0.1774936649,0.1613237718
20.0,5.0,0.3,0.3,7,10,0.3,0.1624316921,0.3189597601,0.5186085479,0.0757890058,0.106762166,0.114402375,-0.1193109723,0.3101043759,0.3076776806,0.1393664548,0.9401022821,0.2586455339,0.2315816468,0.7224787002,0.1862203303,0.1709661604
20.0,5.0,0.3,0.3,7,10,0.4,0.1652305924,0.3090970257,0.5256723819,0.0769365859,0.1104298635,0.1189851952,-0.0925216696,0.3221839257,0.3180349913,0.1454080668,0.9519179949,0.2743769724,0.244301776,0.7364479274,0.1950543613,0.1793527322
20.0,5.0,0.3,0.3,7,10,0.5,0.172035891,0.2956445889,0.5323195201,0.078815989,0.114136501,0.1240375474,-0.0589696576,0.3345068974,0.3268857786,0.1531198576,0.9747440832,0.2953911475,0.2582389102,0.7652679912,0.206412969,0.1884137831
20.0,5.0,0.3,0.3,7,10,0.6,0.1766210447,0.2823831042,0.540995851,0.0807823765,0.119611549,0.1309516741,-0.0237703574,0.3524698201,0.3406136466,0.1614204733,1.0033105057,0.3232290356,0.2776990692,0.7932364118,0.2203354202,0.2008043705
20.0,5.0,0.3,0.3,7,10,0.7,0.1929332667,0.2617102724,0.5453564609,0.084071623,0.1226956343,0.1352339199,0.021935916,0.3620136404,0.3459512622,0.167576216,1.079695794,0.3587193059,0.2897880349,0.8769953566,0.236312741,0.2073449018
20.0,5.0,0.3,0.3,7,10,0.8,0.2116914771,0.234607848,0.5537006748,0.0882431214,0.126616024,0.1424849925,0.0844849788,0.3761940024,0.357411847,0.178013577,1.2175354623,0.4126279621,0.3108174643,0.9902313809,0.2578027128,0.2196102385
20.0,5.0,0.3,0.3,7,10,0.9,0.2579151212,0.1948465884,0.5472382904,0.0971905689,0.1300591668,0.1520571791,0.1575451137,0.3898261983,0.3547051737,0.1822943033,1.6849692192,0.5012572238,0.3249211031,1.2777056863,0.2825561391,0.2272279641
20.0,7.0,0.3,0.3,7,10,0.3,0.1512616846,0.3176076981,0.5311306173,0.0737923128,0.1099900314,0.1179112659,-0.1040847788,0.3215671486,0.3262088478,0.1439573744,0.9377245176,0.2671388201,0.2455694671,0.7015058604,0.1915945786,0.1800480417
20.0,7.0,0.3,0.3,7,10,0.6,0.1446555361,0.2712462884,0.5840981755,0.0748278876,0.1267752791,0.1377970745,0.0416055986,0.3770908432,0.4009213697,0.1737435471,0.9736363089,0.3531897073,0.3339364677,0.7160729834,0.2363270623,0.2314442231
20.0,7.0,0.3,0.3,7,10,0.9,0.1541517621,0.1597618595,0.6860863784,0.0803279056,0.1381200854,0.1570120108,0.3665626593,0.4189464378,0.5443431142,0.2070006143,1.0111050955,0.5998870282,0.5361475093,0.7613455186,0.2971911292,0.2950129107
20.0,9.0,0.3,0.3,7,10,0.0,0.164284029,0.3449371657,0.4907788053,0.0741349075,0.0953879845,0.1001788968,-0.1990955261,0.2714934079,0.2693460635,0.1187721624,0.9174270791,0.2232369622,0.1973438889,0.7091574975,0.1641404472,0.1459170033
20.0,9.0,0.3,0.3,7,10,0.1,0.1582427393,0.3367215196,0.5050357411,0.0736893326,0.1004042062,0.1061039135,-0.1684072982,0.2887904321,0.2892625844,0.1272192866,0.9188963528,0.2360232942,0.2105562284,0.7014184737,0.1727214578,0.1558275959
20.0,9.0,0.3,0.3,7,10,0.2,0.152876181,0.3261935516,0.5209302674,0.073602474,0.1055751476,0.1124784403,-0.1314568358,0.3065880315,0.311223844,0.1367830524,0.9301847359,0.2519836089,0.2292075294,0.6999825855,0.1824989748,0.1687692554
20.0,9.0,0.3,0.3,7,10,0.3,0.1479905024,0.3157045739,0.5363049238,0.0733666562,0.1118372291,0.119877147,-0.0951042239,0.3277066577,0.3341802549,0.1462584022,0.9432994828,0.2731811,0.2532519561,0.6994288107,0.1943906097,0.1843740685
20.0,9.0,0.3,0.3,7,10,0.4,0.1429973507,0.2982946263,0.558708023,0.0728279319,0.117054575,0.1262316235,-0.0378812297,0.345551869,0.3643659085,0.1570270668,0.956748377,0.2998431535,0.2851347043,0.699593344,0.2086473112,0.2029609584
20.0,9.0,0.3,0.3,7,10,0.5,0.1389298675,0.2799489128,0.5811212197,0.0725216084,0.123531188,0.133958965,0.0212233942,0.3672546418,0.3959508623,0.1688627156,0.9731243087,0.3351011247,0.3241531424,0.7018905726,0.2266387696,0.2247225736
20.0,9.0,0.3,0.3,7,10,0.6,0.1342290427,0.2574251437,0.6083458135,0.0721627457,0.1307710411,0.1423737139,0.0934955261,0.3911550724,0.4349184704,0.1817741212,0.995309429,0.3827974292,0.3756967385,0.7065377523,0.2477588286,0.2490339447
20.0,9.0,0.3,0.3,7,10,0.7,0.1294162459,0.2264637841,0.64411997,0.0716559872,0.1364404597,0.1494952387,0.1911924019,0.4104550067,0.4855833042,0.1934475625,1.0200474497,0.448639164,0.4452169528,0.7121287445,0.2699682853,0.2741279398
20.0,9.0,0.3,0.3,7,10,0.8,0.1253512622,0.1793266683,0.6953220695,0.0711795069,0.1378975438,0.153104537,0.3366687328,0.4174737702,0.5581143214,0.2011063584,1.0434488814,0.5535537211,0.549808062,0.7175551361,0.2890705884,0.2949149293
20.0,9.0,0.3,0.3,7,10,0.9,0.1223170207,0.1222965259,0.7553864534,0.071021469,0.1324781229,0.150434013,0.5107934016,0.403863587,0.6435707573,0.2013316068,1.0654638904,0.6925895621,0.6794308371,0.7228366411,0.2900286858,0.3019143491
