arena_r,interac_r,pi1,pi2,q1,q2,lambda,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ,m,sdm,k0,k1,k2,sdk0,sdk1,sdk2
20.0,3.0,0.3,0.3,7,10,0.0,0.1636426608,0.3440004285,0.4923569108,0.0623981884,0.0806384827,0.0848471101,-0.1956439462,0.2298378075,0.2594321063,0.1050391969,0.7830275032,0.1858405807,0.1662403619,0.5825885724,0.1425839051,0.1247841682
20.0,3.0,0.3,0.3,7,10,0.1,0.1788118685,0.3382273717,0.4829607598,0.0646895772,0.0799236731,0.0846481215,-0.1934939836,0.22683296,0.2455209412,0.1048180644,0.824013374,0.1849986449,0.1668116505,0.6315953684,0.1413531605,0.1250832634
20.0,3.0,0.3,0.3,7,10,0.2,0.1968412897,0.3302655765,0.4728931339,0.0670583049,0.079289294,0.0842380065,-0.1876380191,0.2236408852,0.2305676438,0.1041055907,0.9223567918,0.1863896815,0.1692154385,0.7171330047,0.1412713309,0.126882811
20.0,3.0,0.3,0.3,7,10,0.3,0.2186242011,0.321395294,0.4599805049,0.0699498697,0.0787696349,0.0840210812,-0.1828100832,0.2205007709,0.2121752776,0.1030779743,1.1086003591,0.1904408626,0.176535714,0.8365102796,0.1431676557,0.1314563277
20.0,3.0,0.3,0.3,7,10,0.4,0.246291927,0.3095456136,0.4441624594,0.0727610028,0.0779296872,0.0837408158,-0.1749287678,0.2165351299,0.1909789338,0.1003482224,1.4161909156,0.1990721299,0.1902097941,0.9741261124,0.147586723,0.139740253
20.0,3.0,0.3,0.3,7,10,0.5,0.2816691541,0.295640447,0.4226903988,0.0760897007,0.0768620574,0.082934924,-0.1685904952,0.2109549121,0.1666975399,0.0935604731,1.8911037442,0.2138500103,0.2162203884,1.1095976468,0.1551230607,0.152299587
20.0,3.0,0.3,0.3,7,10,0.6,0.3284503874,0.2759812904,0.3955683222,0.0792942285,0.0757137449,0.0828824542,-0.1563942586,0.205982478,0.1492961045,0.0847233204,2.5850211989,0.2444458681,0.2616004433,1.2154086099,0.1671956311,0.1684448641
20.0,3.0,0.3,0.3,7,10,0.7,0.3950759453,0.2492364052,0.3556876495,0.0825796209,0.0732323742,0.0811795919,-0.1427851609,0.1957280629,0.1591300032,0.0846921612,3.6162608798,0.2979274841,0.3418626525,1.2889104285,0.180779841,0.1840476884
20.0,3.0,0.3,0.3,7,10,0.8,0.4953022459,0.2085951369,0.2961026172,0.0842176201,0.0688076519,0.0769498761,-0.1210876567,0.1788451648,0.2528788517,0.1130369228,5.1829408033,0.3993020112,0.4804585113,1.3172175349,0.1892234931,0.1858678432
20.0,3.0,0.3,0.3,7,10,0.9,0.6627128218,0.1380334202,0.199253758,0.079920276,0.0583418448,0.0673628794,-0.0768130824,0.1458128825,0.4941134716,0.119746225,7.8014056742,0.5991457476,0.7166954618,1.2500350862,0.1691153983,0.1649912979
20.0,3.5,0.3,0.3,7,10,0.0,0.1640036419,0.3447995858,0.4911967722,0.0626557138,0.0804589476,0.0847967466,-0.1984023994,0.2292636937,0.2578812797,0.1049383398,0.7859516623,0.1856830384,0.1662353545,0.5853891214,0.1419384339,0.1245866985
20.0,3.5,0.3,0.3,7,10,0.1,0.1723739779,0.3384790945,0.4891469276,0.0642670604,0.0817091883,0.0863365361,-0.1878112615,0.2327226483,0.2547917306,0.1071203266,0.8068984036,0.1892379966,0.169231929,0.6138178642,0.1442365423,0.1270361679
20.0,3.5,0.3,0.3,7,10,0.2,0.1828746385,0.3291546399,0.4879707216,0.0657701153,0.0821419348,0.0875423832,-0.1703385582,0.2341439197,0.251439533,0.1100513976,0.8479975427,0.1936128519,0.1719770688,0.6533830277,0.1461887816,0.1284744064
20.0,3.5,0.3,0.3,7,10,0.3,0.197706859,0.3219245903,0.4803685507,0.0682177878,0.0828677081,0.0887819991,-0.1634806298,0.2356729497,0.2411342164,0.1107269963,0.938722389,0.1993720923,0.1754144224,0.7323345056,0.1496752873,0.1316051185
20.0,3.5,0.3,0.3,7,10,0.4,0.2157380655,0.311430928,0.4728310065,0.0708274225,0.0835826953,0.0903825691,-0.1500308494,0.2374665883,0.2306283786,0.1120355301,1.0906916861,0.2098033145,0.1811863758,0.8331668828,0.1549949094,0.1354923004
20.0,3.5,0.3,0.3,7,10,0.5,0.2389661156,0.299609669,0.4614242154,0.073640054,0.083689786,0.0911341759,-0.1377951226,0.2368427339,0.2148567144,0.1117096274,1.337691914,0.2226568732,0.1885710443,0.9563001288,0.1623097169,0.1408009423
20.0,3.5,0.3,0.3,7,10,0.6,0.2736380905,0.2829320527,0.4434298568,0.0777465503,0.0836118908,0.0922098169,-0.1224342486,0.2352968095,0.1940955832,0.1081260447,1.7855547285,0.2465096957,0.2054054989,1.1112038775,0.1730821217,0.1512641705
20.0,3.5,0.3,0.3,7,10,0.7,0.321471275,0.2616386618,0.4168900632,0.0822069192,0.0831791645,0.0936122613,-0.1063872603,0.2329945315,0.1746684757,0.0993711662,2.4823396532,0.2843685575,0.2399271324,1.2501022286,0.1873862488,0.1694350538
20.0,3.5,0.3,0.3,7,10,0.8,0.3871303603,0.2295786053,0.3832910344,0.0872185188,0.0818268032,0.0946201449,-0.0758661763,0.2276368374,0.1802900346,0.0928615578,3.4932676355,0.3544030659,0.296176782,1.3584040967,0.2046180928,0.1915150473
20.0,3.5,0.3,0.3,7,10,0.9,0.5111799907,0.1791891313,0.309630878,0.095018296,0.0784194038,0.095049456,-0.0487473846,0.2143451922,0.2843357375,0.1223980718,5.431319844,0.4850858136,0.4526596349,1.48602621,0.2156350141,0.220205274
20.0,4.0,0.3,0.3,7,10,0.0,0.1640656265,0.3446901846,0.491244189,0.0625642936,0.0805832399,0.0849260737,-0.1981361802,0.2297187055,0.2580403471,0.1050919159,0.7846380713,0.1858301037,0.1664833075,0.584761495,0.1423372116,0.1247827994
20.0,4.0,0.3,0.3,7,10,0.1,0.1672526154,0.3373723712,0.4953750134,0.0635447825,0.0825056572,0.0874036287,-0.179369729,0.2359775519,0.2630737316,0.1093628176,0.7964628623,0.1915218746,0.1715193061,0.5968155442,0.145452709,0.1284742724
20.0,4.0,0.3,0.3,7,10,0.2,0.1723826186,0.3302902132,0.4973271682,0.0647436452,0.0845911235,0.0900553354,-0.1632532581,0.2426527562,0.2658691399,0.1129508883,0.8135726874,0.1989192192,0.1770115217,0.6172797308,0.1498506348,0.1323711589
20.0,4.0,0.3,0.3,7,10,0.3,0.1800460599,0.3213993644,0.4985545756,0.0661138244,0.0865464635,0.0928852718,-0.1442441532,0.2491639775,0.2673515193,0.1169892845,0.8432089231,0.2081441544,0.1826219722,0.6494936467,0.1558424442,0.1367548434
20.0,4.0,0.3,0.3,7,10,0.4,0.1892254793,0.3123485557,0.4984259649,0.0682411999,0.0890825534,0.0959166696,-0.1262711465,0.256710942,0.267271932,0.1212641847,0.8974035063,0.2210667979,0.1884672263,0.7002937322,0.1633453454,0.1412703938
20.0,4.0,0.3,0.3,7,10,0.5,0.2073515193,0.3012046274,0.4914438533,0.0712413358,0.0898422313,0.0976507538,-0.1109654015,0.2586234956,0.2572736102,0.1230247202,1.0301401023,0.2342716668,0.1917275988,0.8010046591,0.1698980643,0.143072634
20.0,4.0,0.3,0.3,7,10,0.6,0.2235487557,0.2847136787,0.4917375656,0.0738578658,0.0923525905,0.1023530911,-0.0776897918,0.2677545573,0.2575566108,0.1294097046,1.1840449228,0.2609496945,0.2008857424,0.8955325155,0.1838208562,0.1500591846
20.0,4.0,0.3,0.3,7,10,0.7,0.2555115507,0.26819438,0.4762940693,0.077539104,0.0928670967,0.1034000807,-0.0600946906,0.267947552,0.237789624,0.1271937053,1.5519045513,0.288755743,0.2054327554,1.0555141652,0.1954784249,0.1529922574
20.0,4.0,0.3,0.3,7,10,0.8,0.3052516157,0.2403646231,0.4543837612,0.0835063172,0.09305681,0.1065647334,-0.0263454851,0.2684752064,0.2181649945,0.1215760226,2.2426983913,0.3440189068,0.221730405,1.2497573691,0.2140078792,0.1655069286
20.0,4.0,0.3,0.3,7,10,0.9,0.3985340094,0.1976350198,0.4038309708,0.0935809034,0.0920530531,0.1113365857,0.0085609312,0.2655472133,0.2163655515,0.1065256247,3.6719601968,0.4449630381,0.2836479148,1.4572115291,0.2343332043,0.200958107
20.0,4.5,0.3,0.3,7,10,0.0,0.1639701503,0.3441893812,0.4918404685,0.0626146486,0.0803465364,0.0846994305,-0.196538294,0.2289414502,0.2584529582,0.1051140952,0.7852871214,0.1851986731,0.1660016379,0.5852052795,0.1420255209,0.1244921775
20.0,4.5,0.3,0.3,7,10,0.1,0.1638878852,0.3373318813,0.4987802335,0.0631220488,0.0832662678,0.0878791116,-0.1758835291,0.2383255269,0.2681158996,0.109848354,0.7923732254,0.1930842561,0.1727106233,0.5889769281,0.1470516744,0.1296584738
20.0,4.5,0.3,0.3,7,10,0.2,0.1650202449,0.3291091513,0.5058706038,0.0637238281,0.0861613327,0.0918371257,-0.1523476988,0.2484418884,0.2778197593,0.1160453393,0.7991975083,0.202945869,0.18229806,0.5958143044,0.1529364655,0.1362798151
20.0,4.5,0.3,0.3,7,10,0.3,0.1671940586,0.320344771,0.5124611704,0.0646370679,0.0889229648,0.0952769367,-0.1282283715,0.2575285322,0.2869323383,0.1212685192,0.8097131029,0.2142991463,0.1911437918,0.6075071288,0.160067244,0.1431960876
20.0,4.5,0.3,0.3,7,10,0.4,0.1716836505,0.3098830292,0.5184333202,0.0659326123,0.0915983784,0.0988401188,-0.1013327382,0.2663746725,0.2949203056,0.1269774395,0.8271053482,0.2290636967,0.201224407,0.6277513398,0.1682159042,0.1496522428
20.0,4.5,0.3,0.3,7,10,0.5,0.1785769986,0.2984316778,0.5229913236,0.0678357564,0.0954149288,0.103687509,-0.073872032,0.2787005037,0.3021375727,0.1333316645,0.8594698761,0.2497845267,0.2134659422,0.6629698821,0.1792954541,0.1574573848
