arena_r,interac_r,pi1,pi2,q1,q2,lambda,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ,m,sdm,k0,k1,k2,sdk0,sdk1,sdk2
20,1,0.4,0.2,7,8,0.0,0.1851889885,0.5188024422,0.2960085693,0.0658352118,0.0850491935,0.0778727081,-0.7415963152,0.2300524237,0.2857761274,0.1166047968,0.8814999767,0.1307848242,0.1078346916,0.6477078718,0.0989915147,0.0804947652
20,1,0.4,0.2,7,8,0.05,0.193186989,0.5121613882,0.2946516228,0.0666783827,0.0846065963,0.0771295786,-0.7296711536,0.2278257208,0.2757787696,0.1161251339,0.8950888432,0.1305365903,0.1071644043,0.666262727,0.0986656738,0.0792931414
20,1,0.4,0.2,7,8,0.1,0.2018018353,0.5083969008,0.289801264,0.0679614982,0.0846444882,0.0766386404,-0.7269925376,0.2266518242,0.2702121612,0.1160489696,0.9268684148,0.1309735219,0.1067207667,0.7016045296,0.0993742178,0.0792134075
20,1,0.4,0.2,7,8,0.15,0.2112359053,0.5013556611,0.2874084336,0.0688178616,0.0844882048,0.0766405038,-0.7153028886,0.2257853955,0.260153533,0.115186921,0.9726555614,0.1324862764,0.1074530727,0.7407686132,0.1004635648,0.0789220251
20,1,0.4,0.2,7,8,0.2,0.2213732281,0.496107973,0.2825187989,0.0700667226,0.0841398428,0.0757384408,-0.7096971471,0.2233099235,0.2523284893,0.1144900775,1.0420688015,0.1338492316,0.1072954527,0.7943274721,0.1014092468,0.0786321673
20,1,0.4,0.2,7,8,0.25,0.2320816939,0.488772664,0.2791456422,0.07145073,0.0844117544,0.0754857282,-0.6983996858,0.2227912421,0.2423304888,0.1137156719,1.1323453093,0.1376435687,0.108211466,0.8569433013,0.1041496018,0.0786321289
20,1,0.4,0.2,7,8,0.3,0.2455169065,0.4807602385,0.273722855,0.0728795911,0.0844645461,0.0755709901,-0.687797622,0.2220711853,0.2315001964,0.1124866646,1.2657183836,0.1426777897,0.1104483742,0.9322904907,0.107148548,0.0798471917
20,1,0.4,0.2,7,8,0.35,0.2594004356,0.470940979,0.2696585854,0.0738807003,0.0841741699,0.0751780632,-0.6722233727,0.2203412195,0.2187208198,0.1102304381,1.421074973,0.1499280384,0.1117528892,1.0039983583,0.1108774835,0.0806601397
20,1,0.4,0.2,7,8,0.4,0.2742285857,0.4617161424,0.2640552719,0.0754607189,0.0839199376,0.0743000942,-0.6593770129,0.2177801814,0.2077251401,0.1072182862,1.611546476,0.1577713021,0.1137624165,1.0788170927,0.1153379992,0.0815238049
20,1,0.4,0.2,7,8,0.45,0.2929389081,0.4504639554,0.2565971364,0.0769770454,0.0836548726,0.0731626692,-0.6443307744,0.214933068,0.1955897454,0.1030691476,1.8706902176,0.169276742,0.1171675173,1.1583567944,0.1208314213,0.0834329505
