pi1,pi2,q1,q2,lambda,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ
0.1,0.1,2,3,0.0,0.6666767808047995,0.1333163209197696,0.200006898275431,0.0047508113237837,0.003458264168768,0.0040896133560398,-0.0666257435641082,0.0110061416935758
0.1,0.1,2,3,0.2,0.6266192451887033,0.1335895776055988,0.2397911772056988,0.0055792678310077,0.0038895795205315,0.005206107436352,-0.0273879780054987,0.0129852664774151
0.1,0.1,2,3,0.4,0.5686578605348662,0.1245177705573605,0.3068243689077727,0.0062989017948801,0.0045193956043195,0.0066103383807391,0.0577888277930516,0.0156491295893782
0.1,0.1,2,3,0.6,0.4911382654336424,0.0957171207198201,0.4131446138465391,0.0067185227461494,0.0047557227955036,0.0078770769710025,0.2217103724068989,0.0173885225620097
0.1,0.1,2,3,0.8,0.4084991002249439,0.0482640339915021,0.5432368657835537,0.0064043012257546,0.0038583148682869,0.0074645708566689,0.4467087978005494,0.0151812005932428
0.1,0.1,2,4,0.0,0.6247064983754047,0.1249510122469384,0.2503424893776554,0.0047647222123183,0.0032210843826419,0.0042676749174989,0.0004404648837785,0.0107098436827828
0.1,0.1,2,4,0.2,0.5616085478630346,0.1157743814046488,0.3226170707323178,0.005633695227448,0.003603649681017,0.0056172814614585,0.0910683079230201,0.0128245808234925
0.1,0.1,2,4,0.4,0.4728734566358414,0.0917075731067234,0.4354189702574338,0.0061882279590914,0.0037427136056231,0.0068904101865828,0.2520038240439869,0.0143758373978291
0.1,0.1,2,4,0.6,0.3802345663584095,0.0566487628092976,0.5631166708322918,0.006131813546428,0.0032245804523963,0.0068134344873838,0.4498191452136964,0.0132625953921764
0.1,0.1,2,4,0.8,0.3066231942014503,0.0245472131967007,0.6688295926018509,0.0054794627377623,0.0022144193046453,0.0059400500047546,0.6197351662084494,0.0103688886140452
0.1,0.1,2,5,0.0,0.5886353411647075,0.1178194451387157,0.2935452136965767,0.0049377930991312,0.0031801276376982,0.0045568204606471,0.0579063234191452,0.0109170757360435
0.1,0.1,2,5,0.2,0.5021283929017742,0.1006782304423893,0.397193376655836,0.0056046836343891,0.0033833176717362,0.0057360337882848,0.1958369157710572,0.0125026691317573
0.1,0.1,2,5,0.4,0.3961473881529622,0.0701925518620346,0.5336600599850051,0.0061072042541206,0.0031984425133761,0.0067101474943849,0.3932749562609359,0.0131070325211373
0.1,0.1,2,5,0.6,0.3072411897025745,0.0394801049737565,0.6532787053236688,0.0055009701857266,0.0024376472445737,0.0060428210649823,0.5743184953761558,0.0109181155541297
0.1,0.1,2,5,0.8,0.245070182454386,0.016464608847788,0.7384652086978248,0.0049704092579687,0.0016287240875027,0.0052696379631512,0.7055359910022487,0.0085270861381567
