N,interac_r,avg,std
35,3.5,3.052,0.9062538275781239
492,3.5,4.908,1.00972075347593
35,4.0,4.958,1.7396080018211
492,4.0,8.692,2.0623132642738833
35,4.5,7.754,2.8279823196052694
492,4.5,15.564,4.09559568316991
35,5.0,12.185,4.6076865127740625
492,5.0,30.416,10.645700728463112
35,6.0,25.38698010849909,6.504023828494915
219,6.0,105.52,37.26056360282276
492,6.0,200.565,74.11292582943949
709,6.0,256.925,98.66939431758968
965,6.0,315.814,126.51464501787926
1479,6.0,429.5,180.18348980969373
2240,6.0,495.74,170.37333242030573
35,6.3,28.862567811934905,5.62440354944352
219,6.3,148.96,39.132830206873614
492,6.3,331.7,83.19609365829625
709,6.3,466.095,125.69723932927089
965,6.3,620.942,158.4874210655218
1479,6.3,940.89,242.1512294001416
2240,6.3,1371.72,344.8725584908141
35,6.5,30.520795660036168,5.027952759425242
219,6.5,177.558,31.976907855513485
492,6.5,399.24,66.69117182956077
709,6.5,583.415,87.43336191065742
965,6.5,793.66,113.622798768557
1479,6.5,1232.2,151.3201903250191
2240,6.5,1910.84,134.7316384521468
35,7.0,33.16998191681736,3.2774150985838304
219,7.0,208.07,14.756595135735072
492,7.0,472.21,20.1011417586166
709,7.0,684.37,18.38322876972377
965,7.0,932.042,19.265207914787737
1479,7.0,1430.9,24.80705544799705
2240,7.0,2175.66,24.79887900692288
35,7.9,34.725135623869804,0.8982810738146586
219,7.9,217.574,2.498104081098304
492,7.9,489.615,2.57230927378494
709,7.9,705.545,3.6411502303530408
965,7.9,960.588,4.374729248765003
1479,7.9,1473.25,4.283398183685472
2240,7.9,2232.62,5.306185070274124
35,10.0,34.99095840867993,0.1121448949997371
219,10.0,218.97,0.2628687885618983
492,10.0,491.97,0.1977371993328519
709,10.0,708.935,0.3012888979036566
965,10.0,964.924,0.3379704129062187
1479,10.0,1478.78,0.9856977224281288
2240,10.0,2239.9,0.36055512754639896
