N,lamb,trajs,used_iters,f2_avgs_trajs,f2_avg,f2_std_trajs,f2_std_pool,f1_avgs_trajs,f1_avg,f1_std_trajs,f1_std_pool,f0_avgs_trajs,f0_avg,f0_std_trajs,f0_std_pool,Q_avgs_trajs,Q_avg,Q_std_trajs,Q_std_pool
10,0.3,10,"[200, 200, 200, 200, 200, 200, 200, 200, 200, 200]","[0.4847222222222222, 0.5325, 0.48950000000000005, 0.5165, 0.4685, 0.38650000000000007, 0.5225, 0.46199999999999997, 0.45299999999999996, 0.4875]",0.48032222222222226,0.03998751193949318,0.18545824427716975,"[0.3281666666666666, 0.274, 0.30749999999999994, 0.27849999999999997, 0.337, 0.379, 0.295, 0.34450000000000003, 0.325, 0.3135]",0.3182166666666667,0.030152763831308518,0.17009348909015945,"[0.18711111111111112, 0.1935, 0.203, 0.20500000000000004, 0.19450000000000003, 0.23450000000000004, 0.1825, 0.1935, 0.222, 0.19899999999999998]",0.2014611111111111,0.015083186002963706,0.13157038568343898,"[-0.22133928571428568, -0.04036309523809521, -0.14889285714285716, -0.04227976190476191, -0.25967261904761907, -0.47813690476190474, -0.0854404761904762, -0.27708333333333335, -0.24869642857142857, -0.1929047619047619]",-0.19948095238095237,0.12483292615143894,0.6297307095793421
10,0.6,10,"[200, 200, 200, 200, 200, 200, 200, 200, 200, 200]","[0.435, 0.598, 0.625, 0.5930000000000001, 0.61, 0.587, 0.5834999999999999, 0.517, 0.576, 0.474]",0.55985,0.0597202017746089,0.1931397874597567,"[0.33449999999999996, 0.21250000000000002, 0.17700000000000002, 0.1875, 0.19500000000000003, 0.19450000000000003, 0.18350000000000002, 0.2425, 0.1955, 0.26]",0.21825,0.04621160568515228,0.1740745170896648,"[0.23050000000000004, 0.18950000000000003, 0.19800000000000004, 0.21950000000000003, 0.195, 0.21850000000000003, 0.23300000000000004, 0.24050000000000005, 0.2285, 0.266]",0.22190000000000004,0.02212103071739651,0.1340163795959285,"[-0.26675, 0.205, 0.3321071428571429, 0.28143452380952383, 0.2817202380952381, 0.25802380952380954, 0.26083928571428566, 0.06406547619047619, 0.23929761904761904, -0.036904761904761905]",0.16188333333333332,0.17813713282067037,0.6562000155632199
10,0.9,10,"[200, 200, 200, 200, 200, 200, 200, 200, 200, 200]","[0.6315000000000001, 0.5015000000000001, 0.6428333333333334, 0.7042777777777778, 0.727, 0.655, 0.5159999999999999, 0.5945, 0.44, 0.5385]",0.5951111111111113,0.08876178064743691,0.2184766175301316,"[0.15650000000000003, 0.2565, 0.13433333333333336, 0.07934722222222222, 0.064, 0.05050000000000001, 0.1595, 0.13949999999999999, 0.2685, 0.1325]",0.14411805555555557,0.06936932805475717,0.1853698899329392,"[0.212, 0.242, 0.22283333333333333, 0.21637499999999998, 0.20900000000000002, 0.29450000000000004, 0.32449999999999996, 0.266, 0.29150000000000004, 0.32899999999999996]",0.2607708333333333,0.044325286119587914,0.13925669337344454,"[0.3864940476190476, 0.004523809523809632, 0.4945833333333334, 0.7039583333333332, 0.7646964285714286, 0.7743809523809523, 0.27514285714285713, 0.4159880952380952, -0.1287738095238095, 0.40542857142857147]",0.409642261904762,0.2873380396049905,0.7394952607325513
15,0.3,4,"[200, 200, 200, 200]","[0.5106666666666666, 0.456, 0.502, 0.5603333333333333]",0.50725,0.037025798063272344,0.1367182575387956,"[0.2956666666666667, 0.3303333333333333, 0.3236666666666666, 0.25733333333333336]",0.30175,0.028754105986990963,0.12674227458376572,"[0.19366666666666668, 0.21366666666666667, 0.1743333333333333, 0.18233333333333335]",0.191,0.014779866184930249,0.10902140462618644,"[-0.10470666833166835, -0.26503213453213453, -0.16409565434565432, 0.05670537795537793]",-0.11928226981351982,0.11665693595379019,0.44623019365356686
15,0.6,4,"[200, 200, 200, 140]","[0.6343333333333332, 0.5623333333333334, 0.6288333333333334, 0.6552380952380953]",0.6201845238095238,0.03482277927783267,0.14630210308516828,"[0.1776666666666667, 0.23633333333333334, 0.20392857142857138, 0.1761904761904762]",0.1985297619047619,0.024456949861786724,0.12224599372820566,"[0.18800000000000006, 0.20133333333333334, 0.1672380952380952, 0.1685714285714286]",0.1812857142857143,0.014194869885481864,0.10912232170974867,"[0.3438141858141859, 0.12195608558108559, 0.2619313186813187, 0.356228354978355]",0.2709824862637363,0.09335698464409067,0.4364380640827616
15,0.9,5,"[200, 200, 200, 200, 200]","[0.6246666666666666, 0.6996666666666667, 0.7716666666666667, 0.6816666666666668, 0.7053333333333334]",0.6966,0.04715525185785546,0.1672708914040668,"[0.16399999999999998, 0.10666666666666667, 0.04633333333333333, 0.13333333333333333, 0.111]",0.11226666666666667,0.038730636739178745,0.1409198984451017,"[0.21133333333333332, 0.19366666666666668, 0.182, 0.185, 0.18366666666666667]",0.19113333333333332,0.010874230496402437,0.09445306888726392,"[0.37525757575757573, 0.5968125624375624, 0.8228795371295371, 0.5116893939393939, 0.5878123959373959]",0.578890293040293,0.14554298834338109,0.52517606414538
20,0.3,5,"[200, 200, 200, 200, 200]","[0.51625, 0.55225, 0.546, 0.5085, 0.5205]",0.5287000000000001,0.017228900139010645,0.12773531226720355,"[0.29525, 0.27075000000000005, 0.26525, 0.29575, 0.27549999999999997]",0.28049999999999997,0.012670832648251659,0.1149554261442234,"[0.1885, 0.17700000000000002, 0.18875, 0.19574999999999995, 0.204]",0.1908,0.008929445671484862,0.09287281625965695,"[-0.0950098519256801, 0.001471305783999286, 0.021356648124836994, -0.10221905603426501, -0.030793896377100706]",-0.041038970085641904,0.0499222540856211,0.41197304741724067
20,0.6,5,"[200, 200, 200, 200, 200]","[0.5435, 0.66125, 0.552, 0.5805, 0.56575]",0.5806,0.042235826024833466,0.14600904081597138,"[0.288, 0.17, 0.27699999999999997, 0.24775, 0.25]",0.24654999999999996,0.041276022095158335,0.1337370461016692,"[0.1685, 0.16875, 0.171, 0.17175, 0.18425]",0.17285000000000003,0.005836522937503111,0.08672011012446881,"[-0.03684503602692455, 0.387632403715995, -0.009757523243010872, 0.1038527186178115, 0.0809157672178183]",0.10515966605633789,0.15083210405855868,0.47274240880854446
20,0.9,5,"[200, 200, 200, 200, 200]","[0.7809999999999999, 0.80975, 0.7664835164835163, 0.6310000000000001, 0.80925]",0.7594967032967033,0.06636775489367445,0.13806492375346605,"[0.05175, 0.04, 0.05796703296703297, 0.18599999999999997, 0.04050000000000001]",0.07524340659340659,0.055797201062593754,0.11117975919462969,"[0.16725, 0.15025, 0.17554945054945054, 0.18299999999999997, 0.15025]",0.16525989010989012,0.013229820048278872,0.0841087515527548,"[0.8154887402329354, 0.8581698547840187, 0.8021376952723277, 0.306891335444741, 0.8565347836503022]",0.727844481876865,0.211635746349449,0.40454961512105475
35,0.3,5,"[0, 150, 150, 75, 150]","[0.547047619047619, 0.5295238095238094, 0.49638095238095237, 0.5239999999999999]",0.5242380952380952,0.01819539948333853,0.07859969335824994,"[0.26838095238095233, 0.2788571428571428, 0.33295238095238094, 0.2948571428571428]",0.29376190476190467,0.024512433792482538,0.07035263510839117,"[0.18457142857142855, 0.1916190476190476, 0.17066666666666663, 0.18114285714285713]",0.182,0.00755508868772334,0.0657282051707824,"[0.013500610958883415, -0.034987566566566125, -0.20695556828259506, -0.08045130562418891]",-0.07722345737861668,0.08193834061703568,0.2440065312487014
