"bot_type","pi1","pi2","N","lambda","parameter","stat.value","sv.sd"
"kilombo",0.3,0.3,5,0.3,"f0",0.194694444444444,0.176432671254681
"kilombo",0.3,0.3,5,0.3,"f1",0.326965277777778,0.223885270244296
"kilombo",0.3,0.3,5,0.3,"f2",0.478340277777778,0.237626072636846
"kilombo",0.3,0.3,5,0.3,"Q",-0.175590277777778,0.638662008900231
"kilombo",0.3,0.3,5,0.6,"f0",0.251652777777778,0.196716097689813
"kilombo",0.3,0.3,5,0.6,"f1",0.275604166666667,0.226245831351729
"kilombo",0.3,0.3,5,0.6,"f2",0.472743055555556,0.252687440710536
"kilombo",0.3,0.3,5,0.6,"Q",-0.0784652777777778,0.649061968630203
"kilombo",0.3,0.3,5,0.9,"f0",0.460645833333333,0.25320309832975
"kilombo",0.3,0.3,5,0.9,"f1",0.190972222222222,0.220732799501846
"kilombo",0.3,0.3,5,0.9,"f2",0.348381944444444,0.270884480876298
"kilombo",0.3,0.3,5,0.9,"Q",-0.0335625,0.619878536962546
"kilombo",0.3,0.3,6,0.3,"f0",0.188163986354776,0.159605324664235
"kilombo",0.3,0.3,6,0.3,"f1",0.318555068226121,0.204726071640459
"kilombo",0.3,0.3,6,0.3,"f2",0.493280945419103,0.218541922008939
"kilombo",0.3,0.3,6,0.3,"Q",-0.143829191033138,0.586353632341218
"kilombo",0.3,0.3,6,0.6,"f0",0.238054337231969,0.176324027357546
"kilombo",0.3,0.3,6,0.6,"f1",0.27724171539961,0.211214618339119
"kilombo",0.3,0.3,6,0.6,"f2",0.484703947368421,0.232144374357952
"kilombo",0.3,0.3,6,0.6,"Q",-0.0697794834307992,0.60593926790711
"kilombo",0.3,0.3,6,0.9,"f0",0.42177753411306,0.228231405191437
"kilombo",0.3,0.3,6,0.9,"f1",0.196430311890838,0.216466806579259
"kilombo",0.3,0.3,6,0.9,"f2",0.381792153996101,0.262555383714699
"kilombo",0.3,0.3,6,0.9,"Q",-0.011068469785575,0.619495044391105
"kilombo",0.3,0.3,7,0.3,"f0",0.183377425044092,0.14712465436763
"kilombo",0.3,0.3,7,0.3,"f1",0.321378968253968,0.191159668744888
"kilombo",0.3,0.3,7,0.3,"f2",0.49524360670194,0.205472296048724
"kilombo",0.3,0.3,7,0.3,"Q",-0.147514329805996,0.550106698025889
"kilombo",0.3,0.3,7,0.6,"f0",0.223010361552028,0.160222597062349
"kilombo",0.3,0.3,7,0.6,"f1",0.28220348324515,0.200063187947609
"kilombo",0.3,0.3,7,0.6,"f2",0.494786155202822,0.222986056754035
"kilombo",0.3,0.3,7,0.6,"Q",-0.0696208112874779,0.581358287402782
"kilombo",0.3,0.3,7,0.9,"f0",0.371544312169312,0.204129207297615
"kilombo",0.3,0.3,7,0.9,"f1",0.203698192239859,0.210616370388659
"kilombo",0.3,0.3,7,0.9,"f2",0.424757495590829,0.252866313573459
"kilombo",0.3,0.3,7,0.9,"Q",0.0173611111111111,0.612080210373562
"kilombo",0.3,0.3,8,0.3,"f0",0.180371732026144,0.135735791611253
"kilombo",0.3,0.3,8,0.3,"f1",0.317560253267974,0.181722669036595
"kilombo",0.3,0.3,8,0.3,"f2",0.502068014705882,0.196087328192328
"kilombo",0.3,0.3,8,0.3,"Q",-0.133052491830065,0.525966806210101
"kilombo",0.3,0.3,8,0.6,"f0",0.208460988562091,0.14472394385519
"kilombo",0.3,0.3,8,0.6,"f1",0.270450367647059,0.188816274267318
"kilombo",0.3,0.3,8,0.6,"f2",0.52108864379085,0.208363983352494
"kilombo",0.3,0.3,8,0.6,"Q",-0.019812091503268,0.549787341973878
"kilombo",0.3,0.3,8,0.9,"f0",0.316309232026144,0.184340623036335
"kilombo",0.3,0.3,8,0.9,"f1",0.196272467320261,0.204102407898492
"kilombo",0.3,0.3,8,0.9,"f2",0.487418300653595,0.248221735240981
"kilombo",0.3,0.3,8,0.9,"Q",0.0948733660130719,0.605661552680256
"kilombo",0.3,0.3,9,0.3,"f0",0.176697530864198,0.128067569889258
"kilombo",0.3,0.3,9,0.3,"f1",0.327755083514887,0.171409870591463
"kilombo",0.3,0.3,9,0.3,"f2",0.495547385620915,0.182067122421421
"kilombo",0.3,0.3,9,0.3,"Q",-0.15996278140886,0.492880075376215
"kilombo",0.3,0.3,9,0.6,"f0",0.199310094408134,0.133607844502754
"kilombo",0.3,0.3,9,0.6,"f1",0.280469317356572,0.183189620240178
"kilombo",0.3,0.3,9,0.6,"f2",0.520220588235294,0.201596532886236
"kilombo",0.3,0.3,9,0.6,"Q",-0.0407180464778504,0.536257396939522
"kilombo",0.3,0.3,9,0.9,"f0",0.292842229484386,0.167253076974523
"kilombo",0.3,0.3,9,0.9,"f1",0.203417755991285,0.206981584180196
"kilombo",0.3,0.3,9,0.9,"f2",0.503740014524328,0.246913900352719
"kilombo",0.3,0.3,9,0.9,"Q",0.0969045025417574,0.61967773575121
"kilombo",0.3,0.3,10,0.3,"f0",0.1719140625,0.119527766694119
"kilombo",0.3,0.3,10,0.3,"f1",0.3258984375,0.162553787315847
"kilombo",0.3,0.3,10,0.3,"f2",0.5021875,0.174030054633661
"kilombo",0.3,0.3,10,0.3,"Q",-0.149609375,0.469923406897307
"kilombo",0.3,0.3,10,0.6,"f0",0.188107638888889,0.126449492162389
"kilombo",0.3,0.3,10,0.6,"f1",0.265160590277778,0.176323799548589
"kilombo",0.3,0.3,10,0.6,"f2",0.546731770833333,0.195905602949187
"kilombo",0.3,0.3,10,0.6,"Q",0.0164105902777778,0.519325101827272
"kilombo",0.3,0.3,10,0.9,"f0",0.2526171875,0.148368470322941
"kilombo",0.3,0.3,10,0.9,"f1",0.176506076388889,0.19703879467623
"kilombo",0.3,0.3,10,0.9,"f2",0.570876736111111,0.236855337646042
"kilombo",0.3,0.3,10,0.9,"Q",0.217864583333333,0.597679401173482
"kilombo",0.3,0.3,11,0.3,"f0",0.169385258838384,0.112656122724363
"kilombo",0.3,0.3,11,0.3,"f1",0.320628156565657,0.154736370487035
"kilombo",0.3,0.3,11,0.3,"f2",0.50998658459596,0.164863320040875
"kilombo",0.3,0.3,11,0.3,"Q",-0.131269728535354,0.447008954070422
"kilombo",0.3,0.3,11,0.6,"f0",0.181376262626263,0.116243900518212
"kilombo",0.3,0.3,11,0.6,"f1",0.278109217171717,0.176015148546742
"kilombo",0.3,0.3,11,0.6,"f2",0.54051452020202,0.192711902147885
"kilombo",0.3,0.3,11,0.6,"Q",-0.0157039141414141,0.519881080614194
"kilombo",0.3,0.3,11,0.9,"f0",0.228847064393939,0.135022466333005
"kilombo",0.3,0.3,11,0.9,"f1",0.16322601010101,0.185971458687367
