N,arena_r,interac_r,pi1,pi2,q1,q2,lambda,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ
5,20,7,0.3,0.3,7,8,0.0,0.1813306673,0.3834451387,0.435224194,0.1720522258,0.2163893758,0.2212684027,-0.3316660835,0.6071419547
5,20,7,0.3,0.3,7,8,0.05,0.1854326418,0.3776205949,0.4369467633,0.1741480897,0.2197206584,0.2246125168,-0.3182944264,0.6167335245
5,20,7,0.3,0.3,7,8,0.1,0.1894896276,0.3740574856,0.4364528868,0.1762235534,0.2215417512,0.227738202,-0.3116620845,0.6228716317
5,20,7,0.3,0.3,7,8,0.15,0.1931777056,0.3787273182,0.4280949763,0.1780548196,0.2256311869,0.2299627236,-0.3293596601,0.633007204
5,20,7,0.3,0.3,7,8,0.2,0.1985193702,0.3711142214,0.4303664084,0.180128553,0.2264455427,0.2320452315,-0.3118620345,0.6358520897
5,20,7,0.3,0.3,7,8,0.25,0.2045988503,0.3657715571,0.4296295926,0.1826770444,0.2277581005,0.2348894942,-0.3019135216,0.6403279883
5,20,7,0.3,0.3,7,8,0.3,0.2104263934,0.3629042739,0.4266693327,0.184793198,0.2309303594,0.2373581348,-0.2991392152,0.6486081912
5,20,7,0.3,0.3,7,8,0.35,0.2180164959,0.3579165209,0.4240669833,0.1883015145,0.2320592062,0.2395939987,-0.2917660585,0.6514674073
5,20,7,0.3,0.3,7,8,0.4,0.2257505624,0.3579335166,0.416315921,0.1913650637,0.2337590806,0.2400619019,-0.2995511122,0.6538408227
5,20,7,0.3,0.3,7,8,0.45,0.235392152,0.3526658335,0.4119420145,0.1956745009,0.2369035368,0.2433219087,-0.2933896526,0.661648961
5,20,7,0.3,0.3,7,8,0.5,0.24724019,0.3425923519,0.4101674581,0.1994338564,0.2367579449,0.2465923661,-0.2750172457,0.6627228724
5,20,7,0.3,0.3,7,8,0.55,0.2602369408,0.3393821545,0.4003809048,0.2029667583,0.239749011,0.2482431242,-0.2783834041,0.6688501072
5,20,7,0.3,0.3,7,8,0.6,0.2777095726,0.327620095,0.3946703324,0.2088056816,0.2403543157,0.2482200319,-0.2605698575,0.6665291516
5,20,7,0.3,0.3,7,8,0.65,0.2950282429,0.3192191952,0.3857525619,0.214456237,0.2409732623,0.2506540502,-0.2526858285,0.6670143046
5,20,7,0.3,0.3,7,8,0.7,0.3188572857,0.3094126468,0.3717300675,0.2201315502,0.2417256133,0.2533242346,-0.2470952262,0.6679755515
5,20,7,0.3,0.3,7,8,0.75,0.3483019245,0.2961749563,0.3555231192,0.2270699245,0.2425554722,0.2545614114,-0.2368267933,0.6665448055
5,20,7,0.3,0.3,7,8,0.8,0.383580105,0.2793171707,0.3371027243,0.2354265559,0.2434924875,0.2551330447,-0.2215316171,0.6634446728
5,20,7,0.3,0.3,7,8,0.85,0.4327988003,0.2520419895,0.3151592102,0.2456189887,0.2389863503,0.2534746113,-0.1889247688,0.6440323083
5,20,7,0.3,0.3,7,8,0.9,0.4972866783,0.2262774306,0.276435891,0.2533240864,0.2349959962,0.250705765,-0.1761189703,0.6257416925
5,20,7,0.3,0.3,7,8,0.95,0.608591852,0.1680859785,0.2233221695,0.2624517887,0.2188142379,0.2451108333,-0.1128497876,0.574242199
5,20,7,0.3,0.3,7,10,0.0,0.1641569608,0.3447378155,0.4911052237,0.1657410264,0.2127750201,0.2244325526,-0.1983704074,0.606472581
5,20,7,0.3,0.3,7,10,0.05,0.1671732067,0.3411617096,0.4916650837,0.1669675498,0.2143854002,0.225659658,-0.1906583354,0.6105547618
5,20,7,0.3,0.3,7,10,0.1,0.1695586103,0.3402849288,0.4901564609,0.1687097341,0.2169097885,0.2289438287,-0.1904133967,0.6185620578
5,20,7,0.3,0.3,7,10,0.15,0.1743294176,0.3336625844,0.492007998,0.1707236651,0.2175518672,0.2309512445,-0.1753171707,0.6210436231
5,20,7,0.3,0.3,7,10,0.2,0.1781044739,0.3294176456,0.4924778805,0.1728340192,0.22077749,0.235261698,-0.1663574106,0.6314722511
5,20,7,0.3,0.3,7,10,0.25,0.1831302174,0.3248517871,0.4920179955,0.1758021976,0.2215690887,0.23696568,-0.1576855786,0.6334055111
5,20,7,0.3,0.3,7,10,0.3,0.1903354161,0.3215046238,0.48815996,0.1784892374,0.2239977495,0.2398805802,-0.1548492877,0.6402821356
5,20,7,0.3,0.3,7,10,0.35,0.1957810547,0.3162449388,0.4879740065,0.1805348937,0.2246933782,0.2416965763,-0.144515871,0.6426419646
5,20,7,0.3,0.3,7,10,0.4,0.2042529368,0.3146853287,0.4810617346,0.1839647989,0.2264525712,0.2434348728,-0.1483089228,0.6463591258
5,20,7,0.3,0.3,7,10,0.45,0.212791802,0.3093666583,0.4778415396,0.1870833473,0.2293268324,0.248033868,-0.1408917771,0.6558252952
5,20,7,0.3,0.3,7,10,0.5,0.2208157961,0.2993491627,0.4798350412,0.1904177764,0.2292172358,0.2493347766,-0.1188632842,0.6551556154
5,20,7,0.3,0.3,7,10,0.55,0.2358100475,0.2945263684,0.4696635841,0.1964776553,0.230221809,0.2517040585,-0.1193891527,0.656407152
5,20,7,0.3,0.3,7,10,0.6,0.2497475631,0.2835821045,0.4666703324,0.2008414224,0.2292809257,0.2531365956,-0.1004938765,0.6534357745
5,20,7,0.3,0.3,7,10,0.65,0.2691077231,0.2789562609,0.451936016,0.2067105375,0.2312491758,0.2547939283,-0.1059765059,0.6558646452
5,20,7,0.3,0.3,7,10,0.7,0.2912261935,0.2631082229,0.4456655836,0.2134013028,0.2304688212,0.2592333556,-0.0805508623,0.6551494725
5,20,7,0.3,0.3,7,10,0.75,0.3171867033,0.2551232192,0.4276900775,0.2222860558,0.2301235143,0.2628626899,-0.0825563609,0.652846989
5,20,7,0.3,0.3,7,10,0.8,0.3520989753,0.2340574856,0.4138435391,0.2307158658,0.2244878593,0.2614915181,-0.0542714321,0.6332792549
5,20,7,0.3,0.3,7,10,0.85,0.399968008,0.2243369158,0.3756950762,0.2394603593,0.2261587485,0.2620583034,-0.0729787553,0.6310529398
5,20,7,0.3,0.3,7,10,0.9,0.4677430642,0.1872031992,0.3450537366,0.2522558656,0.217654675,0.2639188134,-0.0293526618,0.6049253856
5,20,7,0.3,0.3,7,10,0.95,0.5715471132,0.1431852037,0.2852676831,0.2629306899,0.2019952262,0.2605034339,-0.0011027243,0.5568962653
10,20,7,0.3,0.3,7,8,0.0,0.1821034741,0.381940015,0.4359565109,0.1221810224,0.1546917031,0.1576728922,-0.3279235191,0.4339388856
10,20,7,0.3,0.3,7,8,0.05,0.1820059985,0.3798310422,0.4381629593,0.1224999323,0.1566935647,0.1610440643,-0.3214991252,0.4417129662
10,20,7,0.3,0.3,7,8,0.1,0.1844138965,0.3771202199,0.4384658835,0.1234807709,0.1591712943,0.1630487954,-0.3157745564,0.4486342976
10,20,7,0.3,0.3,7,8,0.15,0.1851612097,0.3772836791,0.4375551112,0.1246784628,0.1620465211,0.1664018889,-0.3170122469,0.4577485966
10,20,7,0.3,0.3,7,8,0.2,0.1873146713,0.3752691827,0.437416146,0.125351362,0.1665923033,0.1709032769,-0.3131222194,0.4719277862
10,20,7,0.3,0.3,7,8,0.25,0.1915946013,0.3710287428,0.4373766558,0.1267559263,0.1673090205,0.1709044595,-0.3046808298,0.4726994004
10,20,7,0.3,0.3,7,8,0.3,0.1956415896,0.3668977756,0.4374606348,0.1282982245,0.1703128509,0.175634957,-0.2963349163,0.4833847832
10,20,7,0.3,0.3,7,8,0.35,0.1977985504,0.3673551612,0.4348462884,0.1300004899,0.1728119848,0.1781614359,-0.299864034,0.4905182254
10,20,7,0.3,0.3,7,8,0.4,0.1983169208,0.3628232942,0.4388597851,0.1306642577,0.1767620882,0.1826878372,-0.2867868033,0.5034354536
10,20,7,0.3,0.3,7,8,0.45,0.2010307423,0.3605018745,0.4384673832,0.131720157,0.181047821,0.1876304592,-0.2825363659,0.5172862351
10,20,7,0.3,0.3,7,8,0.5,0.2102909273,0.3551097226,0.4345993502,0.1344154138,0.1835349774,0.1898596166,-0.275620095,0.523560448
10,20,7,0.3,0.3,7,8,0.55,0.2221134716,0.3488272932,0.4290592352,0.1374799874,0.1849345809,0.1903875991,-0.2685953512,0.52549559
10,20,7,0.3,0.3,7,8,0.6,0.2270667333,0.3385323669,0.4344008998,0.1393639237,0.1874865268,0.1950736241,-0.242663834,0.534998819
10,20,7,0.3,0.3,7,8,0.65,0.2471202199,0.3327973007,0.4200824794,0.1450205918,0.1905406563,0.1982745949,-0.245512122,0.5419510598
10,20,7,0.3,0.3,7,8,0.7,0.2565113722,0.3329167708,0.410571857,0.149869614,0.195651081,0.2027729732,-0.2552616846,0.5550719832
