arena_r,interac_r,pi1,pi2,q1,q2,lambda,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ
20,2,0.3,0.3,7,8,0.0,0.1820394901,0.382781876,0.4351786339,0.0651862918,0.0822565619,0.0840002825,-0.330385118,0.2307953401
20,2,0.3,0.3,7,8,0.05,0.1894140751,0.3784126825,0.4321732424,0.0663510867,0.082754764,0.0843909656,-0.3246521227,0.2316261592
20,2,0.3,0.3,7,8,0.1,0.1982170172,0.3743638376,0.4274191452,0.0673381115,0.0818953989,0.0838085867,-0.32130853,0.2285693183
20,2,0.3,0.3,7,8,0.15,0.2070925126,0.3711827757,0.4217247117,0.0686042846,0.0819790058,0.0835011932,-0.3206408398,0.2276567513
20,2,0.3,0.3,7,8,0.2,0.2172228371,0.3649384797,0.4178386832,0.0695404224,0.0814790088,0.0834014365,-0.3120382761,0.2258951779
20,2,0.3,0.3,7,8,0.25,0.2289497626,0.3606835434,0.410366694,0.0710666425,0.081236819,0.0833541526,-0.3110003928,0.2243642873
20,2,0.3,0.3,7,8,0.3,0.2413470918,0.3543391295,0.4043137787,0.0721064756,0.0803051604,0.0823506777,-0.3043644803,0.2205441621
20,2,0.3,0.3,7,8,0.35,0.2551437855,0.347790481,0.3970657336,0.0736445261,0.0805546661,0.0825882155,-0.2985152283,0.2203400394
20,2,0.3,0.3,7,8,0.4,0.2700096404,0.3410600207,0.3889303388,0.0752432879,0.0801943973,0.0818464348,-0.2931897026,0.2176241256
20,2,0.3,0.3,7,8,0.45,0.2872317635,0.3328377906,0.379930446,0.0765765329,0.0798219364,0.0819606442,-0.2857451351,0.2159952778
20,2,0.3,0.3,7,8,0.5,0.307918449,0.3219817903,0.3700997608,0.0779032102,0.0788045568,0.0814218851,-0.2738638198,0.212159607
20,2,0.3,0.3,7,8,0.55,0.3308601421,0.3126761167,0.3564637412,0.0793156313,0.0781877555,0.0805988704,-0.2688884922,0.2087739104
