lambs,N,f1,f2,Dc,Q
0.3,5,0.324515871,0.4815296176,0.014497041420118343,-0.1675021244
0.3,10,0.3219962509,0.503107973,0.028994082840236687,-0.14088452880000002
0.3,15,0.3203440806,0.5171923686,0.04349112426035503,-0.1234957926000001
0.3,20,0.3178042989,0.5263469133,0.05798816568047337,-0.10926168449999996
0.3,25,0.3176076981,0.5311306173,0.07248520710059171,-0.10408477890000001
0.3,30,0.3151676248,0.5358202116,0.08698224852071006,-0.09451503799999994
0.3,35,0.3159050237,0.5353950084,0.1014792899408284,-0.09641503900000004
0.3,40,0.3154202074,0.5371555236,0.11597633136094675,-0.09368489120000001
0.3,50,0.3139788053,0.5390271432,0.14497041420118342,-0.08893046739999999
0.3,60,0.3120463634,0.5414073565,0.1739644970414201,-0.0826853703
0.3,70,0.3130415967,0.5404713464,0.2029585798816568,-0.08561184699999991
0.3,80,0.312552112,0.540930986,0.2319526627218935,-0.08417323799999998
0.6,5,0.2879610097,0.4503179205,0.014497041420118343,-0.12560409889999996
0.6,10,0.287671832,0.5000982254,0.028994082840236687,-0.07524543859999999
0.6,15,0.2796924102,0.5435977672,0.04349112426035503,-0.015787053200000067
0.6,20,0.2767766808,0.564712197,0.05798816568047337,0.011158835399999956
0.6,25,0.2712462884,0.5840981755,0.07248520710059171,0.041605598700000024
0.6,30,0.265332167,0.5974711322,0.08698224852071006,0.06680679820000002
0.6,35,0.2591342879,0.6058885993,0.1014792899408284,0.08762002350000009
0.6,40,0.2557620595,0.6117943014,0.11597633136094675,0.10027018239999996
0.6,50,0.2498090977,0.6196691827,0.14497041420118342,0.12005098730000002
0.6,60,0.247325377,0.6226864117,0.1739644970414201,0.12803565770000003
0.6,70,0.2447696647,0.6257906238,0.2029585798816568,0.13625129439999994
0.6,80,0.2420512372,0.6289513247,0.2319526627218935,0.14484885030000005
0.9,5,0.1806248438,0.3182034491,0.014497041420118343,-0.0430462385
0.9,10,0.2015553612,0.4368162959,0.028994082840236687,0.033705573499999975
0.9,15,0.193216196,0.5523844039,0.04349112426035503,0.16595201189999997
0.9,20,0.1766445889,0.6276062234,0.05798816568047337,0.27431704560000003
0.9,25,0.1597618595,0.6860863784,0.07248520710059171,0.3665626594
0.9,30,0.1371462968,0.7316053487,0.08698224852071006,0.4573127551
0.9,35,0.1235004106,0.7541233263,0.1014792899408284,0.5071225051
0.9,40,0.1060189953,0.7783553487,0.11597633136094675,0.5663173581000001
0.9,50,0.0978948763,0.7902513872,0.14497041420118342,0.5944616346
0.9,60,0.0912953845,0.7984353078,0.1739644970414201,0.6158445388
0.9,70,0.0873108509,0.8030022137,0.2029585798816568,0.6283805119
0.9,80,0.0833004561,0.8075036866,0.2319526627218935,0.6409027744
