iter,f0,f1,f2,k0,k1,k2
      0,    1.0000000000,    0.0000000000,    0.0000000000,    2.3287671233,    1.0000000000,    0.6993006993
      1,    0.9180000000,    0.0320000000,    0.0500000000,    2.0254794521,    0.8765714286,    0.6048951049
      2,    0.8140000000,    0.0840000000,    0.1020000000,    1.6408219178,    0.6760000000,    0.5067132867
      3,    0.6920000000,    0.1280000000,    0.1800000000,    1.1895890411,    0.5062857143,    0.3594405594
      4,    0.5640000000,    0.1620000000,    0.2740000000,    0.7161643836,    0.3751428571,    0.1819580420
      5,    0.4420000000,    0.1920000000,    0.3660000000,    0.2649315068,    0.2594285714,    0.0082517483
      6,    0.3120000000,    0.2380000000,    0.4500000000,    0.2158904110,    0.0820000000,    0.1503496503
      7,    0.2580000000,    0.2520000000,    0.4900000000,    0.4156164384,    0.0280000000,    0.2258741259
      8,    0.2200000000,    0.2420000000,    0.5380000000,    0.5561643836,    0.0665714286,    0.3165034965
      9,    0.1780000000,    0.2560000000,    0.5660000000,    0.7115068493,    0.0125714286,    0.3693706294
     10,    0.1620000000,    0.2660000000,    0.5720000000,    0.7706849315,    0.0260000000,    0.3806993007
     11,    0.1080000000,    0.2920000000,    0.6000000000,    0.9704109589,    0.1262857143,    0.4335664336
     12,    0.1320000000,    0.2700000000,    0.5980000000,    0.8816438356,    0.0414285714,    0.4297902098
     13,    0.1480000000,    0.2520000000,    0.6000000000,    0.8224657534,    0.0280000000,    0.4335664336
     14,    0.1760000000,    0.2280000000,    0.5960000000,    0.7189041096,    0.1205714286,    0.4260139860
     15,    0.1400000000,    0.2340000000,    0.6260000000,    0.8520547945,    0.0974285714,    0.4826573427
     16,    0.1560000000,    0.2200000000,    0.6240000000,    0.7928767123,    0.1514285714,    0.4788811189
     17,    0.1600000000,    0.2140000000,    0.6260000000,    0.7780821918,    0.1745714286,    0.4826573427
     18,    0.1580000000,    0.2000000000,    0.6420000000,    0.7854794521,    0.2285714286,    0.5128671329
     19,    0.1160000000,    0.2080000000,    0.6760000000,    0.9408219178,    0.1977142857,    0.5770629371
     20,    0.1640000000,    0.1940000000,    0.6420000000,    0.7632876712,    0.2517142857,    0.5128671329
